measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,6296.0,64477.34,64477.34
2003-02-01,5517.0,56499.6,56499.6
2003-03-01,6620.0,67795.42,67795.42
2003-04-01,5176.0,53007.42,53007.42
2003-05-01,2957.0,30282.64,30282.64
2003-06-01,4679.0,47917.64,47917.64
2003-07-01,2340.0,23963.94,23963.94
2003-08-01,2321.0,23769.36,23769.36
2003-09-01,3249.0,33273.01,33273.01
2003-10-01,3613.0,37000.73,37000.73
2003-11-01,3994.0,40902.55,40902.55
2003-12-01,4220.0,43217.02,43217.02
2005-01-01,3522.174,35218.22,35218.22
2005-02-01,2974.0280000000002,29737.31,29737.31
2005-03-01,3366.866,33665.29,33665.29
2005-04-01,3368.6960000000004,33683.59,33683.59
2005-05-01,3577.219,35768.61,35768.61
2005-06-01,3532.4880000000003,35321.35,35321.35
2005-07-01,3613.1620000000003,36128.01,36128.01
2005-08-01,3568.8450000000003,35684.88,35684.88
2005-09-01,3492.33,34919.81,34919.81
2005-10-01,3577.014,35766.56,35766.56
2005-11-01,3472.0280000000002,34716.81,34716.81
2005-12-01,3569.15,35687.93,35687.93
2006-01-01,3809.1850000000004,37783.31,37783.31
2006-02-01,3452.5950000000003,34246.29,34246.29
2006-03-01,3902.6130000000003,38710.02,38710.02
2006-04-01,3491.646,34633.64,34633.64
2006-05-01,3396.371,33688.6,33688.6
2006-06-01,3686.5510000000004,36566.9,36566.9
2006-07-01,3873.059,38416.87,38416.87
2006-08-01,3954.7830000000004,39227.49,39227.49
2006-09-01,3742.702,37123.86,37123.86
2006-10-01,3900.6960000000004,38691.0,38691.0
2006-11-01,3777.994,37473.92,37473.92
2006-12-01,3941.8050000000003,39098.76,39098.76
2007-01-01,4606.728,45532.9,45532.9
2007-02-01,4016.924,39703.28,39703.28
2007-03-01,4284.4980000000005,42347.98,42347.98
2007-04-01,4166.975,41186.38,41186.38
2007-05-01,4201.187,41524.53,41524.53
2007-06-01,4491.3060000000005,44392.07,44392.07
2007-07-01,4514.732,44623.61,44623.61
2007-08-01,4501.964,44497.41,44497.41
2007-09-01,4413.0830000000005,43618.91,43618.91
2007-10-01,4560.439,45075.38,45075.38
2007-11-01,4369.03,43183.49,43183.49
