measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2024-01-01,-39.0,0.0,0.0
2024-02-01,-31.0,0.0,0.0
2024-03-01,-36.0,0.0,0.0
2024-04-01,-36.0,0.0,0.0
2024-05-01,-38.0,0.0,0.0
2024-06-01,-42.0,0.0,0.0
2024-07-01,-63.0,0.0,0.0
2024-08-01,-41.0,0.0,0.0
2024-09-01,-45.0,0.0,0.0
2024-10-01,-37.0,0.0,0.0
2024-11-01,-30.0,0.0,0.0
2024-12-01,-26.0,0.0,0.0
