measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2024-01-01,206.0,703.0,703.0
2024-02-01,252.0,860.0,860.0
2024-03-01,400.0,1365.0,1365.0
2024-04-01,450.0,1535.0,1535.0
2024-05-01,507.0,1730.0,1730.0
2024-06-01,517.0,1764.0,1764.0
2024-07-01,496.0,1692.0,1692.0
2024-08-01,482.0,1645.0,1645.0
2024-09-01,391.0,1334.0,1334.0
2024-10-01,331.0,1129.0,1129.0
2024-11-01,241.0,822.0,822.0
2024-12-01,204.0,696.0,696.0
