measured_on,"Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2013-01-01,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0
2013-10-01,2110.0,35088.0,35088.0
2013-11-01,3449.0,48998.0,48998.0
2013-12-01,230.0,9638.0,9638.0
2014-01-01,7784.0,136469.0,136469.0
2014-02-01,3701.0,64249.0,64249.0
2014-03-01,10240.0,171838.0,171838.0
2014-04-01,11847.0,189061.0,189061.0
2014-05-01,12728.0,207645.0,207645.0
2014-06-01,11873.0,200936.0,200936.0
2014-07-01,10595.0,186169.0,186169.0
2014-08-01,10671.0,198154.0,198154.0
2014-09-01,12579.0,238065.0,238065.0
2014-10-01,7057.0,119743.0,119743.0
2014-11-01,11343.0,187480.0,187480.0
2014-12-01,13718.0,232668.0,232668.0
2015-01-01,13927.0,250985.0,250985.0
2015-02-01,12652.0,207468.0,207468.0
2015-03-01,13615.0,228898.0,228898.0
2015-04-01,11047.0,178266.0,178266.0
2015-05-01,14235.0,226871.0,226871.0
2015-06-01,13791.0,214769.0,214769.0
2015-07-01,14149.0,215569.0,215569.0
2015-08-01,13966.0,211987.0,211987.0
2015-09-01,13769.0,214505.0,214505.0
2015-10-01,8554.0,162426.0,162426.0
2015-11-01,13352.0,245845.0,245845.0
2015-12-01,14099.0,249553.0,249553.0
2016-01-01,14371.0,266634.0,266634.0
2016-02-01,13398.0,250946.0,250946.0
2016-03-01,14636.0,240782.0,240782.0
2016-04-01,10327.0,168458.0,168458.0
2016-05-01,14617.0,237680.0,237680.0
2016-06-01,14098.0,244255.0,244255.0
2016-07-01,14503.0,251281.0,251281.0
2016-08-01,14531.0,237981.0,237981.0
2016-09-01,14081.0,241324.0,241324.0
2016-10-01,5680.0,102639.0,102639.0
2016-11-01,13995.0,232099.0,232099.0
2016-12-01,14461.0,256892.0,256892.0
2017-01-01,14453.0,263924.0,263924.0
2017-02-01,12007.0,194164.0,194164.0
2017-03-01,14522.0,225273.0,225273.0
2017-04-01,10405.0,186704.0,186704.0
2017-05-01,14353.0,259170.0,259170.0
2017-06-01,13187.0,239946.0,239946.0
2017-07-01,9924.0,175804.0,175804.0
2017-08-01,13704.0,232294.0,232294.0
2017-09-01,10203.0,176480.0,176480.0
2017-10-01,13045.0,206180.0,206180.0
2017-11-01,7572.0,148634.0,148634.0
2017-12-01,14086.0,224681.0,224681.0
2018-01-01,5635.0,90563.0,90563.0
2018-02-01,12903.0,174991.0,174991.0
2018-03-01,12949.0,204454.0,204454.0
2018-04-01,9823.0,157705.0,157705.0
2018-05-01,14200.0,234794.0,234794.0
2018-06-01,12747.0,209031.0,209031.0
2018-07-01,12973.0,208558.0,208558.0
2018-08-01,14205.0,240175.0,240175.0
2018-09-01,11520.0,178163.0,178163.0
2018-10-01,10049.0,158564.0,158564.0
2018-11-01,13968.0,236303.0,236303.0
2018-12-01,14375.0,240431.0,240431.0
2019-01-01,12770.0,213108.0,213108.0
2019-02-01,12976.0,203255.0,203255.0
2019-03-01,10921.0,167730.0,167730.0
2019-04-01,12348.0,212941.0,212941.0
2019-05-01,14415.0,221747.0,221747.0
2019-06-01,13631.0,219706.0,219706.0
2019-07-01,11517.0,178424.0,178424.0
2019-08-01,14289.0,224269.0,224269.0
2019-09-01,13792.0,220029.0,220029.0
2019-10-01,10121.0,162430.0,162430.0
2019-11-01,14079.0,235831.0,235831.0
2019-12-01,14124.0,241647.0,241647.0
2020-01-01,14453.0,236360.0,236360.0
2020-02-01,12808.0,208264.0,208264.0
2020-03-01,13515.0,217269.0,217269.0
2020-04-01,9726.0,147872.0,147872.0
2020-05-01,13648.0,195852.0,195852.0
2020-06-01,13400.0,208614.0,208614.0
2020-07-01,14542.0,241002.0,241002.0
2020-08-01,14125.0,229625.0,229625.0
2020-09-01,10254.0,178897.0,178897.0
2020-10-01,9008.0,158010.0,158010.0
2020-11-01,14004.0,236515.0,236515.0
2020-12-01,14542.0,243941.0,243941.0
2021-01-01,12814.0,221566.0,221566.0
2021-02-01,11449.0,220373.0,220373.0
2021-03-01,9613.0,169501.0,169501.0
2021-04-01,13148.0,217614.0,217614.0
2021-05-01,12572.0,205000.0,205000.0
2021-06-01,9588.0,166974.0,166974.0
2021-07-01,13047.0,228969.0,228969.0
2021-08-01,10824.0,191898.0,191898.0
2021-09-01,11432.0,195161.0,195161.0
2021-10-01,11529.0,186397.0,186397.0
2021-11-01,13959.0,214877.0,214877.0
2021-12-01,12690.0,195410.0,195410.0
2022-01-01,13091.0,238062.0,238062.0
2022-02-01,10546.0,196437.0,196437.0
2022-03-01,11759.0,211187.0,211187.0
2022-04-01,9417.0,162408.0,162408.0
2022-05-01,14390.0,243111.0,243111.0
2022-06-01,13856.0,228465.0,228465.0
2022-07-01,14273.0,279269.0,279269.0
2022-08-01,12846.0,231393.0,231393.0
2022-09-01,12920.0,239216.0,239216.0
2022-10-01,9454.0,166554.0,166554.0
2022-11-01,9776.0,185351.0,185351.0
2022-12-01,11355.0,198613.0,198613.0
2023-01-01,10749.0,192598.0,192598.0
2023-02-01,12701.0,225074.0,225074.0
2023-03-01,10592.0,184836.0,184836.0
2023-04-01,14018.0,247005.0,247005.0
2023-05-01,14496.0,258306.0,258306.0
2023-06-01,13928.0,254815.0,254815.0
2023-07-01,11752.0,215896.0,215896.0
2023-08-01,13675.0,235076.0,235076.0
2023-09-01,12816.0,240817.0,240817.0
2023-10-01,10538.0,166435.0,166435.0
2023-11-01,13433.0,211855.0,211855.0
2023-12-01,13602.0,229419.0,229419.0
2024-01-01,12368.0,196988.0,196988.0
2024-02-01,12467.0,209150.0,209150.0
2024-03-01,6597.0,116261.0,116261.0
2024-04-01,0.0,0.0,0.0
2024-05-01,10958.0,171046.0,171046.0
2024-06-01,13425.0,244112.0,244112.0
2024-07-01,13596.0,225308.0,225308.0
2024-08-01,11469.0,207072.0,207072.0
2024-09-01,11634.0,209323.0,209323.0
2024-10-01,13952.0,266668.0,266668.0
2024-11-01,10087.0,177479.0,177479.0
2024-12-01,13818.0,264424.0,264424.0
