measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Sludge Waste Generation,Sludge Waste Quantity Consumed For Electricity,Sludge Waste Total Fuel Consumed
2001-01-01,,,,5422.0,57034.0,170362.0,2551.0,26834.0,80154.0,,,
2001-02-01,,,,4939.0,51953.0,155186.0,1590.0,16725.0,49959.0,,,
2001-03-01,,,,5426.0,57076.0,170488.0,1862.0,19586.0,58505.0,,,
2001-04-01,,,,5118.0,53836.0,160810.0,1205.0,12675.0,37862.0,,,
2001-05-01,,,,5664.0,59580.0,177966.0,1117.0,11750.0,35097.0,,,
2001-06-01,,,,6250.0,65744.0,196378.0,1387.0,14590.0,43580.0,,,
2001-07-01,,,,7197.0,75705.0,226133.0,1205.0,12675.0,37862.0,,,
2001-08-01,,,,8027.0,84436.0,252212.0,1747.0,18377.0,54892.0,,,
2001-09-01,,,,6451.0,67858.0,202694.0,708.0,7447.0,22246.0,,,
2001-10-01,,,,6199.0,65207.0,194776.0,596.0,6269.0,18727.0,,,
2001-11-01,,,,4982.0,52406.0,156537.0,688.0,7237.0,21617.0,,,
2001-12-01,,,,5419.0,57002.0,170268.0,873.0,9183.0,27430.0,,,
2002-01-01,,,,2455.0,27723.0,143406.0,1193.0,13472.0,69688.0,,,
2002-02-01,,,,2717.0,30682.0,130683.0,1338.0,15110.0,64363.0,,,
2002-03-01,,,,3072.0,34691.0,108404.0,1587.0,17921.0,56025.0,,,
2002-04-01,,,,4144.0,46797.0,190443.0,628.0,7092.0,28844.0,,,
2002-05-01,,,,3990.0,45058.0,141410.0,1196.0,13506.0,42365.0,,,
2002-06-01,,,,2630.0,29700.0,95193.0,1014.0,11451.0,36706.0,,,
2002-07-01,,,,2718.0,30693.0,124330.0,39.0,440.0,1781.0,,,
2002-08-01,,,,1752.135,19786.0,141440.0,19.561,221.0,1556.0,,,
2002-09-01,,,,242.18800000000002,2735.0,105143.0,4.657,53.0,1944.0,,,
2002-10-01,,,,1743.751,19692.0,152375.0,784.315,8857.0,68550.0,,,
2002-11-01,,,,1679.478,18966.0,115269.0,1888.132,21322.0,129631.0,,,
2002-12-01,,,,1414.935,15978.0,93180.0,2475.9030000000002,27960.0,163025.0,,,
2004-01-01,,,,31.14161,152.84,21327.0,759.11739,3725.61,519873.44,,,
2004-02-01,,,,31.141389999999998,152.84,21327.0,299.84161,1471.57,205344.81,,,
2004-03-01,,,,31.14096,152.83,21327.0,114.76404,563.24,78596.56,,,
2004-04-01,,,,31.14067,152.83,21327.0,83.36833,409.16,57095.63,,,
2004-05-01,,,,31.14104,152.83,21327.0,140.15596,687.86,95986.06,,,
2004-06-01,,,,31.140629999999998,152.83,21327.0,76.63436999999999,376.11,52483.88,,,
2004-07-01,,,,31.14088,152.83,21327.0,87.30712,428.49,59792.75,,,
2004-08-01,,,,31.14117,152.84,21327.0,154.38483,757.69,105730.31,,,
2004-09-01,,,,31.140559999999997,152.83,21327.0,70.01944,343.64,47953.69,,,
2004-10-01,,,,31.14071,152.83,21327.0,72.12029,353.95,49392.25,,,
2004-11-01,,,,31.140729999999998,152.83,21327.0,89.41826999999999,438.85,61238.88,,,
2004-12-01,,,,31.14128,152.84,21327.0,239.84271999999999,1177.11,164255.5,,,
2006-01-01,,,,82.18198,403.34,45095.12,45.456019999999995,223.09,24942.75,,,
2006-02-01,,,,81.94274,402.16,44963.68,41.894259999999996,205.61,22988.25,,,
2006-03-01,,,,89.39475999999999,438.73,49052.94,39.77224,195.19,21823.94,,,
2006-04-01,,,,75.15987,368.87,41241.94,30.522129999999997,149.8,16748.19,,,
2006-05-01,,,,72.90961,357.83,40007.55,27.73539,136.12,15219.19,,,
2006-06-01,,,,93.26463,457.73,51177.37,26.93637,132.2,14780.88,,,
2006-07-01,,,,139.66935999999998,685.47,76641.33,32.12064,157.64,17625.69,,,
2006-08-01,,,,131.49496,645.36,72155.75,27.456039999999998,134.75,15066.06,,,
2006-09-01,,,,93.26984,457.75,51180.08,28.72216,140.96,15760.75,,,
2006-10-01,,,,104.01871,510.5,57078.39,27.21729,133.58,14935.0,,,
2006-11-01,,,,89.47107,439.11,49095.04,33.35093,163.68,18300.5,,,
2006-12-01,,,,87.42703,429.07,47972.82,45.81597,224.86,25140.06,,,
2007-01-01,,,,0.0,0.0,54594.0,0.0,0.0,52563.0,,,
2007-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-01-01,,,,0.0,0.0,141606.0,0.0,0.0,52113.0,,,
2008-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-09-01,,,,1292.0,0.0,0.0,1292.0,0.0,0.0,,,
2008-10-01,,,,442.0,0.0,0.0,442.0,0.0,0.0,,,
2008-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-01-01,,,,0.0,0.0,8804.0,0.0,0.0,34394.0,,,
2009-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-03-01,,,,0.0,0.0,828.0,0.0,0.0,0.0,,,
2009-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,,,,0.0,0.0,23156.0,0.0,0.0,7550.0,,,
2009-06-01,,,,0.0,0.0,26591.0,0.0,0.0,0.0,,,
2009-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-10-01,,,,0.0,0.0,101873.0,0.0,0.0,0.0,,,
2009-11-01,,,,0.0,0.0,65128.0,0.0,0.0,0.0,,,
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-01-01,0.0,0.0,0.0,0.0,0.0,47075.0,0.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,34743.0,0.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,23088.0,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,19339.0,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,0.0,0.0,16228.0,0.0,0.0,0.0,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,0.0,0.0,30762.0,0.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,0.0,0.0,40161.0,0.0,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,94021.0,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,0.0,0.0,23560.0,0.0,0.0,0.0,,,
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-02-01,0.0,0.0,0.0,0.0,0.0,2721.0,0.0,0.0,0.0,,,
2011-03-01,0.0,0.0,0.0,0.0,0.0,1790.0,0.0,0.0,0.0,,,
2011-04-01,0.0,0.0,0.0,0.0,0.0,12558.0,0.0,0.0,0.0,,,
2011-05-01,0.0,0.0,0.0,0.0,0.0,54277.0,0.0,0.0,0.0,,,
2011-06-01,0.0,0.0,0.0,0.0,0.0,3045.0,0.0,0.0,0.0,,,
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-08-01,0.0,0.0,0.0,0.0,0.0,22432.0,0.0,0.0,0.0,,,
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-10-01,0.0,0.0,0.0,0.0,0.0,106880.0,0.0,0.0,0.0,,,
2011-11-01,0.0,0.0,0.0,0.0,0.0,76426.0,0.0,0.0,0.0,,,
2011-12-01,0.0,0.0,0.0,0.0,0.0,13344.0,0.0,0.0,0.0,,,
2012-01-01,0.0,0.0,0.0,0.0,0.0,28950.0,0.0,0.0,0.0,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,54324.0,0.0,0.0,0.0,,,
2012-03-01,0.0,0.0,0.0,0.0,0.0,17475.0,0.0,0.0,0.0,,,
2012-04-01,0.0,0.0,0.0,0.0,0.0,9177.0,0.0,0.0,0.0,,,
2012-05-01,0.0,0.0,0.0,0.0,0.0,11993.0,0.0,0.0,0.0,,,
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-09-01,0.0,0.0,0.0,0.0,0.0,3467.0,0.0,0.0,0.0,,,
2012-10-01,0.0,0.0,0.0,0.0,0.0,20165.0,0.0,0.0,0.0,,,
2012-11-01,0.0,0.0,0.0,0.0,0.0,561.0,0.0,0.0,0.0,,,
2012-12-01,0.0,0.0,0.0,0.0,0.0,25021.0,0.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,3610.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,5399.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,42306.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,111070.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,54628.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,24065.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,82847.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,31406.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,23992.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,37774.0,0.0,0.0,16763.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,4994.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,5823.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,120583.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,69406.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,2478.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,23091.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,23452.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,-1137.914,0.0,19340.0,-1052.086,0.0,17881.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,19325.0,0.0,0.0,20881.0,0.0,0.0,0.0
