measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed
2012-04-01,652.165,4699.0,4699.0
2012-05-01,647.357,4664.0,4664.0
2012-06-01,823.264,5932.0,5932.0
2012-07-01,1091.519,7865.0,7865.0
2012-08-01,1100.704,7930.0,7930.0
2012-09-01,950.821,6851.0,6851.0
2012-10-01,961.891,6930.0,6930.0
2012-11-01,992.132,7149.0,7149.0
2012-12-01,857.147,6175.0,6175.0
2013-01-01,809.75,6732.0,6732.0
2013-02-01,771.53,6414.0,6414.0
2013-03-01,826.563,6871.0,6871.0
2013-04-01,778.237,6469.0,6469.0
2013-05-01,889.081,7390.0,7390.0
2013-06-01,778.874,6474.0,6474.0
2013-07-01,1028.259,8548.0,8548.0
2013-08-01,912.215,7583.0,7583.0
2013-09-01,849.434,7060.0,7060.0
2013-10-01,761.414,6329.0,6329.0
2013-11-01,779.084,6476.0,6476.0
2013-12-01,734.559,6106.0,6106.0
2014-01-01,593.646,5357.0,5357.0
2014-02-01,649.375,5860.0,5860.0
2014-03-01,686.7,6196.0,6196.0
2014-04-01,858.895,7751.0,7751.0
2014-05-01,792.649,7153.0,7153.0
2014-06-01,883.704,7974.0,7974.0
2014-07-01,1104.254,9965.0,9965.0
2014-08-01,1051.187,9486.0,9486.0
2014-09-01,794.685,7171.0,7171.0
2014-10-01,695.185,6274.0,6274.0
2014-11-01,841.75,7596.0,7596.0
2014-12-01,981.97,8861.0,8861.0
2015-01-01,670.712,6553.0,6553.0
2015-02-01,469.458,4587.0,4587.0
2015-03-01,527.251,5151.0,5151.0
2015-04-01,560.14,5472.0,5472.0
2015-05-01,534.07,5217.0,5217.0
2015-06-01,575.879,5626.0,5626.0
2015-07-01,691.481,6756.0,6756.0
2015-08-01,742.173,7251.0,7251.0
2015-09-01,647.175,6322.0,6322.0
2015-10-01,644.994,6302.0,6302.0
2015-11-01,619.122,6049.0,6049.0
2015-12-01,705.545,6893.0,6893.0
2016-01-01,652.427,4576.0,6091.0
2016-02-01,597.9,4194.0,5583.0
2016-03-01,548.727,3849.0,5124.0
2016-04-01,697.318,4891.0,6511.0
2016-05-01,626.647,4395.0,5851.0
2016-06-01,564.178,3957.0,5269.0
2016-07-01,684.882,4804.0,6395.0
2016-08-01,735.002,5155.0,6863.0
2016-09-01,605.012,4244.0,5649.0
2016-10-01,594.681,4171.0,5553.0
2016-11-01,606.669,4255.0,5665.0
2016-12-01,582.557,4086.0,5440.0
2017-01-01,906.554,6420.0,8062.0
2017-02-01,725.247,5136.0,6450.0
2017-03-01,686.181,4859.0,6102.0
2017-04-01,623.482,4415.0,5545.0
2017-05-01,563.455,3990.0,5012.0
2017-06-01,660.423,4677.0,5873.0
2017-07-01,900.749,6379.0,8011.0
2017-08-01,898.231,6361.0,7989.0
2017-09-01,664.423,4705.0,5909.0
2017-10-01,789.004,5587.0,7017.0
2017-11-01,884.715,6265.0,7868.0
2017-12-01,893.536,6328.0,7946.0
2018-01-01,763.016,5327.0,6567.0
2018-02-01,748.214,5224.0,6439.0
2018-03-01,885.158,6180.0,7619.0
2018-04-01,748.271,5224.0,6440.0
2018-05-01,701.792,4900.0,6040.0
2018-06-01,953.424,6657.0,8205.0
2018-07-01,1148.093,8016.0,9881.0
2018-08-01,1200.369,8381.0,10330.0
2018-09-01,995.343,6949.0,8566.0
2018-10-01,993.425,6936.0,8550.0
2018-11-01,1051.413,7341.0,9048.0
2018-12-01,1097.482,7662.0,9445.0
2019-01-01,891.739,6228.0,7938.0
2019-02-01,796.859,5565.0,7092.0
2019-03-01,803.778,5614.0,7154.0
2019-04-01,878.282,6134.0,7817.0
2019-05-01,837.158,5847.0,7451.0
2019-06-01,915.537,6394.0,8149.0
2019-07-01,1227.227,8571.0,10923.0
2019-08-01,1121.993,7836.0,9986.0
2019-09-01,903.538,6310.0,8042.0
