measured_on,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed
2003-01-01,0.0,175.0,243.0
2003-02-01,0.0,155.0,214.0
2003-03-01,0.0,159.0,221.0
2003-04-01,0.0,143.0,198.0
2003-05-01,0.0,146.0,202.0
2003-06-01,0.0,155.0,214.0
2003-07-01,0.0,179.0,248.0
2003-08-01,0.0,190.0,263.0
2003-09-01,0.0,159.0,220.0
2003-10-01,0.0,149.0,207.0
2003-11-01,0.0,149.0,206.0
2003-12-01,0.0,165.0,229.0
