measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,673.014,18615.0,78014.0,1.6380000000000001,21.0,21.0,,,,466.94800000000004,4782.01,4782.01
2003-02-01,616.128,17041.0,71420.0,1.5,19.0,19.0,,,,427.47900000000004,4377.81,4377.81
2003-03-01,705.55,19514.0,81786.0,1.718,22.0,22.0,,,,489.52200000000005,5013.19,5013.19
2003-04-01,679.832,18803.0,78805.0,1.655,21.0,21.0,,,,471.678,4830.45,4830.45
2003-05-01,725.425,20064.0,84090.0,1.766,23.0,23.0,,,,503.31100000000004,5154.41,5154.41
2003-06-01,722.048,19971.0,83698.0,1.758,23.0,23.0,,,,500.968,5130.41,5130.41
2003-07-01,765.042,21160.0,88682.0,1.862,24.0,24.0,,,,530.798,5435.9,5435.9
2003-08-01,773.55,21395.0,89668.0,1.883,24.0,24.0,,,,536.701,5496.35,5496.35
2003-09-01,753.316,20836.0,87323.0,1.834,24.0,24.0,,,,522.663,5352.59,5352.59
2003-10-01,779.587,21562.0,90368.0,1.8980000000000001,25.0,25.0,,,,540.89,5539.25,5539.25
2003-11-01,712.375,19703.0,82577.0,1.734,23.0,23.0,,,,494.257,5061.69,5061.69
2003-12-01,720.342,19924.0,83501.0,1.754,23.0,23.0,,,,499.785,5118.3,5118.3
2004-01-01,843.75219,4641.28,95150.71,0.252,3.26,45.76,2.09481,11.52,236.23,272.68600000000004,2732.86,2732.86
2004-02-01,842.07362,4632.04,95150.71,0.24700000000000003,3.2,44.83,0.18838,1.04,21.29,451.237,4522.3,4522.3
2004-03-01,842.01484,4631.72,95150.71,0.23,2.98,41.82,0.12215999999999999,0.67,13.8,843.431,8452.87,8452.87
2004-04-01,842.25862,4633.06,95150.71,0.20900000000000002,2.7,37.93,0.39737999999999996,2.19,44.89,1261.9460000000001,12647.22,12647.22
2004-05-01,841.95703,4631.4,95150.71,0.24100000000000002,3.12,43.91,0.05697,0.31,6.44,606.787,6081.22,6081.22
2004-06-01,841.95411,4631.39,95150.71,0.275,3.57,50.05,0.05389,0.3,6.09,497.00100000000003,4980.94,4980.94
2004-07-01,842.28386,4633.2,95150.71,0.28800000000000003,3.72,52.32,0.42613999999999996,2.34,48.14,243.28400000000002,2438.19,2438.19
2004-08-01,842.03623,4631.84,95150.71,0.273,3.53,49.59,0.14576999999999998,0.8,16.47,218.86100000000002,2193.42,2193.42
2004-09-01,842.03426,4631.83,95150.71,0.268,3.48,48.78,0.14473999999999998,0.8,16.36,0.0,0.0,0.0
2004-10-01,842.0037000000001,4631.66,95150.71,0.266,3.44,48.37,0.10830000000000001,0.6,12.24,110.497,1107.4,1107.4
2004-11-01,842.02455,4631.78,95150.71,0.152,1.97,27.72,0.13344999999999999,0.73,15.08,400.968,4018.5,4018.5
2004-12-01,841.97407,4631.49,95150.71,0.24,3.11,43.62,0.07493,0.41,8.47,848.173,8500.39,8500.39
2005-01-01,1160.278,6382.41,90441.98,4.256,16.82,16.82,0.0,0.0,0.0,268.212,2681.85,2681.85
2005-02-01,989.5590000000001,5443.33,77134.68,1.038,4.12,4.12,0.0,0.0,0.0,324.559,3245.26,3245.26
2005-03-01,1105.49,6081.04,86171.38,1.484,5.86,5.86,0.0,0.0,0.0,353.639,3536.04,3536.04
2005-04-01,1020.7,5614.63,79562.04,1.219,4.81,4.81,0.0,0.0,0.0,587.837,5877.79,5877.79
2005-05-01,1118.34,6151.72,87172.99,1.26,4.99,4.99,0.0,0.0,0.0,839.426,8393.42,8393.42
2005-06-01,1084.3790000000001,5964.91,84525.83,1.102,4.35,4.35,0.0,0.0,0.0,905.1210000000001,9050.31,9050.31
2005-07-01,1165.011,6408.45,90810.88,3.216,12.7,12.7,0.0,0.0,0.0,945.981,9458.87,9458.87
2005-08-01,1122.225,6173.09,87475.85,3.8930000000000002,15.37,15.37,0.0,0.0,0.0,797.171,7970.91,7970.91
2005-09-01,1068.435,5877.2,83282.93,3.214,12.7,12.7,0.0,0.0,0.0,483.634,4835.86,4835.86
2005-10-01,922.05,5071.98,71872.44,1.355,5.34,5.34,0.0,0.0,0.0,279.653,2796.25,2796.25
2005-11-01,1026.699,5647.62,80029.67,1.358,5.34,5.34,0.0,0.0,0.0,240.72,2406.96,2406.96
2005-12-01,1148.875,6319.69,89553.08,3.063,12.06,12.06,0.0,0.0,0.0,216.98700000000002,2169.65,2169.65
2006-01-01,768.8038799999999,4229.01,84228.75,0.895,9.8,9.8,0.01112,0.06,1.22,923.0590000000001,9156.0,9156.0
2006-02-01,688.54724,3787.53,75436.0,1.084,11.83,11.83,0.01376,0.08,1.51,731.2180000000001,7253.0,7253.0
2006-03-01,618.16135,3400.36,67724.74,0.916,10.03,10.03,0.011649999999999999,0.06,1.28,558.818,5543.0,5543.0
2006-04-01,562.01,3091.48,61572.84,0.705,7.71,7.71,0.009000000000000001,0.05,0.99,488.994,4850.0,4850.0
2006-05-01,654.06965,3597.88,71658.65,1.246,13.63,13.63,0.015349999999999999,0.08,1.68,480.81600000000003,4769.0,4769.0
2006-06-01,444.84718,2446.99,48736.6,1.1720000000000002,12.82,12.82,0.01482,0.08,1.62,471.386,4676.0,4676.0
2006-07-01,590.03365,3245.64,64643.09,1.238,13.51,13.51,0.015349999999999999,0.08,1.68,559.966,5554.0,5554.0
2006-08-01,579.96165,3190.23,63539.65,1.9480000000000002,21.29,21.29,0.02435,0.13,2.67,460.18100000000004,4565.0,4565.0
2006-09-01,539.31612,2966.65,59086.43,1.2710000000000001,13.86,13.86,0.01588,0.09,1.74,512.421,5083.0,5083.0
2006-10-01,618.01753,3399.57,67708.93,0.678,7.42,7.42,0.00847,0.05,0.93,705.534,6998.0,6998.0
2006-11-01,678.82212,3734.04,74370.56,0.549,5.97,5.97,0.00688,0.04,0.75,921.702,9142.0,9142.0
2006-12-01,696.17977,3829.51,76272.23,1.038,11.37,11.37,0.013229999999999999,0.07,1.45,690.106,6845.0,6845.0
2007-01-01,706.623,3884.0,79139.0,1.185,12.0,12.0,0.096,0.0,12.0,1027.585,10157.0,10157.0
2007-02-01,447.60200000000003,2462.0,50130.0,1.0470000000000002,12.0,12.0,0.085,0.0,12.0,519.15,5131.0,5131.0
2007-03-01,490.05600000000004,2698.0,54880.0,1.205,12.0,12.0,0.098,0.0,12.0,536.2420000000001,5300.0,5300.0
2007-04-01,628.481,3458.0,70384.0,1.135,12.0,12.0,0.092,0.0,12.0,707.166,6990.0,6990.0
2007-05-01,629.919,3466.0,70543.0,1.242,17.0,17.0,0.101,0.0,12.0,110.973,1097.0,1097.0
2007-06-01,589.9870000000001,3245.0,66074.0,1.222,12.0,12.0,0.099,0.0,12.0,151.536,1498.0,1498.0
2007-07-01,539.3240000000001,2964.0,60397.0,1.2970000000000002,17.0,17.0,0.105,0.0,12.0,307.153,3036.0,3036.0
2007-08-01,346.655,1908.0,38821.0,1.353,17.0,17.0,0.11,0.0,12.0,514.558,5086.0,5086.0
2007-09-01,289.165,1588.0,32384.0,1.284,17.0,17.0,0.10400000000000001,0.0,12.0,632.419,6251.0,6251.0
2007-10-01,602.961,3314.0,67526.0,1.369,17.0,17.0,0.111,0.0,12.0,755.6370000000001,7469.0,7469.0
2007-11-01,668.842,3678.0,74906.0,1.19,12.0,12.0,0.096,0.0,12.0,320.67400000000004,3170.0,3170.0
2007-12-01,650.342,3580.0,72831.0,1.17,12.0,12.0,0.095,0.0,12.0,1377.597,13616.0,13616.0
2008-01-01,356.744,1962.0,48016.0,0.0,0.0,0.0,,,,1295.314,12764.0,12764.0
2008-02-01,338.194,1860.0,45528.0,0.0,0.0,0.0,,,,1628.193,16044.0,16044.0
2008-03-01,530.1800000000001,2916.0,71376.0,0.0,0.0,0.0,,,,795.375,7838.0,7838.0
2008-04-01,544.581,2996.0,73312.0,0.0,0.0,0.0,,,,613.504,6045.0,6045.0
2008-05-01,640.174,3521.0,86184.0,0.0,0.0,0.0,,,,884.664,8717.0,8717.0
2008-06-01,655.224,3604.0,88208.0,0.0,0.0,0.0,,,,82.294,811.0,811.0
2008-07-01,594.7,3271.0,80056.0,0.0,0.0,0.0,,,,558.779,5506.0,5506.0
2008-08-01,589.889,3245.0,79416.0,0.0,0.0,0.0,,,,392.95500000000004,3872.0,3872.0
2008-09-01,535.994,2948.0,72160.0,0.0,0.0,0.0,,,,0.8230000000000001,8.0,8.0
2008-10-01,442.81800000000004,2436.0,59616.0,0.0,0.0,0.0,,,,36.621,361.0,361.0
2008-11-01,561.77,3090.0,75624.0,0.0,0.0,0.0,,,,220.137,2169.0,2169.0
2008-12-01,355.284,1954.0,47832.0,12.74,161.0,161.0,0.368,2.0,50.0,852.981,8405.0,8405.0
2009-01-01,693.62,3815.0,79792.0,0.24300000000000002,0.0,0.0,0.48100000000000004,3.0,62.0,554.469,5412.0,5412.0
2009-02-01,600.53,3303.0,69080.0,0.22,0.0,0.0,0.438,2.0,50.0,676.659,6604.0,6604.0
2009-03-01,844.373,4645.0,97128.0,0.227,0.0,0.0,0.452,2.0,50.0,1299.432,12682.0,12682.0
2009-04-01,880.8290000000001,4845.0,101320.0,0.223,0.0,0.0,0.445,2.0,50.0,1198.5120000000002,11697.0,11697.0
2009-05-01,961.614,5290.0,110616.0,0.263,3.0,6.0,0.523,3.0,62.0,16.308,159.0,159.0
2009-06-01,1099.671,6049.0,126496.0,0.251,3.0,6.0,0.5,3.0,56.0,392.571,3831.0,3831.0
2009-07-01,919.566,5058.0,105776.0,0.266,3.0,6.0,0.53,3.0,62.0,678.7860000000001,6625.0,6625.0
2009-08-01,1018.4620000000001,5602.0,117152.0,0.267,3.0,6.0,0.532,3.0,62.0,234.21900000000002,2286.0,2286.0
2009-09-01,1080.008,5941.0,124232.0,0.0,0.0,0.0,0.509,3.0,56.0,282.67,2759.0,2759.0
2009-10-01,888.13,4885.0,102160.0,0.0,0.0,0.0,0.551,3.0,62.0,680.441,6641.0,6641.0
2009-11-01,642.5590000000001,3535.0,73912.0,0.0,0.0,0.0,0.48100000000000004,3.0,56.0,992.182,9684.0,9684.0
2009-12-01,746.619,4107.0,85880.0,0.0,0.0,0.0,0.48700000000000004,3.0,56.0,257.38100000000003,2512.0,2512.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.565,5840.0,5840.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.706,4182.0,4182.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.294,5408.0,5408.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.461,6073.0,6073.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.79200000000003,4749.0,4749.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.888,5540.0,5540.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.2230000000001,6022.0,6022.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.433,5536.0,5536.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.672,4728.0,4728.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.34900000000005,4774.0,4774.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.66400000000004,4963.0,4963.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.9530000000001,7170.0,7170.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.324,343.0,343.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.47,1627.0,1627.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.281,7465.0,7465.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.266,6784.0,6784.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.438,12276.0,12276.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.29,9000.0,9000.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.324,1538.0,1538.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.732,2834.0,2834.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.916,242.0,242.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.962,1088.0,1088.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.548,15444.0,15444.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.179,16645.0,16645.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.332,1345.0,1345.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.543,6105.0,6105.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362.297,12964.0,12964.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.869,9543.0,9543.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.909,6422.0,6422.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.58,6200.0,6200.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.87,6812.0,6812.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.752,5736.0,5736.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.077,3074.0,3074.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.591,1043.0,1043.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.69,1510.0,1510.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.49,8769.0,8769.0
