measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed
2001-01-01,,,,570.0,7186.0,7186.0,288674.0,3447026.0,3447026.0,,,
2001-02-01,,,,510.0,6276.0,6276.0,266209.0,3119109.0,3119109.0,,,
2001-03-01,,,,720.0,8283.0,8283.0,277682.0,3093056.0,3093056.0,,,
2001-04-01,,,,613.0,7717.0,7717.0,267871.0,3011806.0,3011806.0,,,
2001-05-01,,,,403.0,4993.0,4993.0,262256.0,3048374.0,3048374.0,,,
2001-06-01,,,,587.0,7734.0,7734.0,237195.0,2667995.0,2667995.0,,,
2001-07-01,,,,907.0,10808.0,10808.0,283686.0,3265733.0,3265733.0,,,
2001-08-01,,,,461.0,5261.0,5261.0,331052.0,3709047.0,3709047.0,,,
2001-09-01,,,,213.0,2362.0,2362.0,288996.0,3299777.0,3299777.0,,,
2001-10-01,,,,500.0,6043.0,6043.0,274253.0,2983270.0,2983270.0,,,
2001-11-01,,,,545.0,6300.0,6300.0,268054.0,2970650.0,2970650.0,,,
2001-12-01,,,,385.0,4561.0,4561.0,253351.0,2212833.0,2212833.0,,,
2002-01-01,131004.0,1289596.0,1289596.0,335.0,4188.0,4188.0,132456.0,1926738.0,1926738.0,,,
2002-02-01,136471.0,1344618.0,1344618.0,370.0,4802.0,4802.0,108230.0,1584638.0,1584638.0,,,
2002-03-01,138597.0,1390075.0,1390075.0,570.0,6803.0,6803.0,135670.0,2008908.0,2008908.0,,,
2002-04-01,111603.0,1121692.0,1121692.0,458.0,5336.0,5336.0,130456.0,1888260.0,1888260.0,,,
2002-05-01,99342.0,1001198.0,1001198.0,412.0,4739.0,4739.0,147705.0,2120096.0,2120096.0,,,
2002-06-01,133518.0,1304138.0,1304138.0,1164.0,12708.0,12708.0,134194.0,1919192.0,1919192.0,,,
2002-07-01,129675.0,1292434.0,1292434.0,1296.0,14923.0,14923.0,149422.0,2148080.0,2148080.0,,,
2002-08-01,143241.0,1430726.0,1430726.0,1292.0,15915.0,15915.0,140619.0,2051874.0,2051874.0,,,
2002-09-01,126282.0,1307555.0,1307555.0,168.0,1920.0,1920.0,144772.0,2094730.0,2094730.0,,,
2002-10-01,114101.0,1220758.0,1220758.0,852.0,10046.0,10046.0,141143.0,2014364.0,2014364.0,,,
2002-11-01,144920.0,1463308.0,1463308.0,423.0,4739.0,4739.0,97038.0,1406372.0,1406372.0,,,
2002-12-01,150030.0,1548378.0,1548378.0,1306.0,15486.0,15486.0,111608.0,1608464.0,1608464.0,,,
2003-01-01,128626.0,1300310.0,1300310.0,530.0,6177.0,6177.0,143567.0,1643994.0,1643994.0,,,
2003-02-01,110039.0,1180242.0,1180242.0,471.0,6693.0,6693.0,129782.0,1548036.0,1548036.0,,,
2003-03-01,152981.0,1760466.0,1760466.0,883.0,10573.0,10573.0,115865.0,1409202.0,1409202.0,,,
2003-04-01,145592.0,1639802.0,1639802.0,617.0,7470.0,7470.0,112669.0,1359576.0,1359576.0,,,
2003-05-01,47356.0,507779.0,507779.0,133.0,1583.0,1583.0,72445.0,851796.0,851796.0,,,
2003-06-01,66292.0,702852.0,702852.0,533.0,7644.0,7644.0,88219.0,1058094.0,1058094.0,,,
2003-07-01,139613.0,1414446.0,1414446.0,735.0,8294.0,8294.0,148912.0,1755864.0,1755864.0,,,
2003-08-01,160161.0,1633878.0,1633878.0,130.0,1479.0,1479.0,145294.0,1665936.0,1665936.0,,,
2003-09-01,134122.0,1328775.0,1328775.0,730.0,8120.0,8120.0,138526.0,1616742.0,1616742.0,,,
2003-10-01,169485.0,1715934.0,1715934.0,251.0,2836.0,2836.0,102175.0,1243638.0,1243638.0,,,
2003-11-01,154143.0,1607894.0,1607894.0,542.0,7151.0,7151.0,130139.0,1586412.0,1586412.0,,,
2003-12-01,115043.0,1288342.0,1288342.0,159.0,1902.0,1902.0,139460.0,1681110.0,1681110.0,,,
2004-01-01,163548.0,1732742.0,1732742.0,1310.0,15295.0,15295.0,98584.0,1182870.0,1182870.0,,,
2004-02-01,148471.0,1543494.0,1543494.0,619.0,8816.0,8816.0,85605.0,1070838.0,1070838.0,,,
2004-03-01,110527.0,1194620.0,1194620.0,1658.0,18949.0,18949.0,148652.0,1814040.0,1814040.0,,,
2004-04-01,136282.0,1423619.0,1423619.0,540.0,6218.0,6218.0,146957.0,1778832.0,1778832.0,,,
2004-05-01,142809.0,1526528.0,1526528.0,648.0,8195.0,8195.0,148832.0,1767960.0,1767960.0,,,
2004-06-01,141140.0,1433089.0,1433089.0,707.0,8091.0,8091.0,143900.0,1737126.0,1737126.0,,,
2004-07-01,133715.0,1384544.0,1384544.0,582.0,6769.0,6769.0,144555.0,1728882.0,1728882.0,,,
2004-08-01,162752.0,1676620.0,1676620.0,1938.0,23583.0,23583.0,125723.0,1531602.0,1531602.0,,,
2004-09-01,117965.0,1290802.0,1290802.0,446.0,5290.0,5290.0,139944.0,1654074.0,1654074.0,,,
2004-10-01,155151.0,1645696.0,1645696.0,363.0,4193.0,4193.0,113587.0,1291122.0,1291122.0,,,
2004-11-01,152179.0,1582791.0,1582791.0,268.0,3091.0,3091.0,118307.0,1386900.0,1386900.0,,,
2004-12-01,162182.0,1628488.0,1628488.0,796.0,9152.0,9152.0,105566.0,1286532.0,1286532.0,,,
2005-01-01,118933.0,1378034.64,1378034.64,449.0,5351.01,5351.01,140759.0,1680372.0,1680372.0,,,
2005-02-01,112659.0,1171133.37,1171133.37,344.0,3978.8,3978.8,129102.0,1578827.0,1578827.0,,,
2005-03-01,124966.0,1300449.2,1300449.2,700.0,9262.6,9262.6,152382.0,1836884.0,1836884.0,,,
