measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2020-01-01,-9.062,0.0,0.0
2020-02-01,-7.004,0.0,0.0
2020-03-01,-10.747,0.0,0.0
2020-04-01,-9.53,0.0,0.0
2020-05-01,-9.233,0.0,0.0
2020-06-01,-8.2,0.0,0.0
2020-07-01,-9.694,0.0,0.0
2020-08-01,-9.662,0.0,0.0
2020-09-01,-10.445,0.0,0.0
2020-10-01,-11.155,0.0,0.0
2020-11-01,-10.996,0.0,0.0
2020-12-01,-10.272,0.0,0.0
2024-01-01,-2.0,0.0,0.0
2024-02-01,-3.0,0.0,0.0
2024-03-01,-5.0,0.0,0.0
2024-04-01,-8.0,0.0,0.0
2024-05-01,-8.0,0.0,0.0
2024-06-01,-8.0,0.0,0.0
2024-07-01,-8.0,0.0,0.0
2024-08-01,-8.0,0.0,0.0
2024-09-01,-8.0,0.0,0.0
2024-10-01,-13.0,0.0,0.0
2024-11-01,-6.0,0.0,0.0
2024-12-01,-5.0,0.0,0.0
