measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,-116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,359.0,5812.0,5812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,-139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,-124.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,-116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,-106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,52.25,1284.0,1284.0,655.041,12251.0,12251.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,52.25,1284.0,1284.0,576.1560000000001,10775.0,10775.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,52.25,1284.0,1284.0,538.777,10076.0,10076.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,52.25,1284.0,1284.0,627.0110000000001,11726.0,11726.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,52.25,1284.0,1284.0,625.551,11699.0,11699.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,52.25,1284.0,1284.0,634.442,11865.0,11865.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,52.25,1284.0,1284.0,604.175,11299.0,11299.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,52.25,1284.0,1284.0,639.295,11956.0,11956.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,52.25,1284.0,1284.0,624.779,11685.0,11685.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,52.25,1284.0,1284.0,653.64,12224.0,12224.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,52.25,1284.0,1284.0,601.7760000000001,11254.0,11254.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,52.25,1284.0,1284.0,602.3580000000001,11265.0,11265.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,1.27,101.98,101.98,,,,,,,,,
2005-02-01,0.644,51.76,51.76,,,,,,,,,
2005-03-01,0.78,62.64,62.64,,,,,,,,,
2005-04-01,0.8130000000000001,65.27,65.27,,,,,,,,,
2005-05-01,0.9580000000000001,76.91,76.91,,,,,,,,,
2005-06-01,0.867,69.64,69.64,,,,,,,,,
2005-07-01,1.3880000000000001,111.51,111.51,,,,,,,,,
2005-08-01,1.5370000000000001,123.4,123.4,,,,,,,,,
2005-09-01,1.526,122.54,122.54,,,,,,,,,
2005-10-01,0.91,73.12,73.12,,,,,,,,,
2005-11-01,0.7260000000000001,58.28,58.28,,,,,,,,,
2005-12-01,1.5810000000000002,126.96,126.96,,,,,,,,,
