measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,696503.827,6305039.5,6305039.5,203.43800000000002,2350.3333333333335,2350.3333333333335,299.194,3091.57,3091.57,206.4835,3307.0,3307.0,11.573,100.0,100.0,,,
2001-02-01,460555.984,4076833.0,4076833.0,38.99266666666667,416.0,416.0,748.764,7736.98,7736.98,179.888,2883.0,2883.0,10.1,87.0,87.0,,,
2001-03-01,490180.541,4399819.0,4399819.0,423.79400000000004,3255.3333333333335,3255.3333333333335,799.828,8264.625,8264.625,176.478,2790.0,2790.0,9.589,83.0,83.0,,,
2001-04-01,442331.3965,3965532.5,3965532.5,487.25500000000005,3698.0,3698.0,795.321,8218.055,8218.055,151.797,2404.0,2404.0,8.283000000000001,71.0,71.0,,,
2001-05-01,388126.1065,3583720.0,3583720.0,2053.2193333333335,15629.666666666666,15629.666666666666,794.81,8212.775,8212.775,164.9905,2599.5,2599.5,8.893,77.0,77.0,,,
2001-06-01,624042.852,5531722.0,5531722.0,358.5663333333334,2735.0,2735.0,663.196,6852.805,6852.805,196.633,3149.0,3149.0,11.019,95.0,95.0,,,
2001-07-01,652486.46,6025509.5,6025509.5,216.6146666666667,1768.6666666666667,1768.6666666666667,280.4135,2897.5099999999998,2897.5099999999998,224.97400000000002,3645.5,3645.5,12.96,112.0,112.0,,,
2001-08-01,714212.837,6454626.5,6454626.5,320.49033333333335,2506.6666666666665,2506.6666666666665,752.4639999999999,7775.209999999999,7775.209999999999,229.7665,3720.0,3720.0,13.213000000000001,114.0,114.0,,,
2001-09-01,505469.854,4704577.5,4704577.5,1139.9863333333335,8806.0,8806.0,667.54,6897.6900000000005,6897.6900000000005,182.2615,2992.0,2992.0,10.827,93.0,93.0,,,
2001-10-01,565727.519,5090558.5,5090558.5,297.1706666666667,2325.0,2325.0,483.976,5000.924999999999,5000.924999999999,184.54749999999999,2994.5,2994.5,10.666,92.0,92.0,,,
2001-11-01,510822.742,4517831.5,4517831.5,566.5626666666667,4241.666666666667,4241.666666666667,283.337,2927.7250000000004,2927.7250000000004,182.0285,2961.0,2961.0,10.583,91.0,91.0,,,
2001-12-01,486661.881,4465849.0,4465849.0,1237.91,9442.0,9442.0,48.657,502.775,502.775,196.1525,3177.5,3177.5,11.293000000000001,97.0,97.0,,,
2002-01-01,617002.0,5569002.5,5569002.5,216.4905,1641.5,1641.5,33.2535,338.29,338.29,-78.077,492.0,492.0,-94.0,0.0,0.0,,,
2002-02-01,568631.5,5050385.0,5050385.0,136.0965,1030.0,1030.0,29.963,304.81500000000005,304.81500000000005,71.861,1070.5,1070.5,-120.0,0.0,0.0,,,
2002-03-01,602040.5,5388495.5,5388495.5,325.85225,2369.5,2369.5,34.613,352.12,352.12,125.717,1921.0,1921.0,-35.0,1235.0,1235.0,,,
2002-04-01,599047.5,5210601.0,5210601.0,462.31,3399.25,3399.25,85.8065,872.9100000000001,872.9100000000001,33.497,607.5,607.5,-36.0,29.0,29.0,,,
2002-05-01,514259.0,4559697.0,4559697.0,1011.91425,7395.25,7395.25,713.8505,7262.0,7262.0,136.2065,2913.5,2913.5,-5.0,35.0,35.0,,,
2002-06-01,635651.5,5870268.5,5870268.5,25.33875,242.75,242.75,569.253,5791.01,5791.01,201.183,2984.0,2984.0,-27.0,0.0,0.0,,,
2002-07-01,683171.5,6481186.5,6481186.5,177.1255,1351.75,1351.75,472.3245,4804.955,4804.955,663.869,9087.5,9087.5,114.0,1792.0,1792.0,,,
2002-08-01,677488.5,6243044.5,6243044.5,16.33875,188.25,188.25,101.214,1029.65,1029.65,345.8115,5506.5,5506.5,23.0,423.0,423.0,,,
2002-09-01,596308.0,5481603.0,5481603.0,181.65975,1694.5,1694.5,210.9125,2145.615,2145.615,144.811,1950.0,1950.0,-38.0,52.0,52.0,,,
2002-10-01,671135.5,6078574.0,6078574.0,142.15,1327.75,1327.75,447.8425,4555.9,4555.9,95.84,1949.5,1949.5,6.0,50.0,50.0,,,
2002-11-01,500884.5,4548245.0,4548245.0,301.15675,2780.5,2780.5,371.9455,3783.8,3783.8,-28.11,539.0,539.0,-17.0,0.0,0.0,,,
2002-12-01,597681.0,5470220.5,5470220.5,375.81675,3498.0,3498.0,258.521,2629.935,2629.935,20.890500000000003,753.5,753.5,-47.0,0.0,0.0,143.0,4838.0,4838.0
2003-01-01,746706.5,6603468.5,6603468.5,130.9802,1365.4,1365.4,507.197,5194.205,5194.205,-35.264250000000004,363.5,363.5,,,,139.0,3251.0,3251.0
2003-02-01,645933.0,5804465.5,5804465.5,21.433833333333336,480.6,480.6,439.062,4496.4349999999995,4496.4349999999995,-38.64125,309.0,309.0,,,,16.0,361.0,361.0
2003-03-01,1221563.0,10950862.0,10950862.0,88.50816666666668,1175.6,1175.6,223.221,2286.005,2286.005,-20.831,341.5,341.5,,,,24.0,619.0,619.0
2003-04-01,397267.5,3584419.0,3584419.0,126.786,1566.2,1566.2,558.2065,5716.594999999999,5716.594999999999,-11.75925,296.0,296.0,,,,0.0,0.0,0.0
2003-05-01,592546.5,5345242.0,5345242.0,312.2758333333333,3600.0,3600.0,59.733000000000004,611.725,611.725,-10.68525,266.5,266.5,,,,0.0,0.0,0.0
2003-06-01,627983.0,5646609.5,5646609.5,161.5815,1941.8,1941.8,180.206,1845.49,1845.49,40.0745,1299.6666666666667,1299.6666666666667,,,,0.0,0.0,0.0
