measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,-361.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1529.0,25685.0,25685.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1656.0,27993.0,27993.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3487.0,39964.0,39964.0
2003-05-01,0.0,0.0,0.0,6.0,70.0,70.0,,,,21231.0,256467.0,256467.0
2003-06-01,0.0,0.0,0.0,5.0,70.0,70.0,,,,3084.0,42587.0,42587.0
2003-07-01,0.0,0.0,0.0,2.0,29.0,29.0,,,,9452.0,119551.0,119551.0
2003-08-01,0.0,0.0,0.0,21.0,251.0,251.0,,,,22214.0,265629.0,265629.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,8012.0,97442.0,97442.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,9538.0,108827.0,108827.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4612.0,56255.0,56255.0
2003-12-01,0.0,0.0,0.0,-594.0,0.0,0.0,,,,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3708.0,53731.0,53731.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4507.0,19974.0,19974.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,-305.0,0.0,0.0
2004-04-01,0.0,52.0,52.0,0.0,0.0,0.0,,,,-281.0,0.0,0.0
2004-05-01,0.0,93.0,93.0,0.0,0.0,0.0,,,,1928.0,25830.0,25830.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,5394.0,69738.0,69738.0
2004-07-01,0.0,93.0,93.0,0.0,0.0,0.0,,,,31168.0,396602.0,396602.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,17385.0,207149.0,207149.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,986.0,18340.0,18340.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,6920.0,81679.0,81679.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3.0,3.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2149.0,33677.95,33677.95
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3802.0,48864.95,48864.95
2005-06-01,0.0,69.6,69.6,0.0,0.0,0.0,,,,18431.0,224886.31,224886.31
2005-07-01,0.0,214.6,214.6,0.0,0.0,0.0,,,,4849.0,75908.94,75908.94
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,11664.0,159877.63,159877.63
2005-09-01,0.0,63.8,63.8,0.0,0.0,0.0,,,,16726.0,211818.47,211818.47
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,7957.0,96150.5,96150.5
2005-11-01,0.0,87.0,87.0,0.0,0.0,0.0,,,,1687.0,30516.84,30516.84
2005-12-01,0.0,92.8,92.8,0.0,0.0,0.0,,,,0.0,325.48,325.48
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2350.0,32951.0,32951.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,15.0,15.0
2006-04-01,0.0,186.0,186.0,0.0,0.0,0.0,,,,4249.0,35184.0,35184.0
2006-05-01,0.0,46.0,46.0,0.0,0.0,0.0,,,,12777.0,122912.0,122912.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,22275.0,215852.0,215852.0
2006-07-01,0.0,157.0,157.0,0.0,0.0,0.0,,,,20800.0,211320.0,211320.0
2006-08-01,0.0,75.0,75.0,0.0,0.0,0.0,,,,29043.0,287353.0,287353.0
2006-09-01,0.0,46.0,46.0,258.0,2645.0,2645.0,,,,4464.0,45688.0,45688.0
2006-10-01,0.0,58.0,58.0,0.0,0.0,0.0,,,,2355.0,27004.0,27004.0
2006-11-01,0.0,46.0,46.0,0.0,0.0,0.0,,,,859.0,11919.0,11919.0
2006-12-01,0.0,87.0,87.0,0.0,0.0,0.0,,,,491.0,8631.0,8631.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4413.0,64936.0,64936.0
2007-02-01,0.0,116.0,116.0,0.0,0.0,0.0,,,,3460.0,51901.0,51901.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3041.0,3041.0
2007-04-01,0.0,70.0,70.0,0.0,0.0,0.0,,,,19.0,8762.0,8762.0
2007-05-01,0.0,93.0,93.0,0.0,0.0,0.0,,,,2584.0,39905.0,39905.0
2007-06-01,0.0,29.0,29.0,44.148,603.0,603.0,,,,6392.852,87346.0,87346.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4438.0,68590.0,68590.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,20358.0,270544.0,270544.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,10108.0,137881.0,137881.0
2007-10-01,0.0,0.0,0.0,3.282,46.0,46.0,,,,4287.718,60623.0,60623.0
2007-11-01,0.0,186.0,186.0,0.0,0.0,0.0,,,,4082.0,56874.0,56874.0
2007-12-01,0.0,0.0,0.0,-61.567,197.0,197.0,,,,-358.433,1148.0,1148.0
2008-01-01,0.0,64.0,64.0,,,,,,,1691.0,28106.0,28106.0
2008-02-01,0.0,0.0,0.0,,,,,,,178.0,5067.0,5067.0
2008-03-01,0.0,110.0,110.0,,,,,,,3010.0,40345.0,40345.0
