measured_on,Municipal Solid Waste Generation,Municipal Solid Waste Quantity Consumed For Electricity,Municipal Solid Waste Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed
2001-01-01,9695.5,194503.5,194503.5,2259.0,45289.0,45289.0,0.0,0.0,0.0
2001-02-01,9623.0,181539.0,181539.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-03-01,9116.5,172620.0,172620.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-04-01,9619.0,174289.5,174289.5,0.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,7292.0,166923.0,166923.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-06-01,10065.5,203652.0,203652.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-07-01,8982.0,183555.0,183555.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-01,10769.0,202792.5,202792.5,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-01,10218.5,207153.0,207153.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01,9117.0,181246.5,181246.5,0.0,0.0,0.0,0.0,0.0,0.0
2001-11-01,9056.0,185611.5,185611.5,0.0,0.0,0.0,0.0,0.0,0.0
2001-12-01,10190.0,189810.0,189810.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,9687.5,178774.5,178774.5,,,,,,
2002-02-01,9585.0,179665.5,179665.5,,,,,,
2002-03-01,10923.5,202428.5,202428.5,,,,,,
2002-04-01,9165.5,170115.0,170115.0,,,,,,
2002-05-01,9051.0,166209.0,166209.0,,,,,,
2002-06-01,10582.0,187938.5,187938.5,,,,,,
2002-07-01,10683.0,185224.0,185224.0,,,,,,
2002-08-01,9756.0,171540.0,171540.0,,,,,,
2002-09-01,10576.5,187743.0,187743.0,,,,,,
2002-10-01,9776.5,183961.0,183961.0,,,,,,
2002-11-01,9199.0,191291.0,191291.0,,,,,,
2002-12-01,9199.0,164630.0,164630.0,,,,,,
2003-01-01,10854.0,199213.5,199213.5,,,,,,
2003-02-01,9648.0,164465.5,164465.5,,,,,,
2003-03-01,10062.0,198175.5,198175.5,,,,,,
2003-04-01,10224.0,189616.5,189616.5,,,,,,
2003-05-01,5562.0,84494.0,84494.0,,,,,,
2003-06-01,9954.0,173781.5,173781.5,,,,,,
2003-07-01,10404.0,183993.0,183993.0,,,,,,
2003-08-01,10368.0,196493.0,196493.0,,,,,,
2003-09-01,10188.0,178944.0,178944.0,,,,,,
2003-10-01,8784.0,160646.0,160646.0,,,,,,
2003-11-01,10278.0,185722.5,185722.5,,,,,,
2003-12-01,10458.0,191680.0,191680.0,,,,,,
2004-01-01,9402.934125,160130.83000000002,160130.83000000002,903.08076,15379.36,15379.36,,,
2004-02-01,9403.23327,160130.83000000002,160130.83000000002,1126.22146,19178.81,19178.81,,,
2004-03-01,9403.628825,160130.83000000002,160130.83000000002,1429.48735,24342.2,24342.2,,,
2004-04-01,9403.55077,160130.83000000002,160130.83000000002,1369.20246,23315.82,23315.82,,,
2004-05-01,9403.793825,160130.83000000002,160130.83000000002,1558.96935,26546.63,26546.63,,,
2004-06-01,9403.522079999999,160130.83000000002,160130.83000000002,1346.68184,22932.39,22932.39,,,
2004-07-01,9405.037495,160130.83000000002,160130.83000000002,2589.27602,44085.2,44085.2,,,
2004-08-01,9404.84476,160130.83000000002,160130.83000000002,2422.74647,41250.7,41250.7,,,
2004-09-01,9404.54016,160130.83000000002,160130.83000000002,2164.94968,36862.53,36862.53,,,
2004-10-01,9403.78365,160130.83000000002,160130.83000000002,1550.6697000000001,26405.33,26405.33,,,
2004-11-01,9403.758389999999,160130.83000000002,160130.83000000002,1531.09022,26072.0,26072.0,,,
2004-12-01,9403.474979999999,160130.83000000002,160130.83000000002,1310.59004,22317.91,22317.91,,,
2005-01-01,6778.562449999999,122310.9,146799.94,1667.1641000000002,30081.94,36104.94,,,
2005-02-01,6213.447445,112114.09,122899.35,2734.05312,49332.66,54078.41,,,
2005-03-01,6107.2827,110198.475,140738.815,2209.5726,39869.05,50918.33,,,
2005-04-01,7664.705515,138300.275,160327.68,599.08496,10809.76,12531.45,,,
2005-05-01,7664.705515,138300.275,160327.68,599.08496,10809.76,12531.45,,,
2005-06-01,9212.500795,166228.35499999998,185190.72,152.65440999999998,2754.46,3068.68,,,
