measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,33.258,335.0,335.0,383.534,3879.0,3879.0,,,
2003-02-01,27.482000000000003,277.0,277.0,316.918,3206.0,3206.0,,,
2003-03-01,29.186,294.0,294.0,336.569,3404.0,3404.0,,,
2003-04-01,27.799000000000003,280.0,280.0,320.582,3243.0,3243.0,,,
2003-05-01,28.631,288.0,288.0,330.177,3340.0,3340.0,,,
2003-06-01,30.205,304.0,304.0,348.327,3523.0,3523.0,,,
2003-07-01,36.363,366.0,366.0,419.336,4242.0,4242.0,,,
2003-08-01,35.149,354.0,354.0,405.336,4100.0,4100.0,,,
2003-09-01,28.3,285.0,285.0,326.356,3301.0,3301.0,,,
2003-10-01,27.045,272.0,272.0,311.89,3155.0,3155.0,,,
2003-11-01,22.657,228.0,228.0,261.278,2643.0,2643.0,,,
2003-12-01,32.925,331.0,331.0,379.697,3841.0,3841.0,,,
2004-01-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2004-02-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2004-03-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2004-04-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2004-05-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2004-06-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2004-07-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2004-08-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2004-09-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2004-10-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2004-11-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2004-12-01,30.583000000000002,308.0,308.0,191.583,2470.0,2470.0,,,
2005-01-01,33.602000000000004,331.48,331.48,245.817,2569.74,2569.74,,,
2005-02-01,17.054000000000002,168.23,168.23,204.06300000000002,2133.25,2133.25,,,
2005-03-01,20.64,203.61,203.61,252.715,2641.86,2641.86,,,
2005-04-01,21.507,212.17,212.17,249.00300000000001,2603.05,2603.05,,,
2005-05-01,25.343,250.0,250.0,293.534,3068.57,3068.57,,,
2005-06-01,22.945,226.35,226.35,370.44800000000004,3872.62,3872.62,,,
2005-07-01,36.741,362.45,362.45,464.28200000000004,4853.56,4853.56,,,
2005-08-01,40.66,401.1,401.1,480.946,5027.76,5027.76,,,
2005-09-01,40.377,398.32,398.32,365.97,3825.81,3825.81,,,
2005-10-01,24.093,237.68,237.68,292.365,3056.36,3056.36,,,
2005-11-01,19.204,189.44,189.44,249.436,2607.58,2607.58,,,
2005-12-01,41.833000000000006,412.67,412.67,243.424,2544.73,2544.73,,,
2006-01-01,34.813,386.0,386.0,134.665,1474.0,1474.0,,,
2006-02-01,34.45,382.0,382.0,159.767,1749.0,1749.0,,,
2006-03-01,30.206000000000003,335.0,335.0,182.229,1994.0,1994.0,,,
2006-04-01,39.846000000000004,442.0,442.0,203.827,2231.0,2231.0,,,
2006-05-01,36.011,400.0,400.0,236.083,2584.0,2584.0,,,
2006-06-01,43.068000000000005,478.0,478.0,300.834,3293.0,3293.0,,,
2006-07-01,41.779,464.0,464.0,378.214,4140.0,4140.0,,,
2006-08-01,44.963,499.0,499.0,382.98400000000004,4192.0,4192.0,,,
2006-09-01,31.942,355.0,355.0,260.583,2852.0,2852.0,,,
2006-10-01,41.113,456.0,456.0,235.935,2582.0,2582.0,,,
2006-11-01,35.885,398.0,398.0,175.21800000000002,1918.0,1918.0,,,
2006-12-01,39.923,443.0,443.0,182.661,1999.0,1999.0,,,
2007-01-01,10.483,114.0,114.0,7.823,85.0,85.0,,,
2007-02-01,7.248,78.0,78.0,23.13,251.0,251.0,,,
2007-03-01,9.795,108.0,108.0,13.953000000000001,151.0,151.0,,,
2007-04-01,10.847000000000001,120.0,120.0,6.525,71.0,71.0,,,
2007-05-01,18.012,198.0,198.0,59.967000000000006,650.0,650.0,,,
2007-06-01,7.112,78.0,78.0,103.221,1118.0,1118.0,,,
2007-07-01,6.204000000000001,66.0,66.0,192.264,2083.0,2083.0,,,
2007-08-01,12.075,132.0,132.0,347.78200000000004,3768.0,3768.0,,,
2007-09-01,4.662,48.0,48.0,91.784,994.0,994.0,,,
2007-10-01,9.696,108.0,108.0,55.459,601.0,601.0,,,
2007-11-01,15.176,162.0,162.0,7.46,81.0,81.0,,,
2007-12-01,17.164,186.0,186.0,59.158,641.0,641.0,,,
2008-01-01,6.672000000000001,84.0,84.0,24.717000000000002,301.0,301.0,,,
2008-02-01,2.8080000000000003,36.0,36.0,9.287,114.0,114.0,,,
2008-03-01,3.115,36.0,36.0,13.427000000000001,165.0,165.0,,,
2008-04-01,4.069,48.0,48.0,24.881,306.0,306.0,,,
2008-05-01,6.9110000000000005,84.0,84.0,25.240000000000002,310.0,310.0,,,
2008-06-01,6.098,72.0,72.0,40.351,495.0,495.0,,,
2008-07-01,4.377,54.0,54.0,77.721,954.0,954.0,,,
2008-08-01,2.734,36.0,36.0,65.51100000000001,804.0,804.0,,,
2008-09-01,3.232,42.0,42.0,26.438000000000002,325.0,325.0,,,
2008-10-01,3.547,42.0,42.0,26.097,320.0,320.0,,,
2008-11-01,2.63,30.0,30.0,32.536,399.0,399.0,,,
2008-12-01,2.7110000000000003,36.0,36.0,36.89,452.0,452.0,,,
2009-01-01,6.4,59.0,59.0,26.762,268.0,268.0,,,
2009-02-01,4.295,41.0,41.0,17.869,179.0,179.0,,,
2009-03-01,5.785,59.0,59.0,30.913,311.0,311.0,,,
2009-04-01,8.6,89.0,89.0,24.425,245.0,245.0,,,
2009-05-01,5.231,53.0,53.0,26.269000000000002,264.0,264.0,,,
2009-06-01,1.224,12.0,12.0,65.726,660.0,660.0,,,
2009-07-01,8.242,83.0,83.0,75.25,755.0,755.0,,,
2009-08-01,4.756,47.0,47.0,81.05,813.0,813.0,,,
2009-09-01,4.586,47.0,47.0,25.186,253.0,253.0,,,
2009-10-01,4.534,47.0,47.0,26.056,261.0,261.0,,,
2009-11-01,5.029,53.0,53.0,22.951,230.0,230.0,,,
2009-12-01,4.839,47.0,47.0,28.022000000000002,281.0,281.0,,,
2010-01-01,8.893,94.0,94.0,52.15,544.0,544.0,,,
2010-02-01,6.308000000000001,65.0,65.0,20.948,219.0,219.0,,,
2010-03-01,7.884,83.0,83.0,24.899,260.0,260.0,,,
2010-04-01,5.65,59.0,59.0,27.119,284.0,284.0,,,
2010-05-01,6.831,71.0,71.0,32.625,341.0,341.0,,,
2010-06-01,10.506,112.0,112.0,81.31700000000001,850.0,850.0,,,
2010-07-01,6.728000000000001,71.0,71.0,126.82400000000001,1325.0,1325.0,,,
2010-08-01,7.057,71.0,71.0,141.436,1477.0,1477.0,,,
2010-09-01,5.2170000000000005,53.0,53.0,44.713,467.0,467.0,,,
2010-10-01,10.36,106.0,106.0,30.067,314.0,314.0,,,
2010-11-01,7.851,83.0,83.0,17.39,182.0,182.0,,,
2010-12-01,6.537,71.0,71.0,27.69,289.0,289.0,,,
2011-01-01,8.051,89.0,89.0,25.754,272.0,272.0,,,
2011-02-01,10.708,112.0,112.0,33.588,355.0,355.0,,,
2011-03-01,18.403,195.0,195.0,31.53,333.0,333.0,,,
2011-04-01,9.933,106.0,106.0,34.808,368.0,368.0,,,
2011-05-01,8.777,94.0,94.0,31.413,332.0,332.0,,,
2011-06-01,6.365,65.0,65.0,131.451,1389.0,1389.0,,,
2011-07-01,6.934,71.0,71.0,206.71,2183.0,2183.0,,,
2011-08-01,4.389,47.0,47.0,147.739,1561.0,1561.0,,,
2011-09-01,13.121,136.0,136.0,49.118,518.0,518.0,,,
2011-10-01,11.62,124.0,124.0,26.016,275.0,275.0,,,
2011-11-01,5.729,59.0,59.0,20.417,216.0,216.0,,,
2011-12-01,10.478,112.0,112.0,22.948,242.0,242.0,,,
2012-01-01,11.615,124.0,124.0,44.74,458.0,458.0,,,
2012-02-01,9.939,100.0,100.0,38.129,391.0,391.0,,,
2012-03-01,4.898,53.0,53.0,49.113,503.0,503.0,,,
2012-04-01,9.354,94.0,94.0,62.031,635.0,635.0,,,
2012-05-01,11.647,118.0,118.0,110.301,1130.0,1130.0,,,
2012-06-01,11.129,112.0,112.0,101.471,1040.0,1040.0,,,
2012-07-01,2.969,30.0,30.0,182.532,1869.0,1869.0,,,
2012-08-01,8.963,94.0,94.0,113.346,1161.0,1161.0,,,
2012-09-01,4.139,41.0,41.0,54.536,559.0,559.0,,,
2012-10-01,5.863,59.0,59.0,24.984,256.0,256.0,,,
2012-11-01,19.074,195.0,195.0,20.158,206.0,206.0,,,
2012-12-01,11.02,112.0,112.0,15.049,154.0,154.0,,,
2013-01-01,1.676,61.0,61.0,0.0,0.0,0.0,,,
2013-02-01,0.904,33.0,33.0,0.0,0.0,0.0,,,
2013-03-01,1.094,44.0,44.0,0.0,0.0,0.0,,,
2013-04-01,0.93,39.0,39.0,0.0,0.0,0.0,,,
2013-05-01,3.177,121.0,121.0,0.0,0.0,0.0,,,
2013-06-01,1.999,77.0,77.0,0.0,0.0,0.0,,,
