measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed,Other Biomass Gas - Fuel Cell - Other Renewables - Generation,Other Biomass Gas - Fuel Cell - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Fuel Cell - Other Renewables - Total Fuel Consumed
2009-01-01,311.937,2788.0,2788.0,,,
2009-02-01,287.017,2564.0,2564.0,,,
2009-03-01,267.06800000000004,2385.0,2385.0,,,
2009-04-01,229.417,2049.0,2049.0,,,
2009-05-01,233.08200000000002,2082.0,2082.0,,,
2009-06-01,216.025,1930.0,1930.0,,,
2009-07-01,395.283,3531.0,3531.0,,,
2009-08-01,405.331,3621.0,3621.0,,,
2009-09-01,424.75600000000003,3795.0,3795.0,,,
2009-10-01,332.153,2967.0,2967.0,,,
2009-11-01,303.327,2710.0,2710.0,,,
2009-12-01,348.171,3110.0,3110.0,1.433,13.0,13.0
2010-01-01,538.559,4242.0,4242.0,,,
2010-02-01,497.216,3919.0,3919.0,,,
2010-03-01,529.499,4173.0,4173.0,,,
2010-04-01,446.0,3515.0,3515.0,,,
2010-05-01,324.85,2560.0,2560.0,,,
2010-06-01,303.237,2390.0,2390.0,,,
2010-07-01,500.605,3945.0,3945.0,,,
2010-08-01,590.9,4656.0,4656.0,,,
2010-09-01,547.5550000000001,4315.0,4315.0,,,
2010-10-01,614.715,4844.0,4844.0,,,
2010-11-01,517.649,4079.0,4079.0,,,
2010-12-01,484.93600000000004,3821.0,3821.0,5.279,42.0,42.0
2011-01-01,170.06,1492.0,1492.0,0.0,0.0,0.0
2011-02-01,167.696,1470.0,1470.0,0.0,0.0,0.0
2011-03-01,133.391,1169.0,1169.0,0.0,0.0,0.0
2011-04-01,113.658,996.0,996.0,0.0,0.0,0.0
2011-05-01,101.409,889.0,889.0,0.0,0.0,0.0
2011-06-01,112.855,989.0,989.0,0.0,0.0,0.0
2011-07-01,180.934,1586.0,1586.0,0.0,0.0,0.0
2011-08-01,222.143,1947.0,1947.0,0.0,0.0,0.0
2011-09-01,225.51,1976.0,1976.0,0.0,0.0,0.0
2011-10-01,180.613,1582.0,1582.0,0.0,0.0,0.0
2011-11-01,178.061,1560.0,1560.0,0.0,0.0,0.0
2011-12-01,231.67,2030.0,2030.0,0.0,0.0,0.0
2012-01-01,9.741,19.0,19.0,0.0,0.0,0.0
2012-02-01,9.74,19.0,19.0,0.0,0.0,0.0
2012-03-01,9.264,18.0,18.0,0.0,0.0,0.0
2012-04-01,8.583,16.0,16.0,0.0,0.0,0.0
2012-05-01,8.523,16.0,16.0,0.0,0.0,0.0
2012-06-01,9.024,17.0,17.0,0.0,0.0,0.0
2012-07-01,10.672,20.0,20.0,0.0,0.0,0.0
2012-08-01,14.053,27.0,27.0,0.0,0.0,0.0
2012-09-01,12.766,25.0,25.0,0.0,0.0,0.0
2012-10-01,11.813,23.0,23.0,0.0,0.0,0.0
2012-11-01,10.199,20.0,20.0,0.0,0.0,0.0
2012-12-01,9.622,18.0,18.0,0.0,0.0,0.0
