measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,16674.0,202769.0,202769.0,970.0,13365.0,13365.0,0.0,0.0,0.0
2001-02-01,0.0,0.0,0.0,-296.0,4822.0,8203.0,0.0,0.0,0.0
2001-03-01,0.0,0.0,0.0,-816.0,0.0,3575.0,0.0,0.0,0.0
2001-04-01,-406.0,0.0,10578.0,52.0,2281.0,3887.0,0.0,0.0,0.0
2001-05-01,10221.0,176702.0,176702.0,179.0,2605.0,2605.0,796.0,11156.0,11156.0
2001-06-01,19444.0,311336.0,311336.0,16.0,259.0,259.0,322.0,5620.0,5620.0
2001-07-01,20469.0,293551.0,293551.0,-31.0,335.0,335.0,0.0,0.0,0.0
2001-08-01,32845.0,464781.0,464781.0,13.0,182.0,182.0,4091.0,58039.0,58039.0
2001-09-01,27748.0,376246.0,376246.0,11.0,147.0,147.0,2068.0,28627.0,28627.0
2001-10-01,6301.0,109080.0,109080.0,17.0,306.0,306.0,0.0,0.0,0.0
2001-11-01,256.0,18811.0,18811.0,-17.0,994.0,994.0,0.0,0.0,0.0
2001-12-01,1584.0,44682.0,44682.0,250.0,6674.0,6674.0,0.0,0.0,0.0
2002-01-01,0.0,0.0,0.0,3591.3495,24759.0,24759.0,0.0,0.0,0.0
2002-02-01,-24.0,611.0,611.0,-5.696,1908.5,1908.5,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,-39.6725,12458.0,12458.0,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,1159.3015,27030.5,27030.5,1059.0,14852.0,14852.0
2002-05-01,-437.0,22427.0,22427.0,-20.7065,1067.5,1067.5,903.0,13488.0,13488.0
2002-06-01,20859.0,328999.0,328999.0,34.3275,539.0,539.0,1099.0,16569.0,16569.0
2002-07-01,31697.0,473942.0,473942.0,22.375,333.5,333.5,2522.0,36038.0,36038.0
2002-08-01,32177.0,458136.0,458136.0,24.357,339.0,339.0,17558.0,228551.0,228551.0
2002-09-01,30148.0,261825.0,261825.0,86.3325,764.0,764.0,10657.0,144458.0,144458.0
2002-10-01,0.0,0.0,0.0,494.343,6848.0,6848.0,5575.0,77250.0,77250.0
2002-11-01,0.0,0.0,0.0,0.329,4.0,4.0,25281.0,325435.0,325435.0
2002-12-01,0.0,0.0,0.0,6513.86,82088.5,82088.5,0.0,0.0,0.0
2003-01-01,,,,3298.7533333333336,40573.0,40573.0,0.0,0.0,0.0
2003-02-01,,,,4228.747666666667,53220.333333333336,53220.333333333336,0.0,0.0,0.0
2003-03-01,,,,1719.4116666666666,22057.333333333332,22057.333333333332,0.0,0.0,0.0
2003-04-01,,,,0.1125,1.5,1.5,581.0,8509.0,8509.0
2003-05-01,,,,0.114,1.5,1.5,132.0,2654.0,2654.0
2003-06-01,0.0,0.0,0.0,-28.381,1.5,1.5,0.0,0.0,0.0
2003-07-01,,,,-18.908333333333335,2.0,2.0,0.0,0.0,0.0
2003-08-01,,,,0.1395,2.0,2.0,1566.0,22642.0,22642.0
2003-09-01,,,,-18.586333333333332,1.5,1.5,0.0,0.0,0.0
