measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,-212.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,-168.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,6.0,82.0,82.0,412.0,5079.0,5469.0,142.0,0.0,0.0
2003-05-01,1.0,12.0,12.0,174.0,2117.0,2193.0,69.0,0.0,0.0
2003-06-01,9.0,99.0,99.0,2286.0,28496.0,29208.0,1021.0,0.0,0.0
2003-07-01,2.0,29.0,29.0,186.0,2225.0,2294.0,70.0,0.0,0.0
2003-08-01,8.0,99.0,99.0,8516.0,107092.0,109022.0,3980.0,0.0,0.0
2003-09-01,2.0,29.0,29.0,138.0,1782.0,1810.0,51.0,0.0,0.0
2003-10-01,2.0,29.0,29.0,186.0,2326.0,2438.0,69.0,0.0,0.0
2003-11-01,1.0,12.0,12.0,332.0,4031.0,4216.0,132.0,0.0,0.0
2003-12-01,5.0,59.0,59.0,350.0,3990.0,4329.0,120.0,0.0,0.0
2004-01-01,1.6540000000000001,19.77,19.77,336.022,3884.13,4449.66,125.00800000000001,0.0,0.0
2004-02-01,1.078,12.87,12.87,348.827,3940.24,4619.22,118.864,0.0,0.0
2004-03-01,1.099,13.1,13.1,332.341,3831.82,4400.9,122.48100000000001,0.0,0.0
2004-04-01,1.474,17.61,17.61,314.492,3593.44,4164.54,112.035,0.0,0.0
2004-05-01,1.395,16.67,16.67,434.992,5171.48,5760.23,178.842,0.0,0.0
2004-06-01,1.208,14.45,14.45,359.724,4266.2,4763.51,146.657,0.0,0.0
2004-07-01,1.5170000000000001,18.14,18.14,340.957,4079.91,4515.0,143.312,0.0,0.0
2004-08-01,1.624,19.36,19.36,368.37600000000003,4409.09,4878.08,154.965,0.0,0.0
2004-09-01,1.342,16.03,16.03,429.66400000000004,5242.43,5689.67,192.59300000000002,0.0,0.0
2004-10-01,1.112,13.28,13.28,271.474,3056.44,3594.9,91.313,0.0,0.0
2004-11-01,1.227,14.63,14.63,360.812,4107.72,4777.91,126.759,0.0,0.0
2004-12-01,0.9490000000000001,11.35,11.35,378.08,4209.92,5006.59,121.62100000000001,0.0,0.0
2005-01-01,7.5840000000000005,94.79,141.28,2527.813,30506.32,33077.37,1093.166,0.0,0.0
2005-02-01,1.746,21.82,32.53,2240.972,27044.64,29323.94,969.12,0.0,0.0
2005-03-01,1.498,18.72,27.9,2674.2070000000003,32273.04,34992.99,1156.475,0.0,0.0
2005-04-01,1.499,18.73,27.9,2741.7180000000003,33087.79,35876.39,1185.671,0.0,0.0
2005-05-01,1.5110000000000001,18.89,28.14,2224.19,26842.11,29104.34,961.863,0.0,0.0
2005-06-01,1.8310000000000002,22.88,34.11,3784.0040000000004,45666.37,49515.09,1636.413,0.0,0.0
2005-07-01,3.467,43.34,64.58,4876.2210000000005,58847.54,63807.16,2108.748,0.0,0.0
2005-08-01,3.071,38.38,57.21,5213.41,62916.82,68219.4,2254.567,0.0,0.0
2005-09-01,1.709,21.35,31.82,3448.719,41620.06,45127.76,1491.4170000000001,0.0,0.0
2005-10-01,2.395,29.94,44.64,2384.969,28782.43,31208.19,1031.392,0.0,0.0
2005-11-01,1.613,20.16,30.07,2140.7780000000002,25835.49,28012.87,925.791,0.0,0.0
2005-12-01,4.418,55.22,82.31,2312.971,27913.55,30266.08,1000.2570000000001,0.0,0.0
2006-01-01,0.082,1.03,1.46,616.917,7420.39,8087.11,263.854,0.0,0.0
