measured_on,Wood Waste Liquids Generation,Wood Waste Liquids Quantity Consumed For Electricity,Wood Waste Liquids Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,2024.0,19029.0,33270.0,,,
2001-02-01,2262.0,21355.0,44810.0,,,
2001-03-01,2684.0,25541.0,71156.0,,,
2001-04-01,2160.0,20559.0,57640.0,,,
2001-05-01,3033.0,28375.0,37452.0,,,
2001-06-01,2392.0,22423.0,33441.0,,,
2001-07-01,1999.0,18851.0,37794.0,,,
2001-08-01,1189.0,11434.0,42090.0,,,
2001-09-01,376.0,3538.0,6444.0,,,
2001-10-01,1036.0,9993.0,39325.0,,,
2001-11-01,395.0,3726.0,7678.0,,,
2001-12-01,1051.0,9866.0,15938.0,,,
2002-01-01,,,,801.0,8258.0,9828.0
2002-02-01,,,,680.0,7010.0,7010.0
2002-03-01,,,,919.0,9474.0,9474.0
2002-04-01,,,,97.0,1000.0,1000.0
2002-05-01,,,,0.0,0.0,0.0
2002-06-01,,,,0.0,0.0,0.0
2002-07-01,,,,0.0,0.0,0.0
2002-08-01,,,,0.0,0.0,0.0
2002-09-01,,,,0.0,0.0,0.0
2002-10-01,,,,339.0,3495.0,3495.0
2002-11-01,,,,716.0,844.0,15288.0
2002-12-01,,,,785.0,8093.0,8093.0
2003-04-01,,,,0.0,0.0,0.0
2003-07-01,,,,2237.0,16530.0,43440.0
2003-08-01,,,,1812.0,13947.0,46339.0
2003-09-01,,,,1549.0,12489.0,49128.0
2003-10-01,,,,1369.0,6543.0,34788.0
2003-12-01,,,,1485.0,6366.0,39806.0
2004-01-01,,,,1626.804,8547.25,38248.92
2004-02-01,,,,1449.8410000000001,7617.48,34088.28
2004-03-01,,,,1445.26,7593.42,33980.52
2004-04-01,,,,1225.056,6436.46,28803.24
2004-05-01,,,,766.355,4026.44,18018.36
2004-06-01,,,,1161.082,6100.34,27299.04
2004-07-01,,,,1632.366,8576.47,38379.72
2004-08-01,,,,1513.873,7953.91,35593.8
2004-09-01,,,,1468.945,7717.86,34537.44
2004-10-01,,,,1548.413,8135.38,36405.84
2004-11-01,,,,1571.27,8255.48,36943.32
2004-12-01,,,,1879.9740000000002,9877.41,44201.4
2005-01-01,,,,1642.5890000000002,8630.18,43965.24
2005-02-01,,,,1524.4180000000001,8009.31,40802.4
2005-03-01,,,,1648.141,8659.35,44113.92
2005-04-01,,,,1417.0320000000002,7445.1,37928.04
2005-05-01,,,,1572.582,8262.36,42091.56
2005-06-01,,,,1522.48,7999.13,40750.44
2005-07-01,,,,1686.154,8859.08,45131.4
2005-08-01,,,,1736.0230000000001,9121.09,46466.16
2005-09-01,,,,1634.213,8586.18,43741.08
2005-10-01,,,,1557.685,8184.1,41692.8
2005-11-01,,,,1586.4080000000001,8335.01,42461.52
2005-12-01,,,,1713.807,9004.37,45871.56
2006-01-01,,,,1082.455,5687.23,37668.6
2006-02-01,,,,982.6930000000001,5163.08,34196.88
2006-03-01,,,,1064.339,5592.06,37038.12
2006-04-01,,,,983.748,5168.63,34233.6
2006-05-01,,,,981.393,5156.25,34151.64
2006-06-01,,,,979.7370000000001,5147.55,34094.04
2006-07-01,,,,1052.7830000000001,5531.34,36636.0
2006-08-01,,,,1114.816,5857.26,38794.68
2006-09-01,,,,1043.211,5481.05,36302.88
2006-10-01,,,,1083.37,5692.04,37700.4
2006-11-01,,,,1059.421,5566.21,36867.0
2006-12-01,,,,1098.185,5769.88,38215.92
2007-01-01,,,,1258.0,6349.0,71951.0
2007-02-01,,,,632.0,3183.0,38510.0
2007-03-01,,,,809.0,4083.0,105876.0
2007-04-01,,,,1259.0,6349.0,56104.0
2007-05-01,,,,1977.0,9982.0,67903.0
2007-06-01,,,,1927.0,9723.0,68335.0
2007-07-01,,,,1791.0,9031.0,39911.0
2007-08-01,,,,2033.0,10259.0,40015.0
2007-09-01,,,,1721.0,8685.0,45257.0
2007-10-01,,,,1940.0,9792.0,73093.0
2007-11-01,,,,1202.0,6072.0,43734.0
2007-12-01,,,,76.0,381.0,6678.0
2008-01-01,,,,283.0,1428.0,45274.0
2008-02-01,,,,911.0,4596.0,54755.0
2008-03-01,,,,632.0,3189.0,42627.0
2008-04-01,,,,1065.0,5373.0,48059.0
2008-05-01,,,,1084.0,5469.0,88939.0
2008-06-01,,,,93.0,469.0,19705.0
2008-07-01,,,,1080.0,5449.0,72158.0
2008-08-01,,,,1443.0,7281.0,49426.0
2008-09-01,,,,1206.0,6085.0,43648.0
2008-10-01,,,,1207.0,6090.0,55187.0
2008-11-01,,,,147.0,742.0,41157.0
2008-12-01,,,,247.0,1246.0,27524.0
2009-01-01,,,,137.0,691.0,17784.0
2009-02-01,,,,151.0,762.0,35690.0
2009-03-01,,,,70.0,353.0,11453.0
2009-04-01,,,,81.0,409.0,18961.0
2009-05-01,,,,74.0,373.0,17162.0
2009-06-01,,,,54.0,272.0,27801.0
2009-07-01,,,,556.0,2805.0,46018.0
2009-08-01,,,,1537.0,7755.0,50724.0
2009-09-01,,,,1462.0,7376.0,37109.0
2009-10-01,,,,1490.0,7518.0,40378.0
2009-11-01,,,,548.0,2765.0,23493.0
2009-12-01,,,,139.0,701.0,7716.0
2010-01-01,,,,156.0,787.0,6626.0
2010-02-01,,,,625.0,3153.0,31227.0
2010-03-01,,,,999.0,5040.0,155302.0
2010-04-01,,,,263.0,1327.0,46018.0
2010-05-01,,,,1477.0,7452.0,51744.0
2010-06-01,,,,8.0,40.0,14255.0
