measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,990482.0,9470098.0,9470098.0,434.0,4657.0,4657.0,,,
2003-02-01,906428.0,8311314.0,8311314.0,525.0,5411.0,5411.0,,,
2003-03-01,1001320.0,10184863.0,10184863.0,974.0,10370.0,10370.0,,,
2003-04-01,853924.0,8488296.0,8488296.0,822.0,8410.0,8410.0,,,
2003-05-01,742986.0,7426980.0,7426980.0,642.0,6607.0,6607.0,,,
2003-06-01,775642.0,7773818.0,7773818.0,834.0,8677.0,8677.0,,,
2003-07-01,873470.0,8823398.0,8823398.0,573.0,6009.0,6009.0,,,
2003-08-01,961923.0,10114968.0,10114968.0,1122.0,12151.0,12151.0,,,
2003-09-01,760083.0,8212128.0,8212128.0,1192.0,13259.0,13259.0,,,
2003-10-01,985807.0,9879149.0,9879149.0,1386.0,14541.0,14541.0,,,
2003-11-01,961551.0,9826520.0,9826520.0,977.0,10365.0,10365.0,,,
2003-12-01,1044717.0,10614372.0,10614372.0,1057.0,10961.0,10961.0,,,
2004-01-01,1082200.0,11129500.0,11129500.0,946.0,10009.0,10009.0,,,
2004-02-01,880377.0,9176633.0,9176633.0,1515.0,16325.0,16325.0,,,
2004-03-01,810338.0,8365977.0,8365977.0,1151.0,12284.0,12284.0,,,
2004-04-01,575394.0,6099440.0,6099440.0,440.0,4843.0,4843.0,,,
