measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,297.0,5249.0,5249.0,,,,0.0,0.0,0.0,4656.0,52044.0,52044.0,,,,308995.0,3298493.0,3298493.0
2003-02-01,,,,,,,0.0,0.0,0.0,2361.0,26094.0,26094.0,,,,246828.0,2618255.0,2618255.0
2003-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,479698.0,5271817.0,5271817.0
2003-04-01,43.0,963.0,963.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,376366.0,4099266.0,4099266.0
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,9968.0,112315.0,112315.0,,,,367475.0,4118418.0,4118418.0
2003-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,10132.0,111847.0,111847.0,,,,384829.0,4236654.0,4236654.0
2003-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,8900.0,99231.0,99231.0,,,,441345.0,4935339.0,4935339.0
2003-08-01,79.0,1607.0,1607.0,,,,2368.0,34303.0,34303.0,6865.0,77008.0,77008.0,,,,509193.0,5685698.0,5685698.0
2003-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,9359.0,105643.0,105643.0,,,,413635.0,4642598.0,4642598.0
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,438409.0,4815483.0,4815483.0
2003-11-01,-25.0,0.0,0.0,,,,-37.0,0.0,0.0,6529.0,71601.0,71601.0,,,,452338.0,4972352.0,4972352.0
2003-12-01,-187.0,0.0,0.0,,,,0.0,0.0,0.0,4271.0,46150.0,46150.0,,,,515910.0,5558708.0,5558708.0
2004-01-01,0.0,0.0,0.0,,,,383.0,8152.0,8152.0,4232.0,44785.0,44785.0,,,,448152.0,4741475.0,4741475.0
2004-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,1706.0,18811.0,18811.0,,,,361809.0,3883722.0,3883722.0
2004-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,1609.0,17970.0,17970.0,,,,426077.0,4560640.0,4560640.0
2004-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,2883.0,33892.0,33892.0,,,,479520.0,5434651.0,5434651.0
