measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2018-12-01,34.0,310.0,310.0
2019-01-01,76.148,678.0,678.0
2019-02-01,47.965,427.0,427.0
2019-03-01,139.051,1238.0,1238.0
2019-04-01,171.272,1525.0,1525.0
2019-05-01,213.836,1904.0,1904.0
2019-06-01,244.596,2178.0,2178.0
2019-07-01,242.026,2155.0,2155.0
2019-08-01,228.71,2037.0,2037.0
2019-09-01,152.464,1358.0,1358.0
2019-10-01,115.063,1025.0,1025.0
2019-11-01,70.043,624.0,624.0
2019-12-01,60.826,542.0,542.0
2020-01-01,62.785,550.0,550.0
2020-02-01,139.236,1221.0,1221.0
2020-03-01,168.933,1481.0,1481.0
2020-04-01,223.342,1958.0,1958.0
2020-05-01,232.321,2037.0,2037.0
2020-06-01,251.81,2208.0,2208.0
2020-07-01,242.813,2129.0,2129.0
2020-08-01,240.432,2108.0,2108.0
2020-09-01,169.547,1486.0,1486.0
2020-10-01,126.883,1112.0,1112.0
2020-11-01,97.103,851.0,851.0
2020-12-01,60.795,533.0,533.0
2021-01-01,75.519,668.0,668.0
2021-02-01,113.15,1001.0,1001.0
2021-03-01,193.923,1715.0,1715.0
2021-04-01,175.262,1550.0,1550.0
2021-05-01,222.513,1968.0,1968.0
2021-06-01,276.522,2446.0,2446.0
2021-07-01,251.085,2221.0,2221.0
2021-08-01,231.166,2044.0,2044.0
2021-09-01,196.89,1741.0,1741.0
2021-10-01,132.075,1168.0,1168.0
2021-11-01,81.195,718.0,718.0
2021-12-01,51.7,457.0,457.0
2022-01-01,79.709,272.0,272.0
2022-02-01,119.922,409.0,409.0
2022-03-01,157.597,538.0,538.0
2022-04-01,133.48,455.0,455.0
2022-05-01,197.137,673.0,673.0
2022-06-01,247.179,843.0,843.0
2022-07-01,240.302,820.0,820.0
2022-08-01,212.427,725.0,725.0
2022-09-01,199.348,680.0,680.0
2022-10-01,132.927,454.0,454.0
2022-11-01,71.64,244.0,244.0
2022-12-01,34.332,117.0,117.0
2023-01-01,49.0,167.0,167.0
2023-02-01,133.0,454.0,454.0
2023-03-01,173.0,590.0,590.0
2023-04-01,192.0,655.0,655.0
2023-05-01,265.0,904.0,904.0
2023-06-01,266.0,908.0,908.0
2023-07-01,266.0,908.0,908.0
2023-08-01,230.0,785.0,785.0
2023-09-01,153.0,522.0,522.0
2023-10-01,125.0,427.0,427.0
2023-11-01,83.0,283.0,283.0
2023-12-01,42.0,143.0,143.0
2024-01-01,45.0,154.0,154.0
2024-02-01,123.0,420.0,420.0
2024-03-01,193.0,659.0,659.0
2024-04-01,181.0,618.0,618.0
2024-05-01,238.0,812.0,812.0
2024-06-01,225.0,768.0,768.0
2024-07-01,256.0,873.0,873.0
2024-08-01,218.0,744.0,744.0
2024-09-01,224.0,764.0,764.0
2024-10-01,148.0,505.0,505.0
2024-11-01,60.0,205.0,205.0
2024-12-01,23.0,78.0,78.0
