measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,,,,13619.068,139472.88,139472.88
2003-02-01,,,,12059.465,123500.98,123500.98
2003-03-01,,,,13087.439,134028.46,134028.46
2003-04-01,,,,11503.16,117803.86,117803.86
2003-05-01,,,,12233.512999999999,125283.41,125283.41
2003-06-01,,,,12246.715,125418.61,125418.61
2003-07-01,,,,13930.293,142660.13,142660.13
2003-08-01,,,,16491.936,168893.92,168893.92
2003-09-01,,,,13914.699,142500.43,142500.43
2003-10-01,,,,9996.454,102373.69,102373.69
2003-11-01,,,,12349.329,126469.48,126469.48
2003-12-01,,,,14434.93,147828.12,147828.12
2004-01-01,,,,17475.54,175139.86,175139.86
2004-02-01,,,,9585.41,96064.98,96064.98
2004-03-01,,,,13763.475,137937.55,137937.55
2004-04-01,,,,30771.527000000002,308392.24,308392.24
2004-05-01,,,,21060.32,211066.53,211066.53
2004-06-01,,,,8405.641,84241.33,84241.33
2004-07-01,,,,8391.404,84098.65,84098.65
2004-08-01,,,,10580.521,106037.98,106037.98
2004-09-01,,,,16468.316,165045.46,165045.46
2004-10-01,,,,7637.474,76542.76,76542.76
2004-11-01,,,,9769.218,97907.1,97907.1
2004-12-01,,,,15462.155,154961.72,154961.72
2005-01-01,,,,26265.631,262630.05,262630.05
2005-02-01,,,,21344.02,213418.86,213418.86
2005-03-01,,,,23320.52,233181.88,233181.88
2005-04-01,,,,29234.709000000003,292317.86,292317.86
2005-05-01,,,,21660.451,216582.85,216582.85
2005-06-01,,,,19406.497000000003,194045.57,194045.57
2005-07-01,,,,16477.227,164755.79,164755.79
2005-08-01,,,,12992.077000000001,129907.78,129907.78
2005-09-01,,,,11223.037,112219.14,112219.14
2005-10-01,,,,22827.942,228256.59,228256.59
2005-11-01,,,,25068.199,250656.92,250656.92
2005-12-01,,,,26512.689,265100.38,265100.38
2006-01-01,,,,2530.416,25099.0,25099.0
2006-02-01,,,,2281.687,22632.0,22632.0
2006-03-01,,,,2010.199,19939.0,19939.0
2006-04-01,,,,2188.035,21703.0,21703.0
2006-05-01,,,,2586.9860000000003,25660.0,25660.0
2006-06-01,,,,2541.882,25213.0,25213.0
2006-07-01,,,,2665.511,26439.0,26439.0
2006-08-01,,,,2646.2490000000003,26248.0,26248.0
2006-09-01,,,,1717.729,17038.0,17038.0
2006-10-01,,,,1514.3,15020.0,15020.0
2006-11-01,,,,1773.745,17594.0,17594.0
2006-12-01,,,,1878.2620000000002,18630.0,18630.0
2007-01-01,,,,3069.522,30339.0,30339.0
2007-02-01,,,,1420.723,14042.0,14042.0
2007-03-01,,,,2322.492,22956.0,22956.0
2007-04-01,,,,4777.731000000001,47223.0,47223.0
2007-05-01,,,,4499.0650000000005,44469.0,44469.0
2007-06-01,,,,1772.8980000000001,17523.0,17523.0
2007-07-01,,,,1478.0220000000002,14609.0,14609.0
2007-08-01,,,,1088.291,10757.0,10757.0
2007-09-01,,,,890.3910000000001,8801.0,8801.0
2007-10-01,,,,1838.7430000000002,18174.0,18174.0
2007-11-01,,,,3191.641,31546.0,31546.0
2007-12-01,,,,2210.48,21848.0,21848.0
2008-01-01,,,,1665.055,16407.0,16407.0
2008-02-01,,,,1816.845,17903.0,17903.0
2008-03-01,,,,2331.3720000000003,22973.0,22973.0
2008-04-01,,,,4986.93,49141.0,49141.0
2008-05-01,,,,2420.523,23852.0,23852.0
2008-06-01,,,,2473.0080000000003,24369.0,24369.0
2008-07-01,,,,2684.5620000000004,26454.0,26454.0
2008-08-01,,,,3736.757,36822.0,36822.0
2008-09-01,,,,1403.066,13826.0,13826.0
2008-10-01,,,,1471.395,14499.0,14499.0
2008-11-01,,,,2217.647,21853.0,21853.0
2008-12-01,,,,2441.84,24062.0,24062.0
2009-01-01,,,,14008.203,136720.0,136720.0
2009-02-01,,,,9589.105,93590.0,93590.0
2009-03-01,,,,19803.108,193278.0,193278.0
2009-04-01,,,,27570.377,269087.0,269087.0
2009-05-01,,,,22692.039,221474.0,221474.0
2009-06-01,,,,13822.054,134903.0,134903.0
2009-07-01,,,,22575.601,220338.0,220338.0
2009-08-01,,,,15869.298,154884.0,154884.0
2009-09-01,,,,5472.211,53409.0,53409.0
2009-10-01,,,,12097.505000000001,118072.0,118072.0
2009-11-01,,,,16995.952,165880.0,165880.0
2009-12-01,,,,20122.547,196396.0,196396.0
2010-01-01,,,,13958.479,136179.0,136179.0
2010-02-01,,,,11397.173,111191.0,111191.0
2010-03-01,,,,22574.092,220233.0,220233.0
2010-04-01,,,,26809.972999999998,261558.0,261558.0
2010-05-01,,,,16380.125,159804.0,159804.0
2010-06-01,,,,10783.663,105205.0,105205.0
2010-07-01,,,,6014.1050000000005,58674.0,58674.0
2010-08-01,,,,7557.405000000001,73730.0,73730.0
2010-09-01,,,,4402.977,42955.0,42955.0
2010-10-01,,,,24344.504,237505.0,237505.0
2010-11-01,,,,20270.193,197756.0,197756.0
2010-12-01,,,,18191.311,177474.0,177474.0
2011-01-01,,,,11110.778,107952.0,107952.0
2011-02-01,,,,8172.182,79401.0,79401.0
2011-03-01,,,,15386.691,149497.0,149497.0
2011-04-01,,,,27327.32,265512.0,265512.0
2011-05-01,,,,33333.336,323867.0,323867.0
2011-06-01,,,,11926.483,115878.0,115878.0
2011-07-01,,,,5710.758,55486.0,55486.0
2011-08-01,,,,7332.845,71246.0,71246.0
2011-09-01,,,,12613.032,122548.0,122548.0
2011-10-01,,,,16786.086,163094.0,163094.0
2011-11-01,,,,8204.637,79716.0,79716.0
2011-12-01,,,,13344.852,129659.0,129659.0
2012-01-01,,,,15365.39,146217.0,146217.0
2012-02-01,,,,11932.417,113549.0,113549.0
2012-03-01,,,,26345.506,250704.0,250704.0
2012-04-01,,,,16057.208,152800.0,152800.0
2012-05-01,,,,26321.605,250476.0,250476.0
2012-06-01,,,,17755.105,168958.0,168958.0
2012-07-01,,,,8802.639,83766.0,83766.0
2012-08-01,,,,6764.587,64372.0,64372.0
2012-09-01,,,,6819.915,64898.0,64898.0
2012-10-01,,,,14379.229,136833.0,136833.0
2012-11-01,,,,12220.563,116291.0,116291.0
2012-12-01,,,,17334.836,164958.0,164958.0
2013-01-01,,,,13966.306,133253.0,133253.0
2013-02-01,,,,15437.607,147290.0,147290.0
2013-03-01,,,,16091.707,153531.0,153531.0
2013-04-01,,,,26415.443,252030.0,252030.0
2013-05-01,,,,20706.085,197557.0,197557.0
2013-06-01,,,,21734.381,207368.0,207368.0
2013-07-01,,,,21210.464,202369.0,202369.0
2013-08-01,,,,8858.806,84522.0,84522.0
2013-09-01,,,,10322.249,98485.0,98485.0
2013-10-01,,,,8879.619,84720.0,84720.0
2013-11-01,,,,11828.59,112857.0,112857.0
2013-12-01,,,,14337.743,136796.0,136796.0
2014-01-01,,,,15788.585,150149.0,150149.0
2014-02-01,,,,8939.481,85014.0,85014.0
2014-03-01,,,,8287.721,78816.0,78816.0
2014-04-01,,,,26534.738,252345.0,252345.0
2014-05-01,,,,26702.398,253940.0,253940.0
2014-06-01,,,,11745.702,111702.0,111702.0
2014-07-01,,,,10930.093,103945.0,103945.0
2014-08-01,,,,8998.37,85574.0,85574.0
2014-09-01,,,,3294.651,31332.0,31332.0
2014-10-01,,,,7366.459,70055.0,70055.0
2014-11-01,,,,8954.376,85156.0,85156.0
2014-12-01,,,,15647.426,148807.0,148807.0
2015-01-01,,,,10983.077,102351.0,102351.0
2015-02-01,,,,8184.158,76268.0,76268.0
2015-03-01,,,,6824.52,63598.0,63598.0
2015-04-01,,,,23750.181,221328.0,221328.0
2015-05-01,,,,14538.615,135485.0,135485.0
2015-06-01,,,,23094.499,215218.0,215218.0
2015-07-01,,,,11492.636,107100.0,107100.0
2015-08-01,,,,6276.439,58490.0,58490.0
