measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-01-01,199.27375999999998,1629.05,10636.41,0.26172999999999996,2.14,13.97,546.96551,4471.42,29194.76
2004-02-01,75.24771,615.15,3325.18,0.28942999999999997,2.37,12.79,581.40286,4752.93,25692.1
2004-03-01,200.8007,1641.54,11256.27,0.67842,5.55,38.03,464.92989,3800.78,26062.54
2004-04-01,283.90978,2320.95,20673.49,0.08144,0.67,5.93,329.49178,2693.58,23992.64
2004-05-01,311.91404,2549.88,27290.99,0.39155999999999996,3.2,34.26,252.42338999999998,2063.55,22085.84
2004-06-01,150.27778,1228.51,7807.97,0.66594,5.44,34.6,459.46228,3756.08,23872.24
2004-07-01,114.3216,934.57,5357.19,0.20337,1.66,9.53,577.78603,4723.37,27075.44
2004-08-01,96.65970999999999,790.19,4577.25,0.37842,3.09,17.92,460.25886,3762.59,21795.2
2004-09-01,178.30464,1457.63,10135.57,0.29818,2.44,16.95,393.84818,3219.69,22387.96
2004-10-01,204.34923,1670.54,11601.12,0.6424000000000001,5.25,36.47,453.90537,3710.65,25768.68
2004-11-01,286.00699,2338.09,20862.29,0.14654999999999999,1.2,10.69,330.76246,2703.97,24126.9
2004-12-01,76.58653,626.09,3431.93,0.37601999999999997,3.07,16.85,527.84745,4315.13,23653.42
2005-01-01,206.55065,1688.54,13837.33,,,,289.70935,2368.36,19408.34
2005-02-01,72.34609,591.43,3376.33,,,,374.27191,3059.65,17466.96
2005-03-01,98.0014,801.16,4824.44,,,,378.7696,3096.42,18646.18
2005-04-01,83.34118,681.31,3962.78,,,,386.21182,3157.26,18363.94
2005-05-01,85.688,700.49,4097.88,,,,384.584,3143.95,18392.08
2005-06-01,77.12881999999999,630.52,3584.17,,,,409.81518,3350.22,19044.06
2005-07-01,175.11344,1431.54,10456.69,,,,332.38456,2717.23,19847.94
2005-08-01,196.64612,1607.57,12656.67,,,,304.54388,2489.63,19601.26
2005-09-01,172.10689,1406.97,10449.61,,,,311.52611,2546.71,18914.56
2005-10-01,91.72704,749.86,4406.18,,,,401.89096,3285.44,19305.16
2005-11-01,91.34528999999999,746.74,4415.79,,,,386.94371,3163.24,18705.54
2005-12-01,167.23032,1367.1,9960.17,,,,319.81368,2614.46,19047.98
2006-01-01,,,,,,,666.153,5445.77,26282.34
2006-02-01,,,,,,,577.078,4717.58,22767.92
2006-03-01,,,,,,,613.192,5012.81,24192.84
2006-04-01,,,,,,,612.977,5011.05,24184.3
2006-05-01,,,,,,,608.859,4977.39,24021.9
2006-06-01,,,,,,,624.805,5107.75,24650.92
2006-07-01,,,,,,,680.1170000000001,5559.92,26833.24
2006-08-01,,,,,,,666.871,5451.64,26310.62
2006-09-01,,,,,,,642.067,5248.87,25332.02
2006-10-01,,,,,,,612.229,5004.94,24154.76
2006-11-01,,,,,,,608.9060000000001,4977.77,24023.72
2006-12-01,,,,,,,652.7470000000001,5336.17,25753.42
2007-01-01,,,,,,,112.71600000000001,924.0,27356.0
2007-02-01,,,,,,,101.601,826.0,24654.0
2007-03-01,,,,,,,109.31200000000001,896.0,26530.0
2007-04-01,,,,,,,98.062,798.0,23800.0
2007-05-01,,,,,,,105.60900000000001,868.0,25620.0
2007-06-01,,,,,,,90.111,742.0,21868.0
2007-07-01,,,,,,,95.839,784.0,23254.0
2007-08-01,,,,,,,103.565,840.0,25130.0
2007-09-01,,,,,,,99.10300000000001,812.0,24052.0
2007-10-01,,,,,,,96.554,784.0,23422.0
2007-11-01,,,,,,,108.721,882.0,26376.0
2007-12-01,,,,,,,107.796,882.0,26152.0
2008-01-01,,,,,,,614.922,5027.0,18416.0
2008-02-01,,,,,,,569.464,4655.0,17072.0
2008-03-01,,,,,,,594.893,4863.0,17840.0
2008-04-01,,,,,,,611.456,4999.0,18336.0
2008-05-01,,,,,,,563.2570000000001,4605.0,16896.0
2008-06-01,,,,,,,501.024,4096.0,15024.0
2008-07-01,,,,,,,544.6840000000001,4453.0,16336.0
2008-08-01,,,,,,,596.647,4878.0,17888.0
2008-09-01,,,,,,,523.0350000000001,4276.0,15680.0
2008-10-01,,,,,,,577.431,4720.0,17312.0
2008-11-01,,,,,,,565.65,4624.0,16960.0
2008-12-01,,,,,,,527.537,4313.0,15824.0
2009-01-01,,,,,,,26.057000000000002,213.0,5808.0
2009-02-01,,,,,,,23.467000000000002,192.0,5216.0
2009-03-01,,,,,,,26.626,218.0,5920.0
2009-04-01,,,,,,,25.286,207.0,5616.0
2009-05-01,,,,,,,23.656000000000002,193.0,5264.0
2009-06-01,,,,,,,20.964000000000002,171.0,4656.0
2009-07-01,,,,,,,24.672,202.0,5488.0
2009-08-01,,,,,,,25.308,207.0,5632.0
2009-09-01,,,,,,,24.039,197.0,5344.0
2009-10-01,,,,,,,24.285,199.0,5392.0
2009-11-01,,,,,,,24.236,198.0,5392.0
2009-12-01,,,,,,,22.404,183.0,4976.0
2010-01-01,,,,,,,255.95100000000002,2092.0,24656.0
2010-02-01,,,,,,,246.03,2011.0,23728.0
2010-03-01,,,,,,,284.17,2323.0,27408.0
2010-04-01,,,,,,,274.557,2244.0,26480.0
2010-05-01,,,,,,,267.204,2184.0,25776.0
2010-06-01,,,,,,,267.06,2183.0,25760.0
2010-07-01,,,,,,,308.22,2520.0,29728.0
2010-08-01,,,,,,,281.269,2299.0,27120.0
2010-09-01,,,,,,,277.36,2267.0,26752.0
2010-10-01,,,,,,,297.348,2431.0,28672.0
2010-11-01,,,,,,,292.093,2388.0,28176.0
2010-12-01,,,,,,,300.088,2453.0,28944.0
2011-01-01,,,,,,,313.205,2560.0,30224.0
2011-02-01,,,,,,,284.18,2323.0,27408.0
2011-03-01,,,,,,,316.509,2587.0,30528.0
2011-04-01,,,,,,,315.887,2582.0,30464.0
2011-05-01,,,,,,,284.683,2327.0,27456.0
2011-06-01,,,,,,,321.237,2626.0,30976.0
2011-07-01,,,,,,,331.824,2713.0,32000.0
2011-08-01,,,,,,,305.32,2496.0,29456.0
2011-09-01,,,,,,,310.317,2537.0,29936.0
2011-10-01,,,,,,,288.678,2360.0,27840.0
2011-11-01,,,,,,,315.856,2582.0,30464.0
2011-12-01,,,,,,,323.524,2645.0,31200.0
2012-01-01,,,,,,,54.833,448.0,20080.0
2012-02-01,,,,,,,52.076,426.0,19040.0
2012-03-01,,,,,,,49.84,407.0,18224.0
2012-04-01,,,,,,,53.097,434.0,19424.0
2012-05-01,,,,,,,52.556,430.0,19216.0
2012-06-01,,,,,,,47.868,391.0,17504.0
2012-07-01,,,,,,,52.144,426.0,19072.0
2012-08-01,,,,,,,52.282,427.0,19120.0
2012-09-01,,,,,,,49.243,403.0,18016.0
2012-10-01,,,,,,,50.523,413.0,18480.0
2012-11-01,,,,,,,54.491,445.0,19936.0
2012-12-01,,,,,,,57.667,471.0,21088.0
2013-01-01,,,,,,,664.166,5267.0,23136.0
2013-02-01,,,,,,,591.549,4691.0,20624.0
2013-03-01,,,,,,,556.334,4412.0,19392.0
2013-04-01,,,,,,,568.393,4507.0,19824.0
2013-05-01,,,,,,,604.152,4791.0,21072.0
2013-06-01,,,,,,,628.164,4981.0,21904.0
2013-07-01,,,,,,,615.782,4883.0,21472.0
2013-08-01,,,,,,,624.305,4951.0,21776.0
2013-09-01,,,,,,,570.621,4525.0,19904.0
2013-10-01,,,,,,,506.581,4017.0,17664.0
2013-11-01,,,,,,,555.062,4401.0,19360.0
2013-12-01,,,,,,,546.891,4337.0,19072.0
2014-01-01,,,,,,,538.149,4267.0,19264.0
