measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2013-03-01,2599.681,25246.0,25246.0
2013-04-01,2492.768,24208.0,24208.0
2013-05-01,2600.439,25253.0,25253.0
2013-06-01,2545.549,24721.0,24721.0
2013-07-01,2663.216,25863.0,25863.0
2013-08-01,2668.673,25916.0,25916.0
2013-09-01,2515.785,24432.0,24432.0
2013-10-01,2648.874,25724.0,25724.0
2013-11-01,2684.315,26068.0,26068.0
2013-12-01,2794.7,27140.0,27140.0
2016-01-01,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0
