measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,104787.0,1145639.0,1145639.0,416.0,4543.0,4543.0,0.0,0.0,0.0,,,,796.0,8704.0,8704.0
2003-02-01,89170.0,1002555.0,1002555.0,316.0,3549.0,3549.0,0.0,0.0,0.0,,,,457.0,5136.0,5136.0
2003-03-01,83446.0,987679.0,987679.0,410.0,4855.0,4855.0,0.0,0.0,0.0,,,,168.0,1984.0,1984.0
2003-04-01,94076.0,1047291.0,1047291.0,151.0,1676.0,1676.0,0.0,0.0,0.0,,,,325.0,3616.0,3616.0
2003-05-01,55222.0,557725.0,557725.0,141.0,1422.0,1422.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-06-01,60500.0,696501.0,696501.0,155.0,1786.0,1786.0,0.0,0.0,0.0,,,,1270.0,14624.0,14624.0
2003-07-01,95190.0,1065210.0,1065210.0,134.0,1503.0,1503.0,0.0,0.0,0.0,,,,895.0,10016.0,10016.0
2003-08-01,94408.0,1072555.0,1072555.0,209.0,2376.0,2376.0,0.0,0.0,0.0,,,,608.0,6912.0,6912.0
2003-09-01,91023.0,1029200.0,1029200.0,85.0,965.0,965.0,0.0,0.0,0.0,,,,1254.0,14176.0,14176.0
2003-10-01,92645.0,1039759.0,1039759.0,108.0,1208.0,1208.0,0.0,0.0,0.0,,,,1806.0,20272.0,20272.0
2003-11-01,78884.0,891123.0,891123.0,142.0,1601.0,1601.0,0.0,0.0,0.0,,,,814.0,9200.0,9200.0
2003-12-01,89637.0,1041580.0,1041580.0,303.0,3526.0,3526.0,0.0,0.0,0.0,,,,403.0,4688.0,4688.0
2004-01-01,98517.0,1100507.0,1100507.0,340.0,3797.0,3797.0,0.0,0.0,0.0,,,,524.0,5856.0,5856.0
2004-02-01,86960.0,955562.0,955562.0,158.0,1915.0,1915.0,0.0,0.0,0.0,,,,1206.0,13248.0,13248.0
2004-03-01,89547.0,987854.0,987854.0,161.0,1699.0,1699.0,0.0,0.0,0.0,,,,776.0,13120.0,13120.0
2004-04-01,99270.0,1092402.0,1092402.0,39.0,428.0,428.0,0.0,0.0,0.0,,,,622.0,6848.0,6848.0
2004-05-01,83681.0,942362.0,942362.0,140.0,1572.0,1572.0,0.0,0.0,0.0,,,,492.0,5536.0,5536.0
2004-06-01,79087.0,891382.0,891382.0,97.0,1092.0,1092.0,0.0,0.0,0.0,,,,1109.0,12496.0,12496.0
2004-07-01,71922.0,771898.0,771898.0,40.0,434.0,434.0,0.0,0.0,0.0,,,,2011.0,21584.0,21584.0
2004-08-01,56447.0,603737.0,603737.0,152.0,1630.0,1630.0,0.0,0.0,0.0,,,,926.0,9904.0,9904.0
2004-09-01,33046.0,356883.0,356883.0,150.0,1624.0,1624.0,0.0,0.0,0.0,,,,486.0,5248.0,5248.0
2004-10-01,52247.0,577168.0,577168.0,69.0,757.0,757.0,0.0,0.0,0.0,,,,934.0,10320.0,10320.0
2004-11-01,54985.0,584475.0,584475.0,49.0,526.0,526.0,0.0,0.0,0.0,,,,637.0,6768.0,6768.0
2004-12-01,60712.0,629253.0,629253.0,119.0,1231.0,1231.0,0.0,0.0,0.0,,,,54.0,560.0,560.0
