measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,,,,0.0,0.0,0.0
2003-02-01,,,,,,,0.0,0.0,0.0
2003-03-01,,,,,,,0.0,0.0,0.0
2003-04-01,,,,,,,0.0,0.0,0.0
2003-05-01,,,,,,,0.0,0.0,0.0
2003-06-01,,,,,,,0.0,0.0,0.0
2003-07-01,,,,,,,8781.41,104282.0,104282.0
2003-08-01,,,,,,,10197.61,124661.0,124661.0
2003-09-01,,,,,,,0.0,0.0,0.0
2003-10-01,,,,,,,0.0,0.0,0.0
2003-11-01,,,,,,,0.0,0.0,0.0
2003-12-01,,,,,,,0.0,0.0,0.0
2004-01-01,,,,,,,0.599,4.0,4.0
2004-02-01,,,,,,,0.503,4.0,4.0
2004-03-01,,,,,,,0.633,5.0,5.0
2004-04-01,,,,,,,1.361,10.0,10.0
2004-05-01,,,,,,,0.7,5.0,5.0
2004-06-01,,,,,,,1.887,14.0,14.0
2004-07-01,,,,,,,1.05,8.0,8.0
2004-08-01,,,,,,,2.7520000000000002,20.0,20.0
2004-09-01,,,,,,,4.154,31.0,31.0
2004-10-01,,,,,,,1.107,8.0,8.0
2004-11-01,,,,,,,0.615,5.0,5.0
2004-12-01,,,,,,,0.639,5.0,5.0
2005-01-01,,,,,,,480.905,6456.92,6456.92
2005-02-01,,,,,,,399.22,5360.17,5360.17
2005-03-01,,,,,,,494.401,6638.13,6638.13
2005-04-01,,,,,,,487.13800000000003,6540.61,6540.61
2005-05-01,,,,,,,574.2570000000001,7710.32,7710.32
2005-06-01,,,,,,,724.7280000000001,9730.64,9730.64
2005-07-01,,,,,,,908.301,12195.4,12195.4
2005-08-01,,,,,,,940.902,12633.11,12633.11
2005-09-01,,,,,,,715.967,9613.01,9613.01
2005-10-01,,,,,,,571.971,7679.62,7679.62
2005-11-01,,,,,,,487.98600000000005,6551.99,6551.99
2005-12-01,,,,,,,476.22400000000005,6394.07,6394.07
2006-01-01,,,,,,,1714.324,22713.0,22713.0
2006-02-01,,,,,,,2033.8890000000001,26947.0,26947.0
2006-03-01,,,,,,,2319.837,30735.0,30735.0
2006-04-01,,,,,,,2594.788,34378.0,34378.0
2006-05-01,,,,,,,3005.413,39819.0,39819.0
2006-06-01,,,,,,,3829.713,50740.0,50740.0
2006-07-01,,,,,,,4814.785,63791.0,63791.0
2006-08-01,,,,,,,4875.506,64595.0,64595.0
2006-09-01,,,,,,,3317.3050000000003,43951.0,43951.0
2006-10-01,,,,,,,3003.527,39794.0,39794.0
2006-11-01,,,,,,,2230.5860000000002,29553.0,29553.0
2006-12-01,,,,,,,2325.328,30808.0,30808.0
2007-01-01,,,,,,,0.0,0.0,0.0
2007-02-01,,,,,,,0.0,0.0,0.0
2007-03-01,,,,,,,0.0,0.0,0.0
2007-04-01,,,,,,,0.0,0.0,0.0
