measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2021-01-01,21.148,296.0,296.0
2021-02-01,20.564,289.0,289.0
2021-03-01,16.027,226.0,226.0
2021-04-01,18.257,257.0,257.0
2021-05-01,20.897,294.0,294.0
2021-06-01,28.445,400.0,400.0
2021-07-01,31.336,440.0,440.0
2021-08-01,31.956,449.0,449.0
2021-09-01,27.004,379.0,379.0
2021-10-01,22.85,322.0,322.0
2021-11-01,18.794,264.0,264.0
2021-12-01,19.722,277.0,277.0
2022-01-01,17.696,247.0,247.0
2022-02-01,15.755,218.0,218.0
2022-03-01,12.546,174.0,174.0
2022-04-01,13.078,181.0,181.0
2022-05-01,19.32,269.0,269.0
2022-06-01,23.518,326.0,326.0
2022-07-01,27.713,385.0,385.0
2022-08-01,27.857,388.0,388.0
2022-09-01,23.482,326.0,326.0
2022-10-01,18.148,252.0,252.0
2022-11-01,17.01,236.0,236.0
2022-12-01,18.877,263.0,263.0
2023-01-01,20.268,283.0,283.0
2023-02-01,19.115,266.0,266.0
2023-03-01,18.865,263.0,263.0
2023-04-01,18.22,253.0,253.0
2023-05-01,26.012,361.0,361.0
2023-06-01,30.049,418.0,418.0
2023-07-01,32.954,458.0,458.0
2023-08-01,36.272,504.0,504.0
2023-09-01,30.557,425.0,425.0
2023-10-01,22.555,313.0,313.0
2023-11-01,20.912,290.0,290.0
2023-12-01,22.221,310.0,310.0
2024-01-01,18.057,258.0,258.0
2024-02-01,12.468,179.0,179.0
2024-03-01,14.149,203.0,203.0
2024-04-01,13.293,190.0,190.0
2024-05-01,17.761,254.0,254.0
2024-06-01,20.037,287.0,287.0
2024-07-01,21.659,310.0,310.0
2024-08-01,24.473,350.0,350.0
2024-09-01,20.306,290.0,290.0
2024-10-01,17.589,252.0,252.0
2024-11-01,14.091,202.0,202.0
2024-12-01,15.117,216.0,216.0
