measured_on,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2001-01-01,21271.0,416423.0,578731.0
2001-02-01,18960.0,398515.0,546109.0
2001-03-01,22851.0,507876.0,646369.0
2001-04-01,18610.0,431882.0,572219.0
2001-05-01,21271.0,436333.0,591499.0
2001-06-01,17395.0,435045.0,563271.0
2001-07-01,19327.0,410800.0,562675.0
2001-08-01,19551.0,394660.0,571560.0
2001-09-01,22810.0,474109.0,616205.0
2001-10-01,22027.0,467064.0,629814.0
2001-11-01,21345.0,416631.0,574060.0
2001-12-01,19175.0,421756.0,566569.0
2002-01-01,20393.28,306722.0,460542.0
2002-02-01,21519.45,304411.0,454812.0
2002-03-01,19930.0,298240.0,419660.0
2002-04-01,23230.0,397025.0,493802.0
2002-05-01,23200.46,368789.0,498303.0
2002-06-01,20933.57,357102.0,475337.0
2002-07-01,21466.1,364966.0,488599.0
2002-08-01,21669.8,345202.0,487227.0
2002-09-01,16635.5,459920.0,576007.0
2002-10-01,20699.8,322999.0,471945.0
2002-11-01,12392.0,212880.0,352437.0
2002-12-01,15570.0,243775.0,381675.0
2003-01-01,18728.0,289564.0,462265.0
2003-02-01,17630.0,264252.0,407531.0
2003-03-01,10840.0,274001.0,380143.0
2003-04-01,19530.0,276605.0,437783.0
2003-05-01,18770.0,250936.0,419692.0
2003-06-01,18170.0,250896.0,417402.0
2004-01-01,16558.197,165946.0,165946.0
2004-02-01,16933.302,169706.0,169706.0
2004-03-01,17494.508,175330.0,175330.0
2004-04-01,19237.324,192796.0,192796.0
2004-05-01,20120.629,201649.0,201649.0
2004-06-01,19410.464,194532.0,194532.0
2004-07-01,21968.489,220168.0,220168.0
2004-08-01,16994.626,170320.0,170320.0
2004-09-01,15013.476999999999,150465.0,150465.0
2004-10-01,15754.788,157894.0,157894.0
2004-11-01,20207.295,202518.0,202518.0
2004-12-01,16311.351,163472.0,163472.0
2005-01-01,4054.6,40542.0,40542.0
2005-02-01,14908.9,149074.0,149074.0
2005-03-01,17169.0,171673.0,171673.0
2005-04-01,0.97,10.0,10.0
2005-05-01,22019.0,220168.0,220168.0
2005-06-01,21116.9,211148.0,211148.0
2005-07-01,18730.7,187288.0,187288.0
2005-08-01,20195.4,201934.0,201934.0
2005-09-01,18139.0,181372.0,181372.0
2005-10-01,13143.5,131422.0,131422.0
2005-11-01,9253.8,92529.0,92529.0
2005-12-01,10136.5,101355.0,101355.0
2006-01-01,6178.9,61289.0,61289.0
2006-02-01,6431.1,63790.0,63790.0
2006-03-01,7372.0,73123.0,73123.0
2006-04-01,7100.4,70429.0,70429.0
2006-05-01,7585.4,75240.0,75240.0
