measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2003-01-01,10284.0,175364.0,175364.0,,,,76.0,1294.0,1294.0,,,
2003-02-01,4507.0,70267.0,70267.0,,,,3.0,41.0,41.0,,,
2003-03-01,12357.0,191688.0,191688.0,,,,3.0,42.0,42.0,,,
2003-04-01,4770.0,82064.0,82064.0,,,,60.0,1027.0,1027.0,,,
2003-05-01,68.0,1340.0,1340.0,0.0,0.0,0.0,272.0,5314.0,5314.0,,,
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,17060.0,306068.0,306068.0,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,55546.4,993324.0,993324.0,,,
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,60030.0,1033289.0,1033289.0,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4710.0,82594.0,82594.0,,,
2003-10-01,37.0,1082.0,1082.0,0.0,0.0,0.0,53.0,1566.0,1566.0,,,
2003-11-01,537.0,9851.0,9851.0,0.0,0.0,0.0,3.0,52.0,52.0,,,
2003-12-01,2340.0,40363.0,40363.0,477.0,8224.0,8224.0,183.0,3156.0,3156.0,,,
