measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,3415.847,20978.0,51016.0
2003-02-01,,,,3151.614,19355.0,47070.0
2003-03-01,,,,3474.2740000000003,21337.0,51889.0
2003-04-01,,,,3285.5710000000004,20178.0,49070.0
2003-05-01,,,,3761.922,23103.0,56185.0
2003-06-01,,,,3919.547,24071.0,58539.0
2003-07-01,,,,5032.342000000001,30906.0,75159.0
2003-08-01,,,,4727.709,29035.0,70609.0
2003-09-01,,,,4320.23,26532.0,64523.0
2003-10-01,,,,4065.717,24969.0,60722.0
2003-11-01,,,,3441.6290000000004,21136.0,51401.0
2003-12-01,,,,3654.1690000000003,22442.0,54576.0
2004-01-01,,,,3449.382,17172.4,57447.54
2004-02-01,,,,3057.6960000000004,15222.43,50924.25
2004-03-01,,,,3237.4750000000004,16117.44,53918.28
2004-04-01,,,,3006.288,14966.5,50068.08
2004-05-01,,,,2856.393,14220.26,47571.66
2004-06-01,,,,3405.2740000000003,16952.81,56712.96
2004-07-01,,,,3600.116,17922.81,59957.91
2004-08-01,,,,3556.627,17706.3,59233.59
2004-09-01,,,,3385.309,16853.41,56380.41
2004-10-01,,,,3411.16,16982.11,56810.97
2004-11-01,,,,2943.455,14653.69,49021.56
2004-12-01,,,,3378.7360000000003,16820.69,56270.97
2005-01-01,,,,3252.547,16192.47,103421.52
2005-02-01,,,,2927.19,14572.72,93076.02
2005-03-01,,,,3124.8160000000003,15556.58,99360.0
2005-04-01,,,,3077.5080000000003,15321.06,97855.74
2005-05-01,,,,3082.221,15344.52,98005.68
2005-06-01,,,,3191.492,15888.52,101480.04
2005-07-01,,,,3326.206,16559.18,105763.68
2005-08-01,,,,3284.862,16353.35,104448.96
2005-09-01,,,,3169.7920000000004,15780.48,100790.1
2005-10-01,,,,3235.2340000000004,16106.28,102870.9
2005-11-01,,,,3134.7650000000003,15606.1,99676.44
2005-12-01,,,,3192.147,15891.78,101500.92
2006-01-01,,,,3165.165,15757.45,113141.88
2006-02-01,,,,2741.936,13650.45,98013.24
2006-03-01,,,,2913.525,14504.69,104146.74
2006-04-01,,,,2912.505,14499.61,104110.38
2006-05-01,,,,2892.938,14402.19,103410.9
2006-06-01,,,,2968.704,14779.39,106119.18
2006-07-01,,,,3231.5130000000004,16087.76,115513.56
2006-08-01,,,,3168.578,15774.44,113263.92
2006-09-01,,,,3050.724,15187.72,109051.2
2006-10-01,,,,2908.953,14481.92,103983.3
2006-11-01,,,,2893.1620000000003,14403.31,103418.82
2006-12-01,,,,3101.4680000000003,15440.34,110865.06
2007-01-01,,,,2955.503,15264.0,107010.0
2007-02-01,,,,2547.897,13158.0,92250.0
2007-03-01,,,,2383.379,12312.0,86292.0
2007-04-01,,,,2258.44,11664.0,81774.0
2007-05-01,,,,1952.6480000000001,10080.0,70704.0
2007-06-01,,,,2847.8810000000003,14706.0,103122.0
2007-07-01,,,,2975.5550000000003,15372.0,107730.0
2007-08-01,,,,2960.0260000000003,15300.0,107172.0
2007-09-01,,,,2824.2490000000003,14598.0,102258.0
2007-10-01,,,,2839.01,14670.0,102798.0
2007-11-01,,,,2653.66,13716.0,96084.0
2007-12-01,,,,2464.753,12726.0,89244.0
2008-01-01,,,,3198.2360000000003,15922.0,106542.0
2008-02-01,,,,3014.342,15007.0,100422.0
2008-03-01,,,,3351.295,16684.0,111654.0
2008-04-01,,,,2919.148,14533.0,97254.0
2008-05-01,,,,2796.1530000000002,13920.0,93168.0
2008-06-01,,,,3488.2850000000003,17366.0,116226.0
2008-07-01,,,,3901.0620000000004,19421.0,129978.0
2008-08-01,,,,3892.61,19379.0,129690.0
2008-09-01,,,,3739.123,18615.0,124578.0
2008-10-01,,,,3183.117,15847.0,106056.0
2008-11-01,,,,3398.7920000000004,16921.0,113238.0
2008-12-01,,,,3763.7470000000003,18737.0,125388.0
2009-01-01,,,,4221.714,21017.0,128286.0
2009-02-01,,,,3835.398,19094.0,116532.0
