measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2022-03-01,-111.285,0.0,0.0
2022-04-01,-92.244,0.0,0.0
2022-05-01,-143.159,0.0,0.0
2022-06-01,-119.567,0.0,0.0
2022-07-01,-107.697,0.0,0.0
2022-08-01,-96.099,0.0,0.0
2022-09-01,-71.705,0.0,0.0
2022-10-01,-98.063,0.0,0.0
2022-11-01,-101.343,0.0,0.0
2022-12-01,-78.838,0.0,0.0
2023-01-01,-55.0,0.0,0.0
2023-02-01,-56.0,0.0,0.0
2023-03-01,-146.0,0.0,0.0
2023-04-01,-154.0,0.0,0.0
2023-05-01,-156.0,0.0,0.0
2023-06-01,-139.0,0.0,0.0
2023-07-01,-151.0,0.0,0.0
2023-08-01,-135.0,0.0,0.0
2023-09-01,-123.0,0.0,0.0
2023-10-01,-139.0,0.0,0.0
2023-11-01,-143.0,0.0,0.0
2023-12-01,-158.0,0.0,0.0
2024-01-01,-114.0,0.0,0.0
2024-02-01,-113.0,0.0,0.0
2024-03-01,-124.0,0.0,0.0
2024-04-01,-135.0,0.0,0.0
2024-05-01,-120.0,0.0,0.0
2024-06-01,-125.0,0.0,0.0
2024-07-01,-133.0,0.0,0.0
2024-08-01,-116.0,0.0,0.0
2024-09-01,-108.0,0.0,0.0
2024-10-01,-107.0,0.0,0.0
2024-11-01,-95.0,0.0,0.0
2024-12-01,-119.0,0.0,0.0
