measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed
2001-01-01,482.0,5172.0,5172.0,1011.0,11016.0,11016.0,699867.0,7588273.0,7588273.0,,,
2001-02-01,74.0,794.0,794.0,1144.0,39584.0,39584.0,726654.0,7851527.0,7851527.0,,,
2001-03-01,6.0,64.0,64.0,2154.0,25888.0,25888.0,431440.0,4681941.0,4681941.0,,,
2001-04-01,27.0,280.0,280.0,873.0,9199.0,9199.0,778833.0,8032412.0,8032412.0,,,
2001-05-01,0.0,0.0,0.0,2492.0,28252.0,28252.0,687953.0,7603201.0,7603201.0,,,
2001-06-01,17.0,198.0,198.0,935.0,15275.0,15275.0,532794.0,6003548.0,6003548.0,,,
2001-07-01,33.0,887.0,887.0,359.0,4083.0,4083.0,794331.0,8927774.0,8927774.0,,,
2001-08-01,14.0,146.0,146.0,377.0,4142.0,4142.0,809950.0,8768290.0,8768290.0,,,
2001-09-01,5.0,58.0,58.0,372.0,4120.0,4120.0,746388.0,8096616.0,8096616.0,,,
2001-10-01,26.0,280.0,280.0,914.0,10142.0,10142.0,779214.0,8494174.0,8494174.0,,,
2001-11-01,17.0,193.0,193.0,559.0,6209.0,6209.0,761078.0,8408688.0,8408688.0,,,
2001-12-01,82.0,922.0,922.0,288.0,3282.0,3282.0,473943.0,5373033.0,5373033.0,,,
2002-01-01,150.0,2350.0,2350.0,1087.0,17578.0,17578.0,457205.0,6269781.0,6269781.0,,,
2002-02-01,281.0,4205.0,4205.0,736.0,11126.0,11126.0,607771.0,8113329.0,8113329.0,,,
2002-03-01,7.0,75.0,75.0,103.0,1109.0,1109.0,412031.0,5453721.0,5453721.0,,,
2002-04-01,1887.0,19621.0,19621.0,4905.0,50933.0,50933.0,414074.0,5471613.0,5471613.0,,,
2002-05-01,1.0,6.0,6.0,2436.0,25732.0,25732.0,696432.0,9133803.0,9133803.0,,,
2002-06-01,4.0,41.0,41.0,2410.0,25412.0,25412.0,721499.0,9519111.0,9519111.0,,,
2002-07-01,1.0,6.0,6.0,1019.0,10766.0,10766.0,796357.0,10474317.0,10474317.0,,,
2002-08-01,5.0,52.0,52.0,3915.0,41896.0,41896.0,681336.0,9081135.0,9081135.0,,,
2002-09-01,61.0,655.0,655.0,1989.0,21668.0,21668.0,728666.0,9800763.0,9800763.0,,,
2002-10-01,16.0,162.0,162.0,421.0,4444.0,4444.0,821525.0,10810800.0,10810800.0,,,
2002-11-01,0.0,0.0,0.0,996.0,10627.0,10627.0,754543.0,9841272.0,9841272.0,,,
2002-12-01,16.0,238.0,238.0,418.0,6505.0,6505.0,784278.0,10507287.0,10507287.0,,,
2003-01-01,18.0,203.0,203.0,3483.0,37793.0,37793.0,459921.0,4990758.0,4990758.0,,,
2003-02-01,0.0,0.0,0.0,1589.0,17203.0,17203.0,686509.0,7432723.0,7432723.0,,,
2003-03-01,0.0,0.0,0.0,904.0,9857.0,9857.0,680756.0,7342912.0,7342912.0,,,
2003-04-01,0.0,0.0,0.0,253.0,3898.0,3898.0,402772.0,4285292.0,4285292.0,,,
2003-05-01,0.0,0.0,0.0,3421.0,43802.0,43802.0,427070.0,4682310.0,4682310.0,,,
2003-06-01,166.0,2500.0,2500.0,2897.0,46122.0,46122.0,543627.0,5950459.0,5950459.0,,,
2003-07-01,0.0,0.0,0.0,1126.0,11828.0,11828.0,796642.0,8499881.0,8499881.0,,,
2003-08-01,0.0,0.0,0.0,2471.0,26329.0,26329.0,811376.0,8800917.0,8800917.0,,,
2003-09-01,0.0,0.0,0.0,591.0,6267.0,6267.0,752765.0,8132137.0,8132137.0,,,
2003-10-01,408.0,4344.0,4344.0,458.0,4862.0,4862.0,802826.0,8689890.0,8689890.0,,,
2003-11-01,0.0,0.0,0.0,294.0,4545.0,4545.0,770668.0,8355126.0,8355126.0,,,
2003-12-01,4.0,41.0,41.0,557.0,6004.0,6004.0,784391.0,8508041.0,8508041.0,,,
2004-01-01,9.0,93.0,93.0,460.0,4927.0,4927.0,816614.0,8910924.0,8910924.0,,,
2004-02-01,1.0,6.0,6.0,673.0,7569.0,7569.0,747114.0,8131100.0,8131100.0,,,
2004-03-01,2.0,23.0,23.0,443.0,4666.0,4666.0,412482.0,4437034.0,4437034.0,,,
2004-04-01,1.0,6.0,6.0,4893.0,52737.0,52737.0,665359.0,7298542.0,7298542.0,,,
2004-05-01,0.0,0.0,0.0,592.0,9134.0,9134.0,603124.0,6591359.0,6591359.0,,,
2004-06-01,0.0,0.0,0.0,1797.0,19330.0,19330.0,662570.0,7270917.0,7270917.0,,,
2004-07-01,0.0,0.0,0.0,2631.0,28145.0,28145.0,668287.0,7321390.0,7321390.0,,,
2004-08-01,0.0,0.0,0.0,634.0,6820.0,6820.0,756112.0,8571059.0,8571059.0,,,
2004-09-01,0.0,0.0,0.0,3995.0,42839.0,42839.0,573110.0,6550843.0,6550843.0,,,
2004-10-01,0.0,0.0,0.0,811.0,12496.0,12496.0,765811.0,8663054.0,8663054.0,,,
2004-11-01,0.0,0.0,0.0,614.0,6592.0,6592.0,769150.0,8676026.0,8676026.0,,,
2004-12-01,0.0,0.0,0.0,2150.0,23122.0,23122.0,791276.0,8634164.0,8634164.0,,,
2005-01-01,0.0,0.0,0.0,500.0,5446.93,5446.93,812949.0,11658526.0,11658526.0,,,
2005-02-01,0.0,0.0,0.0,582.0,6208.47,6208.47,711489.0,9811330.76,9811330.76,,,
2005-03-01,0.0,0.0,0.0,2387.0,25677.23,25677.23,438163.0,5947851.0,5947851.0,,,
2005-04-01,0.0,0.0,0.0,1699.0,18111.32,18111.32,774985.0,10668783.54,10668783.54,,,
2005-05-01,0.0,0.0,0.0,489.0,7483.09,7483.09,809782.0,11090789.88,11090789.88,,,
2005-06-01,0.0,0.0,0.0,1803.0,19624.3,19624.3,621560.0,8681192.32,8681192.32,,,
2005-07-01,0.0,0.0,0.0,1271.0,13909.72,13909.72,787530.0,10976020.32,10976020.32,,,
2005-08-01,0.0,0.0,0.0,783.0,8412.29,8412.29,780019.0,10667227.69,10667227.69,,,
2005-09-01,0.0,0.0,0.0,766.0,8579.95,8579.95,711908.0,10579833.6,10579833.6,,,
2005-10-01,0.0,0.0,0.0,799.0,8752.66,8752.66,683494.0,9677237.7,9677237.7,,,
2005-11-01,0.0,0.0,0.0,598.0,6587.22,6587.22,657653.0,9318225.48,9318225.48,,,
2005-12-01,0.0,0.0,0.0,767.0,8701.15,8701.15,658009.0,10152384.48,10152384.48,,,
2006-01-01,0.0,0.0,0.0,379.0,4163.0,4163.0,798314.0,8777047.0,8777047.0,,,
2006-02-01,0.0,0.0,0.0,440.0,4681.0,4681.0,765270.0,8137866.0,8137866.0,,,
2006-03-01,0.0,0.0,0.0,778.0,8373.0,8373.0,730354.0,7863193.0,7863193.0,,,
2006-04-01,0.0,0.0,0.0,1842.0,19599.0,19599.0,507337.0,5396636.0,5396636.0,,,
2006-05-01,0.0,0.0,0.0,1070.0,11440.0,11440.0,815238.0,8704499.0,8704499.0,,,
2006-06-01,0.0,0.0,0.0,2192.0,23374.0,23374.0,669916.0,7133861.0,7133861.0,,,
2006-07-01,0.0,0.0,0.0,414.0,4461.0,4461.0,809199.0,8717378.0,8717378.0,,,
2006-08-01,0.0,0.0,0.0,1265.0,14065.0,14065.0,698710.0,7785115.0,7785115.0,,,
2006-09-01,0.0,0.0,0.0,4360.0,48403.0,48403.0,387409.0,4310213.0,4310213.0,,,
2006-10-01,0.0,0.0,0.0,372.0,3906.0,3906.0,401759.0,4215628.0,4215628.0,,,
2006-11-01,0.0,0.0,0.0,7156.0,78600.0,78600.0,291766.0,3193639.0,3193639.0,,,
2006-12-01,0.0,0.0,0.0,4168.0,44535.0,44535.0,623362.0,6678101.0,6678101.0,,,
2007-01-01,0.0,0.0,0.0,905.3090000000001,9734.0,9734.0,749033.691,8054022.0,8054022.0,,,
2007-02-01,0.0,0.0,0.0,626.553,6835.0,6835.0,273847.447,2987229.0,2987229.0,,,
2007-03-01,0.0,0.0,0.0,3302.886,48103.0,48103.0,38543.114,561342.0,561342.0,,,
2007-04-01,0.0,0.0,0.0,4370.568,47487.0,47487.0,706972.432,7681410.0,7681410.0,,,
2007-05-01,0.0,0.0,0.0,2244.5640000000003,24306.0,24306.0,772356.436,8363595.0,8363595.0,,,
2007-06-01,0.0,0.0,0.0,985.03,10652.0,10652.0,767140.97,8296139.0,8296139.0,,,
2007-07-01,0.0,0.0,0.0,2218.05,24140.0,24140.0,759941.95,8270782.0,8270782.0,,,
2007-08-01,0.0,0.0,0.0,1325.7640000000001,14397.0,14397.0,810347.236,8799605.0,8799605.0,,,
2007-09-01,0.0,0.0,0.0,2315.84,25385.0,25385.0,721990.16,7914175.0,7914175.0,,,
2007-10-01,0.0,0.0,0.0,1268.7640000000001,13727.0,13727.0,830771.236,8988212.0,8988212.0,,,
2007-11-01,0.0,0.0,0.0,3150.202,34372.0,34372.0,548135.798,5980792.0,5980792.0,,,
2007-12-01,0.0,0.0,0.0,2159.57,23491.0,23491.0,792597.43,8621426.0,8621426.0,,,
2008-01-01,0.0,0.0,0.0,427.428,4629.0,4629.0,838725.144,9082973.0,9082973.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,837.8960000000001,9296.5,9296.5,611902.208,6789119.0,6789119.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,1155.762,12634.0,12634.0,328914.476,3595494.0,3595494.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,1631.718,17609.0,17609.0,727489.564,7850775.0,7850775.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,2635.3425,29721.0,29721.0,253137.315,2854822.0,2854822.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,549.7385,6003.5,6003.5,715791.523,7816825.0,7816825.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,343.873,3743.5,3743.5,789374.254,8593503.0,8593503.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,1046.7540000000001,11438.0,11438.0,787794.246,8608502.0,8608502.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,2579.181,29478.0,29478.0,602163.819,6882223.0,6882223.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,2620.7490000000003,28872.0,28872.0,508306.251,5599829.0,5599829.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,2586.233,27966.0,27966.0,680672.767,7360364.0,7360364.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,988.243,9925.0,9925.0,809229.757,8127376.0,8127376.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,556.621,6114.0,6114.0,798088.379,8765642.0,8765642.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,1883.2810000000002,20851.0,20851.0,430161.719,4762697.0,4762697.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,3519.57,39220.0,39220.0,496210.43,5529520.0,5529520.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,2625.318,29142.0,29142.0,340447.682,3779034.0,3779034.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,6030.021000000001,66663.0,66663.0,531687.979,5877912.0,5877912.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,3274.931,36530.0,36530.0,591728.069,6600334.0,6600334.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,3401.96,37421.0,37421.0,691633.04,7607748.0,7607748.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,4977.304,55622.0,55622.0,640206.696,7154353.0,7154353.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,3449.929,39329.0,39329.0,567817.071,6473149.0,6473149.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,2570.367,28280.0,28280.0,731558.633,8048841.0,8048841.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,751.191,8193.0,8193.0,666428.809,7268630.0,7268630.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,1418.39,15550.0,15550.0,724117.61,7938579.0,7938579.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,1745.873,19159.0,19159.0,640455.127,7028164.0,7028164.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,172.62300000000002,1857.0,1857.0,372049.377,4003189.0,4003189.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,4991.559,55347.0,55347.0,372675.441,4132269.0,4132269.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,825.5010000000001,8965.0,8965.0,725272.499,7876304.0,7876304.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,2509.79,27328.0,27328.0,510628.21,5559918.0,5559918.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,610.948,6730.0,6730.0,737155.052,8119804.0,8119804.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,564.469,6327.0,6327.0,762500.531,8546208.0,8546208.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,745.486,8220.0,8220.0,752477.514,8297484.0,8297484.0,0.0,0.0,0.0
