measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,411.0,7197.0,7197.0,14701.0,257603.0,257603.0
2003-02-01,108.0,1957.0,1957.0,12480.0,225826.0,225826.0
2003-03-01,426.0,6075.0,6075.0,16323.0,232939.0,232939.0
2003-04-01,523.0,9935.0,9935.0,12926.0,245419.0,245419.0
2003-05-01,353.0,7880.0,7880.0,10199.0,227354.0,227354.0
2003-06-01,212.0,3863.0,3863.0,15674.0,285496.0,285496.0
2003-07-01,438.0,8252.0,8252.0,14576.0,274872.0,274872.0
2003-08-01,1042.0,19844.0,19844.0,14227.0,271034.0,271034.0
2003-09-01,556.0,10582.0,10582.0,10389.0,197902.0,197902.0
2003-10-01,189.0,3535.0,3535.0,15273.0,285280.0,285280.0
2003-11-01,194.0,3535.0,3535.0,15268.0,278148.0,278148.0
2003-12-01,162.0,3269.0,3269.0,13563.0,273671.0,273671.0
2004-01-01,267.31100000000004,2476.0,2476.0,14352.792000000001,132946.0,132946.0
2004-02-01,333.35,3088.0,3088.0,12722.996,117849.0,117849.0
2004-03-01,423.096,3919.0,3919.0,13471.05,124778.0,124778.0
2004-04-01,405.25600000000003,3754.0,3754.0,12509.089,115868.0,115868.0
2004-05-01,461.41200000000003,4274.0,4274.0,11885.379,110091.0,110091.0
2004-06-01,398.59200000000004,3692.0,3692.0,14169.259,131246.0,131246.0
2004-07-01,766.253,7098.0,7098.0,14979.99,138755.0,138755.0
2004-08-01,716.986,6641.0,6641.0,14799.034,137079.0,137079.0
2004-09-01,640.714,5935.0,5935.0,14086.185000000001,130476.0,130476.0
2004-10-01,458.956,4251.0,4251.0,14193.749,131472.0,131472.0
2004-11-01,453.16200000000003,4198.0,4198.0,12247.641,113446.0,113446.0
2004-12-01,387.91200000000003,3593.0,3593.0,14058.834,130223.0,130223.0
2005-01-01,,,,13637.425,235357.12,235357.12
2005-02-01,,,,12273.255000000001,211814.02,211814.02
2005-03-01,,,,13101.871,226114.43,226114.43
2005-04-01,,,,12903.512999999999,222691.12,222691.12
2005-05-01,,,,12923.273000000001,223032.16,223032.16
2005-06-01,,,,13381.434000000001,230939.17,230939.17
2005-07-01,,,,13946.269,240687.19,240687.19
2005-08-01,,,,13772.917000000001,237695.47,237695.47
2005-09-01,,,,13290.445,229368.88,229368.88
2005-10-01,,,,13564.835,234104.35,234104.35
2005-11-01,,,,13143.584,226834.31,226834.31
2005-12-01,,,,13384.179,230986.56,230986.56
2006-01-01,,,,13851.909,228148.0,228148.0
2006-02-01,,,,12923.497,212857.0,212857.0
2006-03-01,,,,13274.465,218638.0,218638.0
2006-04-01,,,,10974.483,180756.0,180756.0
2006-05-01,,,,10524.464,173344.0,173344.0
2006-06-01,,,,13054.719000000001,215018.0,215018.0
2006-07-01,,,,14044.446,231320.0,231320.0
2006-08-01,,,,13907.462,229063.0,229063.0
2006-09-01,,,,12552.936,206754.0,206754.0
2006-10-01,,,,11834.899,194927.0,194927.0
2006-11-01,,,,13016.467,214388.0,214388.0
2006-12-01,,,,13025.254,214533.0,214533.0
2007-01-01,710.98,10924.0,10924.0,14819.02,227700.0,227700.0
2007-02-01,369.23,6007.0,6007.0,4507.77,73332.0,73332.0
2007-03-01,989.09,11824.0,11824.0,13519.91,161616.0,161616.0
2007-04-01,891.2940000000001,10324.0,10324.0,11260.706,130440.0,130440.0
2007-05-01,82.958,1226.0,1226.0,2450.042,36204.0,36204.0
2007-06-01,1014.4730000000001,13443.0,13443.0,11789.527,156228.0,156228.0
2007-07-01,818.648,10603.0,10603.0,14888.351999999999,192828.0,192828.0
2007-08-01,750.034,9639.0,9639.0,11997.966,154188.0,154188.0
2007-09-01,549.964,6865.0,6865.0,12535.036,156480.0,156480.0
2007-10-01,548.575,6797.0,6797.0,14197.425,175920.0,175920.0
2007-11-01,453.642,6112.0,6112.0,14558.358,196140.0,196140.0
2007-12-01,720.8910000000001,11053.0,11053.0,13422.109,205800.0,205800.0
2008-01-01,317.362,5019.0,5019.0,13846.638,218977.0,218977.0
2008-02-01,210.67700000000002,3730.0,3730.0,8888.323,157373.0,157373.0
2008-03-01,346.336,6549.0,6549.0,12588.664,238040.0,238040.0
2008-04-01,327.457,6774.0,6774.0,13292.543,274966.0,274966.0
2008-05-01,325.921,4718.0,4718.0,6202.079000000001,89778.0,89778.0
