measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,3652.0,55838.0,55838.0,0.0,0.0,0.0,358.0,5481.0,5481.0,,,,0.0,0.0,0.0
2003-02-01,1957.0,26272.0,26272.0,-359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-03-01,10990.0,128799.0,128799.0,-363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,-322.0,0.0,0.0,-179.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-05-01,-240.0,0.0,0.0,-288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-06-01,203.0,4118.0,4118.0,7537.0,102106.0,102106.0,978.0,19873.0,19873.0,2047.0,27727.0,27727.0,,,,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,11790.0,134170.0,134170.0,550.0,13548.0,13548.0,4132.0,47016.0,47016.0,,,,0.0,0.0,0.0
2003-08-01,807.0,13098.0,13098.0,0.0,0.0,0.0,1726.0,28039.0,28039.0,16630.0,205614.0,205614.0,,,,0.0,0.0,0.0
2003-09-01,921.0,19276.0,19276.0,-293.0,0.0,0.0,493.0,10321.0,10321.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,-322.0,0.0,0.0,-135.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-11-01,396.0,8020.0,8020.0,0.0,0.0,0.0,656.0,13305.0,13305.0,347.0,8103.0,8103.0,,,,0.0,0.0,0.0
