measured_on,"Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Generation Unit 1","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Quantity Consumed For Electricity Unit 1","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Total Fuel Consumed Unit 1"
2003-01-01,631984.0,6585905.26,6585905.26
2003-02-01,572521.0,5966241.34,5966241.34
2003-03-01,631971.0,6585769.79,6585769.79
2003-04-01,605628.0,6311249.39,6311249.39
2003-05-01,624685.0,6509842.39,6509842.39
2003-06-01,597862.0,6230319.9,6230319.9
2003-07-01,610219.0,6359092.2,6359092.2
2003-08-01,609588.0,6352516.55,6352516.55
2003-09-01,592306.0,6172420.83,6172420.83
2003-10-01,309494.0,3225236.97,3225236.97
2003-11-01,-8042.0,-83805.68,-83805.68
2003-12-01,418815.0,4364471.12,4364471.12
2004-01-01,628992.0,6558499.58,6558499.58
2004-02-01,592136.0,6174202.07,6174202.07
2004-03-01,630817.0,6577528.86,6577528.86
2004-04-01,606796.0,6327061.89,6327061.89
2004-05-01,595895.0,6213397.17,6213397.17
2004-06-01,590383.0,6155923.54,6155923.54
2004-07-01,593006.0,6183273.56,6183273.56
2004-08-01,609964.0,6360094.63,6360094.63
2004-09-01,594931.0,6203345.54,6203345.54
2004-10-01,628330.0,6551596.91,6551596.91
2004-11-01,606727.0,6326342.43,6326342.43
2004-12-01,595257.0,6206744.74,6206744.74
2005-01-01,634556.0,6621591.86,6621591.86
2005-02-01,574716.0,5997161.46,5997161.46
2005-03-01,633072.0,6606106.32,6606106.32
2005-04-01,603671.0,6299306.89,6299306.89
2005-05-01,622371.0,6494441.39,6494441.39
2005-06-01,590245.0,6159206.58,6159206.58
2005-07-01,606729.0,6331217.12,6331217.12
2005-08-01,606110.0,6324757.85,6324757.85
2005-09-01,590523.0,6162107.51,6162107.51
2005-10-01,431976.0,4507669.56,4507669.56
2005-11-01,227852.0,2377635.62,2377635.62
2005-12-01,633640.0,6612033.4,6612033.4
2006-01-01,634770.0,6623190.0,6623190.0
2006-02-01,574064.0,5989784.0,5989784.0
2006-03-01,629263.0,6565730.0,6565730.0
2006-04-01,604524.0,6307603.0,6307603.0
