measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2001-01-01,6119.0,87200.0,87200.0,,,,917.0,13537.0,13537.0,,,
2001-02-01,1318.0,11551.0,11551.0,,,,12912.0,117167.0,117167.0,,,
2001-03-01,669.0,12047.0,12047.0,,,,16234.0,302932.0,302932.0,,,
2001-04-01,0.0,0.0,0.0,,,,19488.0,270000.0,270000.0,,,
2001-05-01,568.0,8516.0,8516.0,,,,13170.0,204593.0,204593.0,,,
2001-06-01,0.0,0.0,0.0,,,,25101.0,368265.0,368265.0,,,
2001-07-01,0.0,0.0,0.0,,,,36607.0,537666.0,537666.0,,,
2001-08-01,0.0,0.0,0.0,,,,48594.0,733828.0,733828.0,,,
2001-09-01,0.0,0.0,0.0,,,,18769.0,306534.0,306534.0,,,
2001-10-01,0.0,0.0,0.0,,,,18978.0,318301.0,318301.0,,,
2001-11-01,37.0,564.0,564.0,,,,9382.0,148232.0,148232.0,,,
2001-12-01,0.0,0.0,0.0,,,,9117.0,134067.0,134067.0,,,
2002-01-01,,,,0.0,0.0,0.0,15741.0,216033.0,216033.0,,,
2002-02-01,,,,0.0,0.0,0.0,7210.0,112785.0,112785.0,,,
2002-03-01,,,,0.0,0.0,0.0,15741.0,217283.0,217283.0,,,
2002-04-01,,,,0.0,0.0,0.0,18713.0,262337.0,262337.0,,,
2002-05-01,,,,0.0,0.0,0.0,7524.0,107837.0,107837.0,,,
2002-06-01,,,,0.0,0.0,0.0,9200.0,148118.0,148118.0,,,
2002-07-01,,,,331.0,4592.0,4592.0,43764.0,608043.0,608043.0,,,
2002-08-01,,,,0.0,0.0,0.0,36446.0,493396.0,493396.0,,,
2002-09-01,,,,0.0,0.0,0.0,12108.0,95900.0,95900.0,,,
2002-10-01,,,,0.0,0.0,0.0,6515.0,70135.0,70135.0,,,
2002-11-01,,,,147.0,1226.0,1226.0,7596.0,78391.0,78391.0,,,
2002-12-01,,,,2140.0,11893.0,11893.0,15441.0,85804.0,85804.0,,,
2003-01-01,,,,2678.0,23094.0,23094.0,1646.0,14200.0,14200.0,,,
2003-02-01,,,,5564.0,41261.0,41261.0,3081.0,22845.0,22845.0,,,
2003-03-01,,,,780.0,9274.0,9274.0,1274.0,15154.0,15154.0,,,
2003-04-01,,,,461.0,8286.0,8286.0,3824.0,68706.0,68706.0,,,
2003-05-01,,,,0.0,0.0,0.0,5734.0,85673.0,85673.0,,,
2003-06-01,,,,276.0,2699.0,2699.0,10703.0,104649.0,104649.0,,,
2003-07-01,,,,0.0,0.0,0.0,5486.0,66634.0,66634.0,,,
2003-08-01,,,,0.0,0.0,0.0,28165.0,402974.0,402974.0,,,
2003-09-01,,,,0.0,0.0,0.0,11166.0,166712.0,166712.0,,,
2003-10-01,,,,0.0,0.0,0.0,11782.0,170789.0,170789.0,,,
2003-11-01,,,,40.0,679.0,679.0,2083.0,35108.0,35108.0,,,
2003-12-01,,,,2710.0,35086.0,35086.0,482.0,6234.0,6234.0,,,
2004-01-01,,,,22071.0,274251.0,274251.0,1785.0,22184.0,22184.0,0.0,0.0,0.0
2004-02-01,,,,1398.0,20703.0,20703.0,5720.0,84698.0,84698.0,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0,7177.0,102738.0,102738.0,0.0,0.0,0.0
2004-04-01,,,,412.0,5769.0,5769.0,18599.0,260613.0,260613.0,0.0,0.0,0.0
2004-05-01,,,,1321.0,17796.0,17796.0,36587.0,492857.0,492857.0,0.0,0.0,0.0
2004-06-01,,,,610.0,8128.0,8128.0,18579.0,247677.0,247677.0,0.0,0.0,0.0
2004-07-01,,,,0.0,0.0,0.0,11695.0,163051.0,163051.0,0.0,0.0,0.0
2004-08-01,,,,0.0,0.0,0.0,26708.0,370881.0,370881.0,0.0,0.0,0.0
2004-09-01,,,,0.0,0.0,0.0,12939.0,185640.0,185640.0,0.0,0.0,0.0
2004-10-01,,,,0.0,0.0,0.0,4871.0,68891.0,68891.0,0.0,0.0,0.0
2004-11-01,,,,41.0,543.0,543.0,19451.0,257807.0,257807.0,0.0,0.0,0.0
2004-12-01,,,,2259.0,31203.0,31203.0,16289.0,224961.0,224961.0,0.0,0.0,0.0
2005-01-01,,,,1781.0,24707.2,24707.2,2579.0,35774.33,35774.33,,,
2005-02-01,,,,0.0,0.0,0.0,11123.0,152644.91,152644.91,,,
2005-03-01,,,,0.0,0.0,0.0,7919.0,116862.26,116862.26,,,
2005-04-01,,,,0.0,0.0,0.0,20380.0,289086.75,289086.75,,,
2005-05-01,,,,0.0,0.0,0.0,9225.0,135142.73,135142.73,,,
2005-06-01,,,,17.0,257.6,257.6,29129.0,438709.68,438709.68,,,
2005-07-01,,,,293.0,4272.8,4272.8,56224.0,815735.93,815735.93,,,
2005-08-01,,,,0.0,0.0,0.0,54281.0,800695.56,800695.56,,,
2005-09-01,,,,125.0,1870.4,1870.4,24038.0,359050.28,359050.28,,,
2005-10-01,,,,60.0,851.2,851.2,51396.0,724189.23,724189.23,,,
2005-11-01,,,,13.0,196.0,196.0,20816.0,315183.75,315183.75,,,
2005-12-01,,,,2894.0,41955.2,41955.2,8086.0,117230.07,117230.07,,,
2006-01-01,,,,829.0,14039.0,14039.0,4046.0,68496.0,68496.0,,,
2006-02-01,,,,0.0,0.0,0.0,7164.0,110799.0,110799.0,,,
2006-03-01,,,,0.0,0.0,0.0,9093.0,136162.0,136162.0,,,
2006-04-01,,,,0.0,0.0,0.0,12326.0,184181.0,184181.0,,,
2006-05-01,,,,0.0,0.0,0.0,18548.0,276964.0,276964.0,,,
2006-06-01,,,,287.0,4301.0,4301.0,18709.0,280259.0,280259.0,,,
2006-07-01,,,,0.0,0.0,0.0,54507.0,737227.0,737227.0,,,
2006-08-01,,,,0.0,0.0,0.0,45922.0,683923.0,683923.0,,,
2006-09-01,,,,0.0,0.0,0.0,12652.0,186536.0,186536.0,,,
2006-10-01,,,,0.0,0.0,0.0,27625.0,405056.0,405056.0,,,
2006-11-01,,,,5.0,67.0,67.0,17700.0,259211.0,259211.0,,,
2006-12-01,,,,0.0,560.0,560.0,30917.0,442148.0,442148.0,,,
2007-01-01,,,,1879.326,26684.0,26684.0,29549.674,419567.0,419567.0,,,
2007-02-01,,,,3430.1110000000003,47550.0,47550.0,20340.889,281974.0,281974.0,,,
2007-03-01,,,,908.7080000000001,12348.0,12348.0,20853.292,283365.0,283365.0,,,
2007-04-01,,,,63.629000000000005,952.0,952.0,21302.371,318720.0,318720.0,,,
2007-05-01,,,,0.0,0.0,0.0,13498.0,193251.0,193251.0,,,
2007-06-01,,,,82.312,1230.0,1230.0,32425.688000000002,484539.0,484539.0,,,
2007-07-01,,,,102.906,1542.0,1542.0,38201.094,572515.0,572515.0,,,
2007-08-01,,,,0.0,0.0,0.0,46986.0,694063.0,694063.0,,,
2007-09-01,,,,0.0,0.0,0.0,38853.0,579948.0,579948.0,,,
2007-10-01,,,,0.0,0.0,0.0,23055.0,339809.0,339809.0,,,
2007-11-01,,,,163.08700000000002,2380.0,2380.0,23062.913,336567.0,336567.0,,,
2007-12-01,,,,128.743,1820.0,1820.0,26978.257,381384.0,381384.0,,,
2008-01-01,,,,1458.155,21582.0,21582.0,14958.845000000001,221408.0,221408.0,,,
2008-02-01,,,,666.399,9229.0,9229.0,18691.601000000002,258855.0,258855.0,,,
2008-03-01,,,,0.0,0.0,0.0,26257.0,379174.0,379174.0,,,
2008-04-01,,,,257.574,3825.0,3825.0,23326.426,346382.0,346382.0,,,
2008-05-01,,,,0.0,0.0,0.0,13562.0,195457.0,195457.0,,,
2008-06-01,,,,0.0,0.0,0.0,40855.0,613098.0,613098.0,,,
2008-07-01,,,,379.023,6154.0,6154.0,33078.977,537120.0,537120.0,,,
2008-08-01,,,,0.0,0.0,0.0,12917.0,164184.0,164184.0,,,
2008-09-01,,,,0.0,0.0,0.0,30957.0,464440.0,464440.0,,,
2008-10-01,,,,0.0,0.0,0.0,10074.0,166575.0,166575.0,,,
2008-11-01,,,,0.0,0.0,0.0,11260.0,166586.0,166586.0,,,
2008-12-01,,,,1157.538,18379.0,18379.0,12712.462,201846.0,201846.0,,,
2009-01-01,,,,2675.1780000000003,37380.0,37380.0,12772.822,178473.0,178473.0,,,
2009-02-01,,,,0.0,0.0,0.0,8009.0,119040.0,119040.0,,,
2009-03-01,,,,1150.797,17125.0,17125.0,7345.203,109303.0,109303.0,,,
2009-04-01,,,,0.0,0.0,0.0,7593.0,126631.0,126631.0,,,
2009-05-01,,,,0.0,0.0,0.0,3952.0,63826.0,63826.0,,,
2009-06-01,,,,0.0,0.0,0.0,4835.0,70854.0,70854.0,,,
2009-07-01,,,,0.0,0.0,0.0,8549.0,126685.0,126685.0,,,
2009-08-01,,,,0.0,0.0,0.0,12684.0,188506.0,188506.0,,,
2009-09-01,,,,291.757,4402.0,4402.0,8914.243,134485.0,134485.0,,,
2009-10-01,,,,0.0,0.0,0.0,2675.0,43270.0,43270.0,,,
2009-11-01,,,,0.0,0.0,0.0,5572.0,99656.0,99656.0,,,
2009-12-01,,,,0.0,0.0,0.0,10311.0,140214.0,140214.0,,,
2010-01-01,,,,2757.0660000000003,34093.0,34093.0,4554.934,56325.0,56325.0,,,
2010-02-01,,,,1265.048,23027.0,23027.0,4347.952,79144.0,79144.0,,,
2010-03-01,,,,0.0,0.0,0.0,6537.0,97394.0,97394.0,,,
2010-04-01,,,,0.0,0.0,0.0,9160.0,138602.0,138602.0,,,
2010-05-01,,,,0.0,0.0,0.0,18851.0,280347.0,280347.0,,,
2010-06-01,,,,0.0,0.0,0.0,15564.0,234696.0,234696.0,,,
2010-07-01,,,,0.0,0.0,0.0,49690.0,744809.0,744809.0,,,
2010-08-01,,,,0.0,0.0,0.0,23122.0,339882.0,339882.0,,,
2010-09-01,,,,0.0,0.0,0.0,23246.0,353337.0,353337.0,,,
2010-10-01,,,,6.176,95.0,95.0,5876.8240000000005,90581.0,90581.0,,,
2010-11-01,,,,448.548,6524.0,6524.0,11179.452,162602.0,162602.0,,,
2010-12-01,,,,3291.3340000000003,44537.0,44537.0,19951.666,269977.0,269977.0,,,
2011-01-01,,,,2735.463,45601.0,45601.0,5465.537,91112.0,91112.0,,,
2011-02-01,,,,0.0,0.0,0.0,12156.0,175139.0,175139.0,,,
2011-03-01,,,,0.0,0.0,0.0,2018.0,33498.0,33498.0,,,
2011-04-01,,,,0.0,0.0,0.0,5140.0,78187.0,78187.0,,,
2011-05-01,,,,0.0,0.0,0.0,11402.0,175617.0,175617.0,,,
2011-06-01,,,,0.0,0.0,0.0,14498.0,216985.0,216985.0,,,
2011-07-01,,,,0.0,0.0,0.0,28816.0,446136.0,446136.0,,,
2011-08-01,,,,0.0,0.0,0.0,7739.0,114137.0,114137.0,,,
2011-09-01,,,,0.0,0.0,0.0,14351.0,216188.0,216188.0,,,
2011-10-01,,,,0.0,0.0,0.0,4972.0,77784.0,77784.0,,,
2011-11-01,,,,0.0,0.0,0.0,563.0,14528.0,14528.0,,,
2011-12-01,,,,0.0,0.0,0.0,6929.0,103722.0,103722.0,,,
2012-01-01,,,,0.0,0.0,0.0,2382.0,37488.0,37488.0,,,
2012-02-01,,,,0.0,0.0,0.0,291.0,6853.0,6853.0,,,
2012-03-01,,,,0.0,0.0,0.0,2982.0,47318.0,47318.0,,,
2012-04-01,,,,0.0,0.0,0.0,1278.0,21003.0,21003.0,,,
2012-05-01,,,,0.0,0.0,0.0,3981.0,63977.0,63977.0,,,
2012-06-01,,,,0.0,0.0,0.0,8479.0,132778.0,132778.0,,,
2012-07-01,,,,0.0,0.0,0.0,24509.0,376415.0,376415.0,,,
2012-08-01,,,,0.0,0.0,0.0,5468.0,84119.0,84119.0,,,
2012-09-01,,,,0.0,0.0,0.0,6855.0,107830.0,107830.0,,,
2012-10-01,,,,0.0,0.0,0.0,4870.0,75711.0,75711.0,,,
2012-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-12-01,,,,0.0,0.0,0.0,0.0,50.0,50.0,,,
2013-01-01,,,,0.0,0.0,0.0,713.0,12523.0,12523.0,,,
2013-02-01,,,,0.0,0.0,0.0,1729.0,21540.0,21540.0,,,
2013-03-01,,,,0.0,0.0,0.0,2777.0,41067.0,41067.0,,,
2013-04-01,,,,0.0,0.0,0.0,1933.0,29874.0,29874.0,,,
2013-05-01,,,,0.0,0.0,0.0,1259.0,21506.0,21506.0,,,
2013-06-01,,,,0.0,0.0,0.0,843.0,14142.0,14142.0,,,
