measured_on,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,1715.267,45312.0,45312.0
2001-02-01,1533.353,40506.0,40506.0
2001-03-01,1543.227,40767.0,40767.0
2001-04-01,1382.246,36515.0,36515.0
2001-05-01,1715.6360000000002,45322.0,45322.0
2001-06-01,1630.0810000000001,43062.0,43062.0
2001-07-01,1732.4060000000002,45765.0,45765.0
2001-08-01,2041.95,53942.0,53942.0
2001-09-01,1775.8120000000001,46911.0,46911.0
2001-10-01,1569.875,41471.0,41471.0
2001-11-01,1713.8970000000002,45276.0,45276.0
2001-12-01,1735.248,45840.0,45840.0
