measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-09-01,6275.837,93804.28,93804.28,32.691,488.06,488.06
2005-10-01,5415.99,80952.25,80952.25,25.374000000000002,378.83,378.83
2005-11-01,6030.685,90140.01,90140.01,22.64,338.01,338.01
2005-12-01,6748.33,100866.59,100866.59,25.831,385.65,385.65
2006-01-01,6669.419,88942.0,88942.0,19.727,263.0,263.0
2006-02-01,6163.557000000001,82195.0,82195.0,23.404,312.0,312.0
2006-03-01,6798.818,90667.0,90667.0,26.694000000000003,356.0,356.0
2006-04-01,5002.284000000001,66709.0,66709.0,29.858,399.0,399.0
2006-05-01,6115.719,81558.0,81558.0,34.583,462.0,462.0
2006-06-01,6406.456,85435.0,85435.0,44.069,588.0,588.0
2006-07-01,6648.838000000001,88667.0,88667.0,55.404,740.0,740.0
2006-08-01,6608.8550000000005,88134.0,88134.0,56.102000000000004,749.0,749.0
2006-09-01,6321.526000000001,84302.0,84302.0,38.172000000000004,510.0,510.0
2006-10-01,6559.679,87478.0,87478.0,34.562000000000005,461.0,461.0
2006-11-01,6625.193,88352.0,88352.0,25.667,343.0,343.0
2006-12-01,6383.655000000001,85131.0,85131.0,26.758000000000003,357.0,357.0
2007-01-01,6690.521000000001,111600.0,111600.0,25.479000000000003,425.0,425.0
2007-02-01,4971.197,86800.0,86800.0,26.803,468.0,468.0
2007-03-01,5188.356000000001,89404.0,89404.0,60.644000000000005,1045.0,1045.0
2007-04-01,7454.0,122413.0,122413.0,0.0,0.0,0.0
2007-05-01,6864.441000000001,114328.0,114328.0,27.559,459.0,459.0
2007-06-01,1862.945,33269.0,33269.0,21.055,376.0,376.0
2007-07-01,7132.0,117527.0,117527.0,0.0,0.0,0.0
2007-08-01,6939.0,115320.0,115320.0,0.0,0.0,0.0
2007-09-01,6705.0,111538.0,111538.0,0.0,0.0,0.0
2007-10-01,6500.0,108711.0,108711.0,0.0,0.0,0.0
2007-11-01,7216.795,119685.0,119685.0,13.205,219.0,219.0
2007-12-01,7464.0,123603.0,123603.0,0.0,0.0,0.0
2008-01-01,6852.0,111126.0,111126.0,0.0,0.0,0.0
2008-02-01,6661.406,110534.0,110534.0,7.594,126.0,126.0
2008-03-01,4982.042,86366.0,86366.0,28.958000000000002,502.0,502.0
2008-04-01,6093.0,102424.0,102424.0,0.0,0.0,0.0
2008-05-01,5327.941,91388.0,91388.0,13.059000000000001,224.0,224.0
