measured_on,"Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,,,,1340.844,0.0,0.0,,,,,,
2003-02-01,,,,1182.0130000000001,0.0,0.0,,,,,,
2003-03-01,,,,1173.881,0.0,0.0,,,,,,
2003-04-01,,,,1183.892,0.0,0.0,,,,,,
2003-05-01,,,,1408.6960000000001,0.0,0.0,,,,,,
2003-06-01,,,,1470.682,0.0,0.0,,,,,,
2003-07-01,,,,1604.441,0.0,0.0,,,,,,
2003-08-01,,,,1695.9270000000001,0.0,0.0,,,,,,
2003-09-01,,,,1392.333,0.0,0.0,,,,,,
2003-10-01,,,,1262.165,0.0,0.0,,,,,,
2003-11-01,,,,1195.098,0.0,0.0,,,,,,
2003-12-01,,,,1236.026,0.0,0.0,,,,,,
2004-01-01,,,,0.0,0.0,0.0,1846.3690000000001,0.0,0.0,,,
2004-02-01,,,,0.0,0.0,0.0,1825.3990000000001,0.0,0.0,,,
2004-03-01,,,,0.0,0.0,0.0,1832.548,0.0,0.0,,,
2004-04-01,,,,0.0,0.0,0.0,1159.5810000000001,0.0,0.0,,,
2004-05-01,,,,0.0,0.0,0.0,1118.593,0.0,0.0,,,
2004-06-01,,,,0.0,0.0,0.0,1825.3990000000001,0.0,0.0,,,
2004-07-01,,,,0.0,0.0,0.0,1001.8240000000001,0.0,0.0,,,
2004-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-09-01,,,,0.0,0.0,0.0,1152.9080000000001,0.0,0.0,,,
2004-10-01,,,,0.0,0.0,0.0,1550.874,0.0,0.0,,,
2004-11-01,,,,0.0,0.0,0.0,1756.767,0.0,0.0,,,
2004-12-01,,,,0.0,0.0,0.0,1777.738,0.0,0.0,,,
2005-01-01,,,,0.0,0.0,0.0,1073.188,10947.59,10947.59,,,
2005-02-01,,,,0.0,0.0,0.0,1076.1960000000001,10978.28,10978.28,,,
2005-03-01,,,,0.0,0.0,0.0,1311.468,13378.29,13378.29,,,
2005-04-01,,,,0.0,0.0,0.0,1192.0520000000001,12160.12,12160.12,,,
2005-05-01,,,,0.0,0.0,0.0,1260.847,12861.9,12861.9,,,
2005-06-01,,,,0.0,0.0,0.0,1207.704,12319.79,12319.79,,,
2005-07-01,,,,0.0,0.0,0.0,1428.941,14576.63,14576.63,,,
2005-08-01,,,,0.0,0.0,0.0,1380.393,14081.39,14081.39,,,
2005-09-01,,,,0.0,0.0,0.0,1195.594,12196.25,12196.25,,,
2005-10-01,,,,0.0,0.0,0.0,998.3040000000001,10183.7,10183.7,,,
