measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,19385.0,250681.0,1055520.0,,,,811.0,10488.0,44162.0,,,,2532.0,32738.0,137848.0,5643.0,72975.0,307270.0
2003-02-01,19003.0,272662.0,1055127.0,,,,630.0,9044.0,35001.0,,,,991.0,14213.0,54999.0,4967.0,71266.0,275781.0
2003-03-01,21701.0,349186.0,1257781.0,,,,98.0,1576.0,5678.0,,,,1028.0,16538.0,59573.0,5084.0,81814.0,294695.0
2003-04-01,21187.0,320310.0,1189173.0,,,,190.0,2868.0,10645.0,,,,1913.0,28915.0,107353.0,5011.0,75758.0,281255.0
2003-05-01,19246.0,232370.0,1083900.0,0.0,0.0,0.0,682.0,8232.0,38396.0,,,,1913.0,23095.0,107727.0,5220.0,63026.0,293991.0
2003-06-01,21816.0,336576.0,1236505.0,0.0,0.0,0.0,37.0,579.0,2124.0,,,,1052.0,16236.0,59648.0,5136.0,79235.0,291090.0
2003-07-01,20949.905,336607.0,1236505.0,0.0,0.0,0.0,35.531,579.0,2124.0,,,,1010.2360000000001,16238.0,59648.0,4933.061000000001,79256.0,291142.0
2003-08-01,25973.0,329997.0,1193160.0,0.0,0.0,0.0,1092.0,13877.0,50176.0,,,,4274.0,54298.0,196323.0,4157.0,52812.0,190952.0
2003-09-01,18922.712,319031.0,1127001.0,0.0,0.0,0.0,520.4830000000001,8770.0,30981.0,,,,1961.893,33077.0,116844.0,4691.066,79089.0,279389.0
2003-10-01,12890.107,163876.0,749945.0,0.0,0.0,0.0,570.418,7253.0,33190.0,,,,1491.346,18963.0,86780.0,4345.358,55244.0,252811.0
2003-11-01,19016.821,250862.0,1063568.0,0.0,0.0,0.0,497.435,6565.0,27835.0,,,,1588.336,20953.0,88833.0,5329.665,70308.0,298080.0
