measured_on,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2008-02-01,0.0,0.0,0.0
2008-03-01,14981.0,147622.77,147622.77
2008-04-01,14472.0,142607.09,142607.09
2008-05-01,14653.0,144390.66,144390.66
2008-06-01,12648.0,124633.39,124633.39
2008-07-01,11219.0,110552.03,110552.03
2008-08-01,12103.0,119262.96,119262.96
2008-09-01,13637.0,134379.0,134379.0
2008-10-01,15846.0,156146.48,156146.48
2008-11-01,16499.0,162581.15,162581.15
2008-12-01,17949.0,176869.45,176869.45
2009-01-01,17949.0,175182.24,175182.24
2009-02-01,15755.0,153768.8,153768.8
2009-03-01,17489.0,170692.64,170692.64
2009-04-01,16154.0,157663.04,157663.04
2009-05-01,12937.0,126265.12,126265.12
2009-06-01,14242.0,139001.92,139001.92
2009-07-01,12521.0,122204.96,122204.96
2009-08-01,13123.0,128080.48,128080.48
2009-09-01,13097.0,127826.72,127826.72
2009-10-01,16174.0,157858.24,157858.24
2009-11-01,16406.0,160122.56,160122.56
2009-12-01,17889.0,174596.64,174596.64
2010-01-01,17650.0,172193.0,172193.0
2010-02-01,15795.0,154096.0,154096.0
2010-03-01,17019.0,166037.0,166037.0
2010-04-01,14216.0,138691.0,138691.0
2010-05-01,15617.0,152359.0,152359.0
2010-06-01,13290.0,129657.0,129657.0
2010-07-01,12214.0,119160.0,119160.0
2010-08-01,12871.0,125569.0,125569.0
2010-09-01,12344.0,120428.0,120428.0
2010-10-01,14593.0,142369.0,142369.0
2010-11-01,16466.0,160642.0,160642.0
2010-12-01,16992.0,165774.0,165774.0
2011-01-01,17246.0,167562.0,167562.0
2011-02-01,15643.0,151987.0,151987.0
2011-03-01,16457.0,159896.0,159896.0
2011-04-01,13949.0,135528.0,135528.0
2011-05-01,15205.0,147732.0,147732.0
2011-06-01,13097.0,127250.0,127250.0
2011-07-01,11920.0,115815.0,115815.0
2011-08-01,11794.0,114591.0,114591.0
2011-09-01,11791.0,114561.0,114561.0
2011-10-01,14042.0,136432.0,136432.0
2011-11-01,15626.0,151822.0,151822.0
2011-12-01,16930.0,164492.0,164492.0
2012-01-01,15010.0,142835.0,142835.0
2012-02-01,14591.0,138848.0,138848.0
2012-03-01,15428.0,146813.0,146813.0
2012-04-01,13496.0,128428.0,128428.0
2012-05-01,13563.0,129066.0,129066.0
2012-06-01,11744.0,111756.0,111756.0
2012-07-01,10846.0,103211.0,103211.0
2012-08-01,9993.0,95093.0,95093.0
2012-09-01,11427.0,108739.0,108739.0
2012-10-01,13597.0,129389.0,129389.0
2012-11-01,13597.0,129389.0,129389.0
2012-12-01,15539.0,147869.0,147869.0
2013-01-01,16624.0,158610.0,158610.0
2013-02-01,14310.0,136532.0,136532.0
2013-03-01,14041.0,133965.0,133965.0
2013-04-01,13202.0,125960.0,125960.0
2013-05-01,12929.0,123356.0,123356.0
2013-06-01,10514.0,100314.0,100314.0
2013-07-01,9618.0,91765.0,91765.0
2013-08-01,10473.0,99923.0,99923.0
2013-09-01,8044.0,76748.0,76748.0
2013-10-01,13381.0,127668.0,127668.0
2013-11-01,12442.0,118709.0,118709.0
2013-12-01,15380.0,146741.0,146741.0
2014-01-01,14298.0,135974.0,135974.0
2014-02-01,12389.0,117819.0,117819.0
2014-03-01,11275.0,107225.0,107225.0
2014-04-01,10022.0,95309.0,95309.0
2014-05-01,9072.0,86275.0,86275.0
2014-06-01,9446.0,89831.0,89831.0
2014-07-01,9131.0,86836.0,86836.0
2014-08-01,10121.0,96251.0,96251.0
2014-09-01,10283.0,97791.0,97791.0
2014-10-01,11918.0,113340.0,113340.0
2014-11-01,13203.0,125561.0,125561.0
2014-12-01,14289.0,135888.0,135888.0
2015-01-01,14113.0,131519.0,131519.0
2015-02-01,11904.0,110933.0,110933.0
2015-03-01,12613.0,117541.0,117541.0
2015-04-01,11395.0,106190.0,106190.0
2015-05-01,12098.0,112741.0,112741.0
2015-06-01,9376.0,87375.0,87375.0
2015-07-01,7797.0,72660.0,72660.0
2015-08-01,6856.0,63891.0,63891.0
2015-09-01,8440.0,78652.0,78652.0
2015-10-01,11308.0,105379.0,105379.0
2015-11-01,14209.0,132414.0,132414.0
2015-12-01,14517.0,135284.0,135284.0
2016-01-01,14807.0,136698.0,136698.0
2016-02-01,13072.0,120681.0,120681.0
2016-03-01,13316.0,122933.0,122933.0
2016-04-01,12485.0,115262.0,115262.0
2016-05-01,12299.0,113544.0,113544.0
2016-06-01,9682.0,89384.0,89384.0
2016-07-01,9384.0,86633.0,86633.0
2016-08-01,9440.0,87150.0,87150.0
2016-09-01,10448.0,96456.0,96456.0
2016-10-01,12436.0,114809.0,114809.0
2016-11-01,13002.0,120034.0,120034.0
2016-12-01,14425.0,133172.0,133172.0
2017-01-01,12070.599,111206.0,111206.0
2017-02-01,10632.769,97960.0,97960.0
