measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,6246.0,117936.0,447143.0,4622.0,87274.0,330894.0
2003-02-01,5064.0,126157.0,372885.0,4835.0,120446.0,356002.0
2003-03-01,6634.0,106892.0,447624.0,4503.0,72559.0,303846.0
2003-04-01,5087.0,87113.0,342511.0,3651.0,62514.0,245791.0
2003-05-01,7190.0,72219.0,447670.0,3764.0,37810.0,234377.0
2003-06-01,7279.0,37830.0,433088.0,2823.0,14671.0,167943.0
2003-07-01,7147.0,44340.0,424922.0,2969.0,18417.0,176497.0
2003-08-01,6303.0,63640.0,452788.0,3009.0,30387.0,216194.0
2003-09-01,6447.0,58506.0,481171.0,2867.0,26016.0,213963.0
2003-10-01,7543.0,84454.0,465942.0,4185.0,46850.0,258480.0
2003-11-01,6300.0,90527.0,452650.0,3744.0,53795.0,268980.0
2003-12-01,6262.0,108348.0,495198.0,3967.0,68651.0,313765.0
2004-01-01,6142.47417,31391.74,510295.52,2904.51383,14843.81,241296.97
2004-02-01,5459.93227,27903.54,453592.3,2891.13173,14775.42,240185.23
2004-03-01,6347.59428,32440.02,527336.18,2805.01972,14335.34,233031.34
2004-04-01,6379.65814,32603.89,529999.82,2539.37986,12977.76,210962.85
2004-05-01,5251.37421,26837.68,436266.04,3237.37879,16544.95,268950.25
2004-06-01,6446.17695,32943.84,535526.04,4325.80905,22107.48,359373.22
2004-07-01,7039.67137,35976.95,584831.52,4757.73763,24314.9,395256.37
2004-08-01,6291.51503,32153.42,522677.26,5154.86897,26344.48,428248.65
2004-09-01,6702.58777,34254.25,556827.74,4452.22923,22753.57,369875.76
2004-10-01,7155.46285,36568.72,594451.06,4757.07915,24311.53,395201.65
2004-11-01,6439.38442,32909.13,534961.7,3039.88158,15535.62,252542.81
2004-12-01,6535.9606,33402.69,542984.96,3166.0144,16180.24,263021.51
2005-01-01,10344.773,52868.01,474236.45,0.0,0.0,0.0
