measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,111891.63,1303917.0,1303917.0
2003-02-01,,,,,,,32477.365,373889.0,373889.0
2003-03-01,,,,,,,0.0,0.0,0.0
2003-04-01,,,,,,,0.0,0.0,0.0
2003-05-01,,,,,,,0.0,0.0,0.0
2003-06-01,,,,,,,0.0,0.0,0.0
2003-07-01,,,,,,,0.0,0.0,0.0
2003-08-01,,,,,,,36780.0,510441.0,510441.0
2003-09-01,,,,,,,96207.0,1194905.0,1194905.0
2003-10-01,,,,,,,73602.0,845007.0,845007.0
2003-11-01,,,,,,,99075.0,1235805.0,1235805.0
2003-12-01,,,,,,,91582.0,1206730.0,1206730.0
2004-01-01,,,,,,,97781.405,1204305.34,1330258.36
2004-02-01,,,,,,,68096.65,838698.92,939018.63
2004-03-01,,,,,,,86984.493,1071327.3,1197047.46
2004-04-01,,,,,,,93813.253,1155432.38,1339727.0
2004-05-01,,,,,,,93364.274,1149902.63,1344152.32
2004-06-01,,,,,,,99766.412,1228753.29,1252078.34
2004-07-01,,,,,,,102706.198,1264960.58,1275789.96
2004-08-01,,,,,,,109203.347,1344981.44,1379892.8
2004-09-01,,,,,,,106210.467,1308120.22,1319793.0
2004-10-01,,,,,,,106052.113,1219826.77,1219826.77
2004-11-01,,,,,,,89727.734,1071905.25,1071905.25
2004-12-01,,,,,,,110431.984,1279410.59,1279410.59
2005-01-01,,,,,,,108297.938,1257334.5,1257334.5
2005-02-01,,,,,,,86203.903,967593.3,967593.3
2005-03-01,,,,,,,109418.522,1235526.6,1235526.6
2005-04-01,,,,,,,65360.86,781563.0,781563.0
2005-05-01,,,,,,,109272.278,1343512.0,1343512.0
2005-06-01,,,,,,,90510.186,1114750.81,1120623.1
2005-07-01,,,,,,,96384.168,1187096.55,1219740.08
2005-08-01,,,,,,,109374.742,1308343.41,1308343.41
2005-09-01,,,,,,,97320.317,1153476.45,1153476.45
2005-10-01,,,,,,,90056.55,1106142.0,1106142.0
2005-11-01,,,,,,,90284.765,1056879.36,1056879.36
2005-12-01,,,,,,,108800.012,1340013.83,1619114.31
2006-01-01,,,,,,,95645.496,1089911.2,1089911.2
2006-02-01,,,,,,,95536.511,1144729.5,1144729.5
2006-03-01,,,,,,,110814.827,1221681.77,1221681.77
2006-04-01,,,,,,,71187.337,876764.76,897846.88
2006-05-01,,,,,,,110579.16,1347316.32,1347316.32
2006-06-01,,,,,,,107106.561,1268187.39,1268187.39
2006-07-01,,,,,,,110377.026,1316488.42,1316488.42
2006-08-01,,,,,,,110266.179,1328928.48,1328928.48
2006-09-01,,,,,,,106790.786,1263086.46,1263086.46
2006-10-01,,,,,,,77719.883,883064.67,883064.67
2006-11-01,,,,,,,102705.266,1263418.68,1263418.68
2006-12-01,,,,,,,110753.348,1364071.72,1375191.0
2007-01-01,,,,,,,107084.205,1318880.0,1320143.0
2007-02-01,,,,,,,17666.658,160932.0,160932.0
2007-03-01,,,,,,,11711.636,125477.0,125477.0
2007-04-01,,,,,,,106398.628,1259980.0,1259980.0
2007-05-01,,,,,,,91474.279,1126637.0,1136824.0
2007-06-01,,,,,,,104080.147,1251933.0,1251933.0
2007-07-01,,,,,,,76314.263,903896.0,903896.0
2007-08-01,,,,,,,99440.39,1213338.0,1213338.0
2007-09-01,,,,,,,88289.511,1087406.0,1148398.0
