measured_on,"Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Generation Unit 3","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Quantity Consumed For Electricity Unit 3","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Total Fuel Consumed Unit 3"
2003-01-01,705739.0,7354506.12,7354506.12
2003-02-01,670836.0,6990781.96,6990781.96
2003-03-01,667359.0,6954548.14,6954548.14
2003-04-01,37423.0,389985.08,389985.08
2003-05-01,739305.0,7704297.41,7704297.41
2003-06-01,590654.0,6155205.33,6155205.33
2003-07-01,736696.0,7677109.02,7677109.02
2003-08-01,544635.0,5675641.34,5675641.34
2003-09-01,713908.0,7439635.27,7439635.27
2003-10-01,741643.0,7728661.7,7728661.7
2003-11-01,718168.0,7484028.73,7484028.73
2003-12-01,741314.0,7725233.19,7725233.19
2004-01-01,742700.0,7744132.9,7744132.9
2004-02-01,695310.0,7249997.37,7249997.37
2004-03-01,744691.0,7764893.0600000005,7764893.0600000005
2004-04-01,719226.0,7499369.5,7499369.5
2004-05-01,742272.0,7739670.14,7739670.14
2004-06-01,715215.0,7457546.81,7457546.81
2004-07-01,734982.0,7663657.3100000005,7663657.3100000005
2004-08-01,735080.0,7664679.16,7664679.16
2004-09-01,714662.0,7451780.67,7451780.67
2004-10-01,741544.0,7732079.29,7732079.29
2004-11-01,718346.0,7490193.74,7490193.74
2004-12-01,743205.0,7749398.54,7749398.54
2005-01-01,743112.0,7754373.72,7754373.72
2005-02-01,671344.0,7005474.64,7005474.64
2005-03-01,258103.0,2693304.81,2693304.81
2005-04-01,541122.0,5646608.07,5646608.07
2005-05-01,730539.0,7623174.47,7623174.47
2005-06-01,707727.0,7385131.25,7385131.25
2005-07-01,759417.0,7924516.4,7924516.4
2005-08-01,754862.0,7876984.97,7876984.97
2005-09-01,721032.0,7523968.92,7523968.92
2005-10-01,638068.0,6658239.58,6658239.58
2005-11-01,744480.0,7768648.8,7768648.8
2005-12-01,767704.0,8010991.24,8010991.24
2006-01-01,770556.0,8039981.0,8039981.0
2006-02-01,697382.0,7276484.0,7276484.0
2006-03-01,771128.0,8045950.0,8045950.0
2006-04-01,745131.0,7774697.0,7774697.0
2006-05-01,769706.0,8031112.0,8031112.0
2006-06-01,742430.0,7746515.0,7746515.0
2006-07-01,693461.0,7235572.0,7235572.0
2006-08-01,757758.0,7906447.0,7906447.0
2006-09-01,741231.0,7734004.0,7734004.0
2006-10-01,769181.0,8025635.0,8025635.0
2006-11-01,745787.0,7781542.0,7781542.0
2006-12-01,770739.0,8041891.0,8041891.0
2007-01-01,770640.0,8080160.0,8080160.0
2007-02-01,695899.0,7296501.0,7296501.0
2007-03-01,149191.0,1564268.0,1564268.0
2007-04-01,89214.0,935409.0,935409.0
2007-05-01,736641.0,7723681.0,7723681.0
2007-06-01,751112.0,7875409.0,7875409.0
2007-07-01,772474.0,8099390.0,8099390.0
2007-08-01,770123.0,8074740.0,8074740.0
2007-09-01,748811.0,7851283.0,7851283.0
2007-10-01,776950.0,8146321.0,8146321.0
2007-11-01,755930.0,7925926.0,7925926.0
2007-12-01,780326.0,8181718.0,8181718.0
2008-01-01,779280.0,8173089.0,8173089.0
2008-02-01,729875.0,7654929.0,7654929.0
2008-03-01,779280.0,8173089.0,8173089.0
2008-04-01,755097.0,7919457.0,7919457.0
2008-05-01,779142.0,8171641.0,8171641.0
2008-06-01,751116.0,7877705.0,7877705.0
2008-07-01,769752.0,8073159.0,8073159.0
2008-08-01,770458.0,8080564.0,8080564.0
2008-09-01,749070.0,7856246.0,7856246.0
2008-10-01,777770.0,8157252.0,8157252.0
2008-11-01,755864.0,7927502.0,7927502.0
2008-12-01,778972.0,8169858.0,8169858.0
2009-01-01,778666.0,8166649.0,8166649.0
2009-02-01,703950.0,7383028.0,7383028.0
2009-03-01,248425.0,2605481.0,2605481.0
2009-04-01,356378.0,3737692.0,3737692.0
2009-05-01,669673.0,7023530.0,7023530.0
2009-06-01,427728.0,4486011.0,4486011.0
2009-07-01,776227.0,8141069.0,8141069.0
2009-08-01,676596.0,7096139.0,7096139.0
2009-09-01,751640.0,7883200.0,7883200.0
2009-10-01,779477.0,8175155.0,8175155.0
2009-11-01,755968.0,7928592.0,7928592.0
2009-12-01,778970.0,8169837.0,8169837.0
2010-01-01,779248.0,8150155.0,8150155.0
2010-02-01,703518.0,7358095.0,7358095.0
2010-03-01,778651.0,8143911.0,8143911.0
2010-04-01,754218.0,7888366.0,7888366.0
2010-05-01,778262.0,8139842.0,8139842.0
2010-06-01,748057.0,7823928.0,7823928.0
2010-07-01,766910.0,8021112.0,8021112.0
2010-08-01,767961.0,8032104.0,8032104.0
2010-09-01,609027.0,6369813.0,6369813.0
2010-10-01,776717.0,8123683.0,8123683.0
2010-11-01,754142.0,7887571.0,7887571.0
2010-12-01,778002.0,8137123.0,8137123.0
2011-01-01,777933.0,8140291.0,8140291.0
2011-02-01,595457.0,6230862.0,6230862.0
2011-03-01,197587.0,2067550.0,2067550.0
2011-04-01,523727.0,5480279.0,5480279.0
2011-05-01,779974.0,8161648.0,8161648.0
2011-06-01,750531.0,7853556.0,7853556.0
2011-07-01,770959.0,8067315.0,8067315.0
2011-08-01,767493.0,8031047.0,8031047.0
2011-09-01,752429.0,7873417.0,7873417.0
2011-10-01,778619.0,8147469.0,8147469.0
2011-11-01,755251.0,7902946.0,7902946.0
2011-12-01,778806.0,8149426.0,8149426.0
2012-01-01,778877.0,8161535.0,8161535.0
2012-02-01,706306.0,7401093.0,7401093.0
2012-03-01,777772.0,8149956.0,8149956.0
2012-04-01,725790.0,7605258.0,7605258.0
2012-05-01,778969.0,8162499.0,8162499.0
2012-06-01,746742.0,7824806.0,7824806.0
2012-07-01,758952.0,7952749.0,7952749.0
2012-08-01,761490.0,7979344.0,7979344.0
2012-09-01,743634.0,7792238.0,7792238.0
2012-10-01,726589.0,7613630.0,7613630.0
2012-11-01,720271.0,7547427.0,7547427.0
2012-12-01,776665.0,8138357.0,8138357.0
2013-01-01,777730.0,8126298.0,8126298.0
2013-02-01,702978.0,7345234.0,7345234.0
2013-03-01,74691.0,780427.0,780427.0
2013-04-01,694294.0,7254497.0,7254497.0
2013-05-01,778542.0,8134782.0,8134782.0
2013-06-01,751562.0,7852875.0,7852875.0
2013-07-01,696005.0,7272375.0,7272375.0
2013-08-01,753982.0,7878161.0,7878161.0
2013-09-01,750041.0,7836983.0,7836983.0
2013-10-01,778451.0,8133831.0,8133831.0
2013-11-01,754961.0,7888390.0,7888390.0
2013-12-01,778275.0,8131992.0,8131992.0
2014-01-01,712657.0,7453759.0,7453759.0
2014-02-01,701742.0,7339597.0,7339597.0
