measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,106543.83,1167076.0,1167076.0,54363.65,0.0,0.0
2003-02-01,77288.0,835037.0,835037.0,40498.0,0.0,0.0
2003-03-01,103959.0,1124062.0,1124062.0,55957.0,0.0,0.0
2003-04-01,95917.0,1061572.0,1061572.0,53898.0,0.0,0.0
2003-05-01,95863.0,1067430.0,1067430.0,54683.0,0.0,0.0
2003-06-01,91984.0,1037421.0,1037421.0,53176.0,0.0,0.0
2003-07-01,94484.0,1081577.0,1081577.0,54927.0,0.0,0.0
2003-08-01,86142.0,1021502.0,1021502.0,51844.0,0.0,0.0
2003-09-01,83261.0,950012.0,950012.0,47132.0,0.0,0.0
2003-10-01,34100.0,382166.0,382166.0,19566.0,0.0,0.0
2003-11-01,96401.0,1063180.0,1063180.0,52135.0,0.0,0.0
2003-12-01,98526.0,1086264.0,1086264.0,54542.0,0.0,0.0
2004-01-01,92048.0,1012946.0,1012946.0,49466.0,0.0,0.0
2004-02-01,96046.0,1050588.0,1050588.0,52345.0,0.0,0.0
2004-03-01,101431.0,1117828.0,1117828.0,56337.0,0.0,0.0
2004-04-01,95779.0,1063547.0,1063547.0,54942.0,0.0,0.0
2004-05-01,83551.0,950855.0,950855.0,49369.0,0.0,0.0
2004-06-01,94413.0,1060679.0,1060679.0,56424.0,0.0,0.0
2004-07-01,100615.0,1116273.0,1116273.0,57321.0,0.0,0.0
2004-08-01,103569.0,1149747.0,1149747.0,58443.0,0.0,0.0
2004-09-01,102728.0,1132232.0,1132232.0,57396.0,0.0,0.0
2004-10-01,90151.0,986182.0,986182.0,50199.0,0.0,0.0
2004-11-01,107908.0,1151828.0,1151828.0,57747.0,0.0,0.0
2004-12-01,106208.0,1146696.0,1146696.0,56999.0,0.0,0.0
2005-01-01,112687.0,1201103.6,1201103.6,59064.0,0.0,0.0
2005-02-01,104325.0,1108399.48,1108399.48,54738.0,0.0,0.0
2005-03-01,68522.0,735405.5,735405.5,36063.0,0.0,0.0
2005-04-01,109466.0,1164486.1,1164486.1,59021.0,0.0,0.0
2005-05-01,97069.0,1072563.9,1072563.9,54856.0,0.0,0.0
2005-06-01,92713.0,1059687.03,1059687.03,54226.0,0.0,0.0
2005-07-01,91709.0,1047182.99,1047182.99,53015.0,0.0,0.0
2005-08-01,101680.0,1134993.34,1134993.34,56799.0,0.0,0.0
2005-09-01,95307.0,1069598.4,1069598.4,54546.0,0.0,0.0
2005-10-01,101080.0,1120591.29,1120591.29,57450.0,0.0,0.0
2005-11-01,62156.0,698347.08,698347.08,35850.0,0.0,0.0
