measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,21.41033,96.43,1076.29,3801.23867,17120.27,191087.63
2004-02-01,11.96866,53.91,601.45,2649.31234,11932.14,133134.18
2004-03-01,2.36308,10.64,118.62,2630.50892,11847.45,132039.56
2004-04-01,10.822429999999999,48.74,545.07,923.98957,4161.53,46536.4
2004-05-01,1.3037299999999998,5.87,65.44,1317.53927,5934.02,66136.39
2004-06-01,8.78477,39.57,441.74,1331.56023,5997.17,66957.41
2004-07-01,22.270519999999998,100.3,1121.64,1902.53448,8568.76,95820.17
2004-08-01,4.32198,19.47,217.08,1518.16102,6837.6,76251.36
2004-09-01,1.4257199999999999,6.42,71.57,1107.13028,4986.36,55579.67
2004-10-01,19.69734,88.71,996.06,789.46766,3555.66,39922.03
2004-11-01,11.93947,53.77,600.54,1601.59553,7213.37,80557.53
2004-12-01,19.44775,87.59,978.49,2306.32625,10387.38,116039.51
2005-01-01,175.34542,789.73,8430.95,2472.87058,11137.47,118900.45
2005-02-01,154.97492,697.99,7474.26,1006.52608,4533.26,48543.57
2005-03-01,185.06669,833.52,8919.21,1386.11831,6242.89,66803.39
2005-04-01,189.10223,851.69,9144.38,797.62377,3592.39,38570.52
2005-05-01,152.51734,686.92,7418.28,325.67866,1466.81,15840.67
2005-06-01,261.79051,1179.07,12620.69,1842.15049,8296.8,88808.42
2005-07-01,337.25895,1518.97,16263.53,2244.78305,10110.2,108249.44
2005-08-01,360.75283,1624.78,17388.15,2643.13517,11904.33,127398.1
2005-09-01,238.81967,1075.61,11502.42,2065.57033,9303.05,99485.37
2005-10-01,165.33136000000002,744.63,7954.53,1894.36564,8531.97,91142.91
2005-11-01,147.96835,666.43,7140.08,872.75165,3930.76,42113.86
2005-12-01,160.50158,722.88,7714.39,2602.44542,11721.06,125084.66
2006-01-01,875.20491,3941.8,42327.73,1105.08009,4977.13,53445.24
2006-02-01,876.7513,3948.77,42204.36,1023.2687000000001,4608.66,49257.3
2006-03-01,964.44309,4343.72,46042.68,979.5219099999999,4411.64,46762.55
2006-04-01,815.26836,3671.86,38711.03,755.78464,3403.95,35886.59
2006-05-01,793.91353,3575.68,37552.38,689.4334699999999,3105.12,32610.44
2006-06-01,1031.71002,4646.68,48036.73,680.21998,3063.62,31671.25
2006-07-01,1564.0755000000001,7044.39,71938.03,821.1265000000001,3698.24,37766.86
2006-08-01,1479.77876,6664.72,67727.74,705.33524,3176.74,32282.37
2006-09-01,1028.06507,4630.27,48039.29,722.71293,3255.0,33770.83
2006-10-01,1156.91501,5210.59,53575.63,691.04299,3112.36,32001.54
2006-11-01,975.40768,4393.1,46082.2,830.00332,3738.22,39212.71
2006-12-01,934.0513100000001,4206.84,45028.84,1117.40669,5032.65,53868.06
2007-01-01,714.4590000000001,3218.0,3816.0,1325.0890000000002,5966.0,7075.0
2007-02-01,633.022,2851.0,3381.0,1722.519,7757.0,9198.0
2007-03-01,893.527,4024.0,4772.0,916.931,4130.0,4895.0
2007-04-01,1135.672,5114.0,6064.0,543.722,2448.0,2907.0
2007-05-01,928.8340000000001,4183.0,4960.0,424.721,1912.0,2269.0
2007-06-01,1072.347,4830.0,5727.0,677.3810000000001,3053.0,3620.0
2007-07-01,1361.1080000000002,6130.0,7268.0,573.888,2588.0,3066.0
2007-08-01,1435.352,6465.0,7665.0,689.378,3104.0,3684.0
2007-09-01,1155.06,5202.0,6168.0,533.424,2403.0,2849.0
2007-10-01,1134.8980000000001,5111.0,6060.0,412.701,1861.0,2205.0
2007-11-01,1057.962,4765.0,5649.0,409.062,1842.0,2186.0
2007-12-01,969.44,4366.0,5177.0,765.0060000000001,3448.0,4086.0
2008-01-01,754.13,4904.0,50058.0,133.999,871.0,8894.0
2008-02-01,749.153,4871.0,49725.0,112.09,729.0,7438.0
2008-03-01,837.725,5447.0,55604.0,96.17800000000001,625.0,6381.0
2008-04-01,1060.863,6898.0,70415.0,52.331,340.0,3475.0
2008-05-01,835.7520000000001,5434.0,55473.0,48.227000000000004,314.0,3200.0
2008-06-01,1187.64,7722.0,78830.0,109.464,712.0,7269.0
2008-07-01,1569.816,10207.0,104197.0,100.34400000000001,652.0,6663.0
2008-08-01,1162.145,7557.0,77138.0,83.143,541.0,5519.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0
