measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2021-09-01,2.75,41.0,41.0
2021-10-01,2.327,34.0,34.0
2021-11-01,1.914,28.0,28.0
2021-12-01,2.009,30.0,30.0
2022-01-01,25.605,367.0,367.0
2022-02-01,22.794,326.0,326.0
2022-03-01,18.151,260.0,260.0
2022-04-01,18.921,271.0,271.0
2022-05-01,27.952,401.0,401.0
2022-06-01,34.026,488.0,488.0
2022-07-01,40.095,575.0,575.0
2022-08-01,40.304,578.0,578.0
2022-09-01,33.974,487.0,487.0
2022-10-01,26.257,377.0,377.0
2022-11-01,24.61,353.0,353.0
2022-12-01,27.311,391.0,391.0
2023-01-01,22.716,324.0,324.0
2023-02-01,21.425,307.0,307.0
2023-03-01,21.144,302.0,302.0
2023-04-01,20.421,293.0,293.0
2023-05-01,29.155,418.0,418.0
2023-06-01,33.679,482.0,482.0
2023-07-01,36.935,529.0,529.0
2023-08-01,40.654,582.0,582.0
2023-09-01,34.248,491.0,491.0
2023-10-01,25.28,362.0,362.0
2023-11-01,23.438,336.0,336.0
2023-12-01,24.905,356.0,356.0
2024-01-01,22.378,325.0,325.0
2024-02-01,15.45,224.0,224.0
2024-03-01,17.533,254.0,254.0
2024-04-01,16.473,239.0,239.0
2024-05-01,22.01,319.0,319.0
2024-06-01,24.831,360.0,360.0
2024-07-01,26.84,389.0,389.0
2024-08-01,30.328,439.0,439.0
2024-09-01,25.164,365.0,365.0
2024-10-01,21.797,316.0,316.0
2024-11-01,17.463,253.0,253.0
2024-12-01,18.733,271.0,271.0
