measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2013-12-01,7.0,73.0,73.0
2014-01-01,434.297,4261.0,4261.0
2014-02-01,293.904,2884.0,2884.0
2014-03-01,344.06,3376.0,3376.0
2014-04-01,403.774,3961.0,3961.0
2014-05-01,354.268,3476.0,3476.0
2014-06-01,394.015,3866.0,3866.0
2014-07-01,407.386,3997.0,3997.0
2014-08-01,358.846,3521.0,3521.0
2014-09-01,335.875,3295.0,3295.0
2014-10-01,318.452,3124.0,3124.0
2014-11-01,381.425,3742.0,3742.0
2014-12-01,389.698,3823.0,3823.0
2015-01-01,607.569,5971.0,5971.0
2015-02-01,628.428,6176.0,6176.0
2015-03-01,576.94,5670.0,5670.0
2015-04-01,607.626,5972.0,5972.0
2015-05-01,569.436,5596.0,5596.0
2015-06-01,731.142,7185.0,7185.0
2015-07-01,768.09,7548.0,7548.0
2015-08-01,779.969,7665.0,7665.0
2015-09-01,641.254,6302.0,6302.0
2015-10-01,707.168,6950.0,6950.0
2015-11-01,763.466,7503.0,7503.0
2015-12-01,744.912,7321.0,7321.0
2016-01-01,1183.602,11663.0,11663.0
2016-02-01,1157.223,11403.0,11403.0
2016-03-01,1299.92,12809.0,12809.0
2016-04-01,1200.891,11833.0,11833.0
2016-05-01,1017.602,10027.0,10027.0
2016-06-01,994.392,9798.0,9798.0
2016-07-01,1154.064,11372.0,11372.0
2016-08-01,1454.181,14329.0,14329.0
2016-09-01,1391.662,13713.0,13713.0
2016-10-01,1278.194,12595.0,12595.0
2016-11-01,1267.804,12493.0,12493.0
2016-12-01,1246.465,12282.0,12282.0
2017-01-01,1002.172,10413.0,10414.0
2017-02-01,951.402,9885.0,9887.0
2017-03-01,1030.007,10702.0,10703.0
2017-04-01,1041.441,10821.0,10822.0
2017-05-01,984.732,10232.0,10233.0
2017-06-01,1195.844,12425.0,12426.0
2017-07-01,1067.456,11091.0,11093.0
