measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,57182.0,654119.0,654119.0,,,,11.0,116.0,116.0
2003-02-01,54701.0,623750.0,623750.0,,,,24.0,273.0,273.0
2003-03-01,52979.0,606456.0,606456.0,,,,7.0,81.0,81.0
2003-04-01,33308.0,381247.0,381247.0,,,,3.0,29.0,29.0
2003-05-01,42298.0,483289.0,483289.0,,,,29.0,325.0,325.0
2003-06-01,46993.0,540346.0,540346.0,,,,28.0,290.0,290.0
2003-07-01,52864.0,616011.0,616011.0,,,,24.0,273.0,273.0
2003-08-01,53218.0,619251.0,619251.0,,,,33.0,377.0,377.0
2003-09-01,45981.0,600634.0,600634.0,,,,17.0,226.0,226.0
2003-10-01,31744.0,361846.0,361846.0,,,,53.0,597.0,597.0
2003-11-01,46105.0,533101.0,533101.0,,,,20.0,226.0,226.0
2003-12-01,49786.0,576340.0,576340.0,,,,61.0,702.0,702.0
2004-01-01,46296.788,538898.0,538898.0,,,,129.06900000000002,1637.0,1637.0
2004-02-01,42061.632,489600.0,489600.0,,,,36.072,458.0,458.0
2004-03-01,42758.591,497713.0,497713.0,,,,14.816,188.0,188.0
2004-04-01,38261.099,445362.0,445362.0,,,,20.218,256.0,256.0
2004-05-01,41000.368,477247.0,477247.0,,,,34.122,433.0,433.0
2004-06-01,42498.227,494682.0,494682.0,,,,52.719,669.0,669.0
2004-07-01,42419.233,493763.0,493763.0,,,,60.203,764.0,764.0
2004-08-01,42266.84,491989.0,491989.0,,,,53.59,680.0,680.0
2004-09-01,41184.329,479389.0,479389.0,,,,21.85,277.0,277.0
2004-10-01,41383.549,481707.0,481707.0,,,,9.622,122.0,122.0
2004-11-01,40022.079,465860.0,465860.0,,,,35.79,454.0,454.0
2004-12-01,45763.265,532688.0,532688.0,,,,41.928000000000004,532.0,532.0
2005-01-01,48327.268,566339.29,566339.29,,,,,,
2005-02-01,42076.912,493092.38,493092.38,,,,,,
2005-03-01,43654.68,511582.01,511582.01,,,,,,
2005-04-01,38904.908,455920.2,455920.2,,,,,,
2005-05-01,42709.766,500508.7,500508.7,,,,,,
2005-06-01,47569.823000000004,557462.9,557462.9,,,,,,
2005-07-01,50286.336,589297.28,589297.28,,,,,,
2005-08-01,50845.82,595853.78,595853.78,,,,,,
2005-09-01,46595.955,546050.32,546050.32,,,,,,
2005-10-01,44001.153,515642.24,515642.24,,,,,,
2005-11-01,42899.085,502727.29,502727.29,,,,,,
2005-12-01,47909.294,561441.11,561441.11,,,,,,
2006-01-01,33837.007,408423.0,408423.0,,,,,,
2006-02-01,32226.036,388978.0,388978.0,,,,,,
