measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,220950.0,2481975.0,2481975.0,866.0,9723.0,9723.0
2003-02-01,163938.69,1933428.0,1933428.0,356.761,4212.0,4212.0
2003-03-01,165402.0,1884905.0,1884905.0,699.0,7968.0,7968.0
2003-04-01,178611.0,1995007.0,1995007.0,333.0,3721.0,3721.0
2003-05-01,94555.0,1127970.0,1127970.0,452.0,5394.0,5394.0
2003-06-01,103846.0,1243358.0,1243358.0,494.0,5920.0,5920.0
2003-07-01,168426.0,1980462.0,1980462.0,505.0,5938.0,5938.0
2003-08-01,181270.0,2131666.0,2131666.0,698.0,8208.0,8208.0
2003-09-01,167442.0,2003619.0,2003619.0,377.0,4510.0,4510.0
2003-10-01,69852.0,832835.0,832835.0,608.0,7248.0,7248.0
2003-11-01,179363.0,2044250.0,2044250.0,933.0,10629.0,10629.0
2003-12-01,243759.0,2755144.0,2755144.0,288.0,3258.0,3258.0
2004-01-01,194516.0,2230524.0,2230524.0,347.0,3984.0,3984.0
2004-02-01,184500.0,2153656.0,2153656.0,725.0,8465.0,8465.0
2004-03-01,266331.0,2891034.0,2891034.0,251.0,2726.0,2726.0
2004-04-01,217483.0,2468721.0,2468721.0,461.0,5236.0,5236.0
2004-05-01,199811.0,2354103.0,2354103.0,517.0,6113.0,6113.0
2004-06-01,140701.0,1621267.0,1621267.0,638.0,7348.0,7348.0
2004-07-01,148641.0,1694511.0,1694511.0,384.0,4382.0,4382.0
2004-08-01,72505.0,924247.0,924247.0,870.0,11086.0,11086.0
2004-09-01,63834.0,861055.0,861055.0,1039.0,14017.0,14017.0
2004-10-01,140155.0,1637102.0,1637102.0,621.0,7254.0,7254.0
2004-11-01,135233.0,1571156.0,1571156.0,1316.0,15286.0,15286.0
2004-12-01,115598.0,1405259.0,1405259.0,1184.0,14391.0,14391.0
2005-01-01,56425.0,704366.78,704366.78,1180.0,14730.3,14730.3
2005-02-01,29597.0,390120.76,390120.76,683.0,8997.3,8997.3
2005-03-01,59023.0,730700.8,730700.8,598.0,7400.25,7400.25
2005-04-01,41193.0,531842.96,531842.96,367.0,4744.35,4744.35
2005-05-01,80478.0,942837.34,942837.34,1014.0,11928.15,11928.15
2005-06-01,160679.0,1854897.88,1854897.88,979.0,11354.85,11354.85
2005-07-01,216186.0,2499498.1,2499498.1,672.0,7798.05,7798.05
2005-08-01,218272.0,2520967.4,2520967.4,609.0,7031.7,7031.7
2005-09-01,151826.0,1898084.68,1898084.68,625.0,7809.75,7809.75
2005-10-01,183452.0,2114490.26,2114490.26,758.0,8739.9,8739.9
2005-11-01,182474.0,2154078.16,2154078.16,708.0,8359.65,8359.65
2005-12-01,203462.0,2219329.94,2219329.94,1053.0,11483.55,11483.55
2006-01-01,226466.0,2688728.0,2688728.0,683.0,8108.0,8108.0
2006-02-01,217773.0,2254497.0,2254497.0,777.0,8045.0,8045.0
2006-03-01,218323.0,2477874.0,2477874.0,0.0,5232.0,5232.0
2006-04-01,26244.0,364492.0,364492.0,319.0,4437.0,4437.0
2006-05-01,150530.0,1764601.0,1764601.0,1511.0,17707.0,17707.0
2006-06-01,170107.0,2142758.0,2142758.0,1364.0,17180.0,17180.0
2006-07-01,223558.0,2640067.0,2640067.0,856.0,10109.0,10109.0
2006-08-01,198623.0,2461248.0,2461248.0,532.0,6589.0,6589.0
2006-09-01,101879.0,1242956.0,1242956.0,732.0,8934.0,8934.0
2006-10-01,191323.0,2287907.0,2287907.0,1104.0,13202.0,13202.0
2006-11-01,204565.0,2422372.0,2422372.0,1076.0,12747.0,12747.0
2006-12-01,213155.0,2491410.0,2491410.0,394.0,4606.0,4606.0
2007-01-01,190921.629,2117943.0,2117943.0,1308.37,14514.0,14514.0
2007-02-01,213080.814,2396481.0,2396481.0,263.18600000000004,2960.0,2960.0
2007-03-01,203312.256,2454525.0,2454525.0,867.744,10476.0,10476.0
2007-04-01,185121.705,2182728.0,2182728.0,749.295,8835.0,8835.0
2007-05-01,168114.985,2006721.0,2006721.0,917.015,10946.0,10946.0
2007-06-01,113310.648,1422346.0,1422346.0,1027.351,12896.0,12896.0
2007-07-01,178073.002,2112665.0,2112665.0,880.998,10452.0,10452.0
2007-08-01,165800.089,2095643.0,2095643.0,1476.911,18668.0,18668.0
2007-09-01,141341.929,1775638.0,1775638.0,1207.0720000000001,15164.0,15164.0
2007-10-01,178317.339,2158338.0,2158338.0,720.6610000000001,8723.0,8723.0
2007-11-01,75191.633,831090.0,831090.0,854.366,9443.0,9443.0
2007-12-01,166132.167,1944349.0,1944349.0,1373.833,16079.0,16079.0
2008-01-01,176926.557,2067667.0,2067667.0,822.443,9612.0,9612.0
2008-02-01,191774.73,2211600.0,2211600.0,1082.27,12481.0,12481.0
2008-03-01,202917.028,2391106.0,2391106.0,1208.972,14246.0,14246.0
2008-04-01,161559.80000000002,1922074.0,1922074.0,489.2,5820.0,5820.0
2008-05-01,3798.925,93837.0,93837.0,49.075,1212.0,1212.0
2008-06-01,138728.78,1625353.0,1625353.0,1062.22,12445.0,12445.0
2008-07-01,91301.811,1060755.0,1060755.0,1164.189,13526.0,13526.0
2008-08-01,26004.321,349550.0,349550.0,191.679,2577.0,2577.0
2008-09-01,6246.314,78702.0,78702.0,230.686,2907.0,2907.0
2008-10-01,-841.0,0.0,0.0,-841.0,0.0,0.0
2008-11-01,35857.962,443183.0,443183.0,876.038,10827.0,10827.0
2008-12-01,99654.561,1183359.0,1183359.0,1358.439,16131.0,16131.0
2009-01-01,36988.586,485200.0,485200.0,943.4140000000001,12375.0,12375.0
2009-02-01,37746.852,441037.0,441037.0,885.148,10342.0,10342.0
2009-03-01,-1086.0,0.0,0.0,-1086.0,0.0,0.0
2009-04-01,20001.788,223593.0,223593.0,179.21200000000002,2003.0,2003.0
2009-05-01,95740.325,1053877.0,1053877.0,915.675,10079.0,10079.0
2009-06-01,51753.394,629001.0,629001.0,1105.606,13437.0,13437.0
2009-07-01,3371.492,60585.0,60585.0,112.50800000000001,2022.0,2022.0
2009-08-01,21091.898,267112.0,267112.0,557.102,7055.0,7055.0
2009-09-01,3487.42,76760.0,76760.0,173.58,3821.0,3821.0
2009-10-01,-299.776,22305.0,22305.0,-46.224000000000004,3439.0,3439.0
2009-11-01,30166.908,362395.0,362395.0,335.09200000000004,4025.0,4025.0
2009-12-01,45133.026,606112.0,606112.0,1775.9740000000002,23850.0,23850.0
2010-01-01,78223.738,953765.0,953765.0,2050.262,24998.0,24998.0
2010-02-01,39419.66,551248.0,551248.0,2399.34,33553.0,33553.0
2010-03-01,17933.947,270716.0,270716.0,559.053,8439.0,8439.0
2010-04-01,33816.254,464632.0,464632.0,898.7460000000001,12349.0,12349.0
2010-05-01,37849.227,524749.0,524749.0,935.773,12974.0,12974.0
2010-06-01,68074.117,896320.0,896320.0,1567.883,20644.0,20644.0
2010-07-01,111331.903,1482084.0,1482084.0,968.0970000000001,12888.0,12888.0
2010-08-01,36113.127,517587.0,517587.0,957.873,13729.0,13729.0
2010-09-01,29227.296000000002,424449.0,424449.0,840.7040000000001,12209.0,12209.0
2010-10-01,-1426.601,0.0,0.0,-30.399,0.0,0.0
2010-11-01,7596.406,120963.0,120963.0,176.59400000000002,2812.0,2812.0
2010-12-01,52522.249,794509.0,794509.0,1004.7510000000001,15199.0,15199.0
2011-01-01,-1613.047,9541.0,9541.0,-390.953,2312.0,2312.0
2011-02-01,-1572.506,0.0,0.0,-38.494,0.0,0.0
2011-03-01,37644.437,433774.0,433774.0,1204.563,13880.0,13880.0
2011-04-01,1353.449,34748.0,34748.0,6.551,168.0,168.0
2011-05-01,3938.925,90614.0,90614.0,395.075,9089.0,9089.0
2011-06-01,23782.825,333581.0,333581.0,709.175,9947.0,9947.0
2011-07-01,45431.95,540333.0,540333.0,1143.05,13595.0,13595.0
2011-08-01,26608.666,339759.0,339759.0,766.334,9785.0,9785.0
2011-09-01,920.169,28334.0,28334.0,115.831,3567.0,3567.0
2011-10-01,2394.552,44264.0,44264.0,125.448,2319.0,2319.0
2011-11-01,12277.225,198296.0,198296.0,1301.775,21026.0,21026.0
2011-12-01,-1883.884,0.0,0.0,-46.116,0.0,0.0
2012-01-01,-325.04,28325.0,28325.0,-46.96,4092.0,4092.0
2012-02-01,17037.437,157252.0,157252.0,405.563,3743.0,3743.0
2012-03-01,-1204.006,0.0,0.0,-46.994,0.0,0.0
2012-04-01,8211.489,167168.0,167168.0,512.511,10434.0,10434.0
2012-05-01,20030.937,342115.0,342115.0,661.063,11291.0,11291.0
2012-06-01,9553.578,140317.0,140317.0,298.422,4383.0,4383.0
2012-07-01,20979.136,277364.0,277364.0,360.864,4771.0,4771.0
2012-08-01,-461.401,2974.0,2974.0,-339.599,2189.0,2189.0
2012-09-01,-1407.08,0.0,0.0,-54.92,0.0,0.0
2012-10-01,-864.266,0.0,0.0,-33.734,0.0,0.0
2012-11-01,-879.665,0.0,0.0,-34.335,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,-572.285,0.0,0.0,-21.715,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0
