measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,3324.19,34043.03,34043.03
2003-02-01,0.0,0.0,0.0,4218.0,43196.54,43196.54
2003-03-01,0.0,0.0,0.0,11465.4,117417.16,117417.16
2003-04-01,0.0,0.0,0.0,13668.0,139973.99,139973.99
2003-05-01,235.0,3035.0,3035.0,15437.0,158090.32,158090.32
2003-06-01,10887.0,132749.0,132749.0,20823.0,213248.34,213248.34
2003-07-01,14516.0,190447.0,190447.0,13186.0,135037.83,135037.83
2003-08-01,12483.0,173148.0,173148.0,11905.0,121919.11,121919.11
2003-09-01,6372.0,84677.0,84677.0,12489.0,127899.85,127899.85
2003-10-01,0.0,0.0,0.0,6198.0,63473.72,63473.72
2003-11-01,1715.0,23961.0,23961.0,2827.0,28951.31,28951.31
2003-12-01,800.0,11185.0,11185.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,3332.0,33393.3,33393.3
2004-02-01,0.0,0.0,0.0,4366.0,43756.05,43756.05
2004-03-01,0.0,0.0,0.0,11307.0,113318.75,113318.75
2004-04-01,0.0,0.0,0.0,12579.0,126066.74,126066.74
2004-05-01,227.0,2981.0,2981.0,17510.0,175485.22,175485.22
2004-06-01,4650.0,64300.0,64300.0,18952.0,189936.94,189936.94
2004-07-01,8784.0,117149.0,117149.0,15910.0,159450.02,159450.02
2004-08-01,9659.0,129342.0,129342.0,15706.0,157405.53,157405.53
2004-09-01,12581.0,168662.0,168662.0,12910.0,129384.02,129384.02
2004-10-01,1462.0,19736.0,19736.0,6955.0,69703.01,69703.01
2004-11-01,132.0,1998.0,1998.0,3953.0,39616.97,39616.97
2004-12-01,656.0,9330.0,9330.0,125.0,1252.75,1252.75
2005-01-01,0.0,0.0,0.0,2221.0,22207.78,22207.78
2005-02-01,0.0,0.0,0.0,3087.0,30866.91,30866.91
2005-03-01,0.0,0.0,0.0,7988.0,79872.01,79872.01
2005-04-01,0.0,0.0,0.0,12046.0,120447.95,120447.95
2005-05-01,309.43,4011.18,4011.18,18742.34,187404.66,187404.66
2005-06-01,3071.0,40742.0,40742.0,19727.0,197250.27,197250.27
2005-07-01,4078.0,56951.7,56951.7,16842.0,168403.16,168403.16
2005-08-01,4895.0,65745.14,65745.14,16553.0,165513.45,165513.45
2005-09-01,4647.0,64778.41,64778.41,13952.0,139506.05,139506.05
2005-10-01,0.0,0.0,0.0,8557.0,85561.44,85561.44
2005-11-01,650.0,8835.22,8835.22,194.0,1939.81,1939.81
2005-12-01,2.0,396.0,396.0,1006.0,10058.99,10058.99
2006-01-01,0.0,0.0,0.0,3275.0,32485.0,32485.0
2006-02-01,0.0,0.0,0.0,5009.0,49684.0,49684.0
2006-03-01,0.0,0.0,0.0,7521.0,74601.0,74601.0
2006-04-01,0.0,0.0,0.0,11939.0,118423.0,118423.0
2006-05-01,282.0,4176.0,4176.0,15992.0,158625.0,158625.0
2006-06-01,5038.0,68380.0,68380.0,16055.0,159250.0,159250.0
