measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed",Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2012-01-01,,,,2328.797,22161.0,22161.0
2012-02-01,,,,2200.061,20936.0,20936.0
2012-03-01,,,,2315.675,22036.0,22036.0
2012-04-01,,,,2188.276,20824.0,20824.0
2012-05-01,0.0,0.0,0.0,2277.002,21668.0,21668.0
2012-06-01,0.0,0.0,0.0,2557.92,24341.0,24341.0
2012-07-01,0.0,0.0,0.0,2573.753,24492.0,24492.0
2012-08-01,0.0,0.0,0.0,2576.912,24522.0,24522.0
2012-09-01,0.0,0.0,0.0,2629.981,25027.0,25027.0
2012-10-01,0.0,0.0,0.0,2700.362,25697.0,25697.0
2012-11-01,0.0,0.0,0.0,2826.344,26895.0,26895.0
2012-12-01,0.0,0.0,0.0,2869.917,27310.0,27310.0
2013-01-01,6911.049,65938.0,65938.0,,,
2013-02-01,6321.984,60318.0,60318.0,,,
2013-03-01,6794.955,64831.0,64831.0,,,
2013-04-01,6450.993,61549.0,61549.0,,,
2013-05-01,6390.969,60976.0,60976.0,,,
2013-06-01,5953.111,56799.0,56799.0,,,
2013-07-01,5773.317,55083.0,55083.0,,,
2013-08-01,5866.707,55974.0,55974.0,,,
2013-09-01,5884.448,56144.0,56144.0,,,
2013-10-01,6598.477,62956.0,62956.0,,,
2013-11-01,6606.244,63030.0,63030.0,,,
2013-12-01,7073.746,67491.0,67491.0,,,
2014-01-01,7430.332,70662.0,70662.0,,,
2014-02-01,6246.667,59406.0,59406.0,,,
2014-03-01,6914.309,65755.0,65755.0,,,
2014-04-01,6329.229,60191.0,60191.0,,,
2014-05-01,6313.7,60043.0,60043.0,,,
2014-06-01,5831.792,55460.0,55460.0,,,
2014-07-01,5586.089,53124.0,53124.0,,,
2014-08-01,6067.666,57704.0,57704.0,,,
2014-09-01,6083.65,57856.0,57856.0,,,
2014-10-01,6124.208,58241.0,58241.0,,,
2014-11-01,6849.258,65136.0,65136.0,,,
2014-12-01,7117.1,67684.0,67684.0,,,
2015-01-01,5930.41,55265.0,55265.0,,,
2015-02-01,6045.199,56335.0,56335.0,,,
2015-03-01,6849.089,63827.0,63827.0,,,
2015-04-01,6632.463,61808.0,61808.0,,,
2015-05-01,6650.392,61975.0,61975.0,,,
2015-06-01,5549.676,51717.0,51717.0,,,
2015-07-01,6222.498,57987.0,57987.0,,,
2015-08-01,5995.499,55872.0,55872.0,,,
2015-09-01,6549.996,61039.0,61039.0,,,
2015-10-01,6892.916,64235.0,64235.0,,,
2015-11-01,8011.596,74660.0,74660.0,,,
2015-12-01,8208.266,76493.0,76493.0,,,
2016-01-01,6975.443,64397.0,64397.0,,,
2016-02-01,6421.669,59285.0,59285.0,,,
2016-03-01,6634.018,61245.0,61245.0,,,
2016-04-01,6321.864,58363.0,58363.0,,,
2016-05-01,6438.605,59441.0,59441.0,,,
2016-06-01,5543.808,51180.0,51180.0,,,
2016-07-01,5404.955,49899.0,49899.0,,,
2016-08-01,5445.556,50273.0,50273.0,,,
2016-09-01,5839.802,53913.0,53913.0,,,
2016-10-01,6274.017,57922.0,57922.0,,,
2016-11-01,6617.197,61090.0,61090.0,,,
2016-12-01,7132.066,65843.0,65843.0,,,
2017-01-01,5900.18,54358.0,54358.0,,,
2017-02-01,5197.36,47883.0,47883.0,,,
2017-03-01,5813.069,53556.0,53556.0,,,
2017-04-01,5631.847,51886.0,51886.0,,,
2017-05-01,5444.096,50156.0,50156.0,,,
2017-06-01,5342.066,49216.0,49216.0,,,
2017-07-01,5746.127,52939.0,52939.0,,,
2017-08-01,5708.065,52588.0,52588.0,,,
2017-09-01,5582.21,51429.0,51429.0,,,
2017-10-01,5084.139,46840.0,46840.0,,,
2017-11-01,5462.326,50324.0,50324.0,,,
2017-12-01,5679.515,52325.0,52325.0,,,
2018-01-01,5444.025,49562.0,49562.0,,,
2018-02-01,5175.077,47114.0,47114.0,,,
2018-03-01,5546.496,50495.0,50495.0,,,
2018-04-01,4824.761,43925.0,43925.0,,,
2018-05-01,5581.611,50815.0,50815.0,,,
2018-06-01,5207.872,47412.0,47412.0,,,
2018-07-01,5519.478,50249.0,50249.0,,,
2018-08-01,5509.037,50154.0,50154.0,,,
2018-09-01,5359.45,48792.0,48792.0,,,
2018-10-01,5159.284,46970.0,46970.0,,,
2018-11-01,5390.956,49079.0,49079.0,,,
2018-12-01,5717.953,52056.0,52056.0,,,
2019-01-01,6544.343,58277.0,58277.0,,,
2019-02-01,6095.919,54284.0,54284.0,,,
2019-03-01,6715.67,59803.0,59803.0,,,
2019-04-01,5938.236,52880.0,52880.0,,,
2019-05-01,6395.859,56955.0,56955.0,,,
2019-06-01,6209.461,55295.0,55295.0,,,
2019-07-01,6422.48,57192.0,57192.0,,,
2019-08-01,6484.765,57747.0,57747.0,,,
2019-09-01,6358.676,56624.0,56624.0,,,
2019-10-01,5425.36,48313.0,48313.0,,,
2019-11-01,4954.203,44117.0,44117.0,,,
2019-12-01,5835.028,51961.0,51961.0,,,
2020-01-01,7390.515,64793.0,64793.0,,,
2020-02-01,7867.635,68976.0,68976.0,,,
2020-03-01,8217.019,72039.0,72039.0,,,
2020-04-01,7765.829,68083.0,68083.0,,,
2020-05-01,7416.555,65021.0,65021.0,,,
2020-06-01,6827.048,59853.0,59853.0,,,
2020-07-01,6447.731,56527.0,56527.0,,,
2020-08-01,6272.902,54995.0,54995.0,,,
2020-09-01,6770.8,59360.0,59360.0,,,
2020-10-01,7516.222,65895.0,65895.0,,,
2020-11-01,8018.89,70302.0,70302.0,,,
2020-12-01,8403.854,73677.0,73677.0,,,
2021-01-01,8019.718,70926.0,70926.0,,,
2021-02-01,7026.759,62145.0,62145.0,,,
2021-03-01,6239.111,55179.0,55179.0,,,
