measured_on,Gaseous Propane - Combined Cycle Combustion Turbine Part - Other Gases - Generation,Gaseous Propane - Combined Cycle Combustion Turbine Part - Other Gases - Quantity Consumed For Electricity,Gaseous Propane - Combined Cycle Combustion Turbine Part - Other Gases - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Waste heat not directly attributed to a fuel source - Combined Cycle Combustion Turbine Part - Other - Generation,Waste heat not directly attributed to a fuel source - Combined Cycle Combustion Turbine Part - Other - Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source - Combined Cycle Combustion Turbine Part - Other - Total Fuel Consumed,Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Generation,Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Total Fuel Consumed
2003-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-02-01,,,,1831.0,21891.0,21891.0,465.0,0.0,0.0,,,,,,
2003-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-05-01,,,,12945.62,155511.0,155511.0,3859.63,0.0,0.0,,,,,,
2003-06-01,,,,12693.42,151685.0,151685.0,3830.53,0.0,0.0,,,,,,
2003-07-01,,,,22505.0,256916.0,256916.0,6566.0,0.0,0.0,,,,,,
2003-08-01,,,,27009.0,308557.0,308557.0,7834.0,0.0,0.0,,,,,,
2003-09-01,,,,6917.0,83358.0,83358.0,2017.0,0.0,0.0,,,,,,
2003-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-01-01,,,,1296.995,14970.0,14970.0,262.369,0.0,0.0,,,,,,
2004-02-01,,,,1252.867,14460.0,14460.0,305.856,0.0,0.0,,,,,,
2004-03-01,,,,1337.469,15437.0,15437.0,330.035,0.0,0.0,,,,,,
2004-04-01,,,,1402.945,16192.0,16192.0,343.151,0.0,0.0,,,,,,
2004-05-01,,,,1512.583,17458.0,17458.0,416.271,0.0,0.0,,,,,,
2004-06-01,,,,1617.943,18674.0,18674.0,475.68100000000004,0.0,0.0,,,,,,
2004-07-01,,,,1795.6770000000001,20725.0,20725.0,559.2180000000001,0.0,0.0,,,,,,
2004-08-01,,,,1810.245,20893.0,20893.0,579.27,0.0,0.0,,,,,,
2004-09-01,,,,1650.0430000000001,19044.0,19044.0,485.66200000000003,0.0,0.0,,,,,,
2004-10-01,,,,1540.161,17776.0,17776.0,437.20300000000003,0.0,0.0,,,,,,
2004-11-01,,,,1340.482,15471.0,15471.0,366.56,0.0,0.0,,,,,,
2004-12-01,,,,1356.59,15657.0,15657.0,363.723,0.0,0.0,,,,,,
2005-01-01,0.0,0.0,0.0,7121.885,83796.19,83796.19,2074.6730000000002,0.0,0.0,,,,,,
2005-02-01,0.0,0.0,0.0,6428.244000000001,75634.8,75634.8,1872.6090000000002,0.0,0.0,,,,,,
2005-03-01,0.0,0.0,0.0,6937.378000000001,81625.28,81625.28,2020.9240000000002,0.0,0.0,,,,,,
2005-04-01,0.0,0.0,0.0,6970.696,82017.3,82017.3,2030.63,0.0,0.0,,,,,,
2005-05-01,0.0,0.0,0.0,7655.957,90080.09,90080.09,2230.253,0.0,0.0,,,,,,
2005-06-01,0.0,0.0,0.0,9833.63,115702.63,115702.63,2864.63,0.0,0.0,,,,,,
2005-07-01,0.0,0.0,0.0,12592.147,148159.37,148159.37,3668.212,0.0,0.0,,,,,,
2005-08-01,0.0,0.0,0.0,13049.472,153540.26,153540.26,3801.4350000000004,0.0,0.0,,,,,,
2005-09-01,0.0,0.0,0.0,9842.088,115802.14,115802.14,2867.094,0.0,0.0,,,,,,
2005-10-01,0.0,0.0,0.0,7639.362,89884.83,89884.83,2225.4190000000003,0.0,0.0,,,,,,
2005-11-01,0.0,0.0,0.0,6816.134,80198.73,80198.73,1985.605,0.0,0.0,,,,,,
2005-12-01,0.0,0.0,0.0,7777.008000000001,91504.39,91504.39,2265.5170000000003,0.0,0.0,,,,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-04-01,0.0,0.0,0.0,291.0,3851.0,3851.0,78.0,0.0,0.0,,,,,,
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-06-01,,,,16939.0,202223.0,202223.0,4676.0,0.0,0.0,,,,,,
2006-07-01,,,,19861.0,234537.0,234537.0,5489.0,0.0,0.0,,,,,,
2006-08-01,,,,20766.0,240328.0,240328.0,5174.0,0.0,0.0,,,,,,
2006-09-01,,,,2430.0,30412.0,30412.0,608.0,0.0,0.0,,,,,,
2006-10-01,,,,101.0,1770.0,1770.0,24.0,0.0,0.0,,,,,,
2006-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-05-01,,,,425.0,5905.0,5905.0,110.0,0.0,0.0,,,,,,
2007-06-01,,,,1134.0,13699.0,13699.0,328.0,0.0,0.0,,,,,,
2007-07-01,,,,5990.0,70063.0,70063.0,1729.0,0.0,0.0,,,,,,
2007-08-01,,,,11342.0,133531.0,133531.0,3300.0,0.0,0.0,,,,,,
2007-09-01,,,,7534.0,89110.0,89110.0,2112.0,0.0,0.0,,,,,,
2007-10-01,,,,4171.0,49197.0,49197.0,1199.0,0.0,0.0,,,,,,
2007-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-01-01,,,,-151.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-02-01,,,,-138.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-03-01,,,,-129.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-04-01,,,,-120.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-05-01,,,,5647.0,69881.0,69881.0,1563.0,0.0,0.0,,,,,,
2008-06-01,,,,10380.0,128415.0,128415.0,2857.0,0.0,0.0,,,,,,
2008-07-01,,,,18173.0,217364.0,217364.0,4978.0,0.0,0.0,,,,,,
2008-08-01,,,,15739.0,183910.0,183910.0,4425.0,0.0,0.0,,,,,,
2008-09-01,,,,10989.0,131961.0,131961.0,2928.0,0.0,0.0,,,,,,
2008-10-01,,,,2663.0,32381.0,32381.0,686.0,0.0,0.0,,,,,,
2008-11-01,,,,2455.0,30642.0,30642.0,647.0,0.0,0.0,,,,,,
2008-12-01,,,,-147.0,414.0,414.0,-59.0,0.0,0.0,,,,,,
2009-01-01,,,,-204.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-02-01,,,,-152.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-03-01,,,,-147.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-04-01,,,,-156.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-05-01,,,,3243.0,39761.0,39761.0,896.0,0.0,0.0,,,,,,
2009-06-01,,,,18830.0,225689.0,225689.0,5396.0,0.0,0.0,,,,,,
2009-07-01,,,,13096.0,156417.0,156417.0,3693.0,0.0,0.0,,,,,,
2009-08-01,,,,8472.0,103278.0,103278.0,2353.0,0.0,0.0,,,,,,
2009-09-01,,,,250.0,4421.0,4421.0,48.0,0.0,0.0,,,,,,
2009-10-01,,,,1200.0,15424.0,15424.0,268.0,0.0,0.0,,,,,,
2009-11-01,,,,-105.0,0.0,0.0,-35.0,0.0,0.0,,,,,,
2009-12-01,,,,-102.0,382.0,382.0,-44.0,0.0,0.0,,,,,,
2010-01-01,,,,-196.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-02-01,,,,-46.0,2342.0,2342.0,-15.0,0.0,0.0,,,,,,
2010-03-01,,,,-140.0,916.0,916.0,-47.0,0.0,0.0,,,,,,
2010-04-01,,,,-164.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-05-01,,,,107.0,3540.0,3540.0,0.0,0.0,0.0,,,,,,
2010-06-01,,,,189.0,5076.0,5076.0,43.0,0.0,0.0,,,,,,
2010-07-01,,,,-152.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-08-01,,,,5968.0,75173.0,75173.0,1588.0,0.0,0.0,,,,,,
2010-09-01,,,,-65.0,1294.0,1294.0,0.0,0.0,0.0,,,,,,
2010-10-01,,,,-77.0,1154.0,1154.0,0.0,0.0,0.0,,,,,,
2010-11-01,,,,-172.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-12-01,,,,-149.0,1620.0,1620.0,0.0,0.0,0.0,,,,,,
2011-01-01,,,,-86.0,2551.0,2551.0,0.0,0.0,0.0,,,,,,
2011-02-01,,,,1608.0,27321.0,27321.0,0.0,0.0,0.0,,,,,,
2011-03-01,,,,16.0,3472.0,3472.0,0.0,0.0,0.0,,,,,,
2011-04-01,,,,-64.0,1621.0,1621.0,0.0,0.0,0.0,,,,,,
2011-05-01,,,,-46.0,2249.0,2249.0,0.0,0.0,0.0,,,,,,
2011-06-01,,,,44.0,3117.0,3117.0,0.0,0.0,0.0,,,,,,
2011-07-01,,,,4273.0,58253.0,58253.0,1058.0,0.0,0.0,,,,,,
2011-08-01,,,,10020.0,131270.0,131270.0,2892.0,0.0,0.0,,,,,,
