measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,1.575,20.0,20.0,18.436,182.0,182.0,385.85,4860.0,4860.0
2003-02-01,,,,1.3010000000000002,17.0,17.0,15.233,151.0,151.0,318.832,4016.0,4016.0
2003-03-01,,,,1.3820000000000001,18.0,18.0,16.178,160.0,160.0,338.601,4265.0,4265.0
2003-04-01,,,,1.316,17.0,17.0,15.41,152.0,152.0,322.51800000000003,4063.0,4063.0
2003-05-01,,,,1.356,17.0,17.0,15.871,157.0,157.0,332.171,4184.0,4184.0
2003-06-01,,,,1.43,18.0,18.0,16.743000000000002,166.0,166.0,350.43,4414.0,4414.0
2003-07-01,,,,1.722,22.0,22.0,20.157,199.0,199.0,421.869,5314.0,5314.0
2003-08-01,,,,1.6640000000000001,21.0,21.0,19.484,193.0,193.0,407.784,5137.0,5137.0
2003-09-01,,,,1.34,17.0,17.0,15.687000000000001,155.0,155.0,328.327,4136.0,4136.0
2003-10-01,,,,1.2810000000000001,16.0,16.0,14.992,148.0,148.0,313.773,3952.0,3952.0
2003-11-01,,,,1.073,14.0,14.0,12.559000000000001,124.0,124.0,262.856,3311.0,3311.0
2003-12-01,,,,1.5590000000000002,20.0,20.0,18.251,180.0,180.0,381.99,4812.0,4812.0
2004-01-01,,,,1.667,24.0,24.0,4.349,42.0,42.0,18.167,260.0,260.0
2004-02-01,,,,1.667,24.0,24.0,5.831,57.0,57.0,18.167,260.0,260.0
2004-03-01,,,,1.667,24.0,24.0,26.091,254.0,254.0,18.167,260.0,260.0
2004-04-01,,,,1.667,24.0,24.0,8.996,88.0,88.0,18.167,260.0,260.0
2004-05-01,,,,1.667,24.0,24.0,39.31,383.0,383.0,18.167,260.0,260.0
2004-06-01,,,,1.667,24.0,24.0,39.15,381.0,381.0,18.167,260.0,260.0
2004-07-01,,,,1.667,24.0,24.0,57.209,557.0,557.0,18.167,260.0,260.0
2004-08-01,,,,1.667,24.0,24.0,75.262,733.0,733.0,18.167,260.0,260.0
