measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2001-01-01,64883.0,723659.0,723659.0,78.0,1389.0,1389.0,,,,,,
2001-02-01,58434.0,677987.0,677987.0,67.0,1197.0,1197.0,,,,,,
2001-03-01,55968.0,653007.0,653007.0,266.0,4845.0,4845.0,,,,,,
2001-04-01,60899.0,712993.0,712993.0,84.0,1512.0,1512.0,,,,,,
2001-05-01,62327.0,731446.0,731446.0,61.0,1109.0,1109.0,,,,,,
2001-06-01,35580.0,432621.0,432621.0,191.0,3491.0,3491.0,,,,,,
2001-07-01,64763.0,778356.0,778356.0,238.0,2382.0,2382.0,,,,,,
2001-08-01,65783.0,797192.0,797192.0,0.0,0.0,0.0,,,,,,
2001-09-01,12160.0,150287.0,150287.0,380.0,7069.0,7069.0,,,,,,
2001-10-01,62637.0,688610.0,688610.0,322.0,5283.0,5283.0,,,,,,
2001-11-01,55209.0,630160.0,630160.0,373.0,6947.0,6947.0,,,,,,
2001-12-01,65087.0,744992.0,744992.0,94.0,1477.0,1477.0,,,,,,
2002-01-01,62376.0,724159.0,724159.0,,,,84.0,980.0,980.0,,,
2002-02-01,50850.0,593490.0,593490.0,,,,279.0,3739.0,3739.0,,,
2002-03-01,59183.0,615650.0,615650.0,,,,453.0,4659.0,4659.0,,,
2002-04-01,53563.0,634312.0,634312.0,,,,383.0,5046.0,5046.0,,,
2002-05-01,63493.0,732424.0,732424.0,,,,175.0,2006.0,2006.0,,,
2002-06-01,61085.0,726736.0,726736.0,,,,324.0,1797.0,1797.0,,,
2002-07-01,55386.0,674775.0,674775.0,,,,243.0,2934.0,2934.0,,,
2002-08-01,65596.0,774814.0,774814.0,,,,66.0,760.0,760.0,,,
2002-09-01,44644.0,532480.0,532480.0,,,,348.0,4115.0,4115.0,,,
2002-10-01,65446.0,759015.0,759015.0,,,,80.0,923.0,923.0,,,
2002-11-01,65378.0,755249.0,755249.0,,,,83.0,954.0,954.0,,,
2002-12-01,57494.0,675619.0,675619.0,,,,366.0,4252.0,4252.0,,,
2003-01-01,59932.0,700985.0,700985.0,,,,402.0,3058.0,3058.0,,,
2003-02-01,49508.0,581368.0,581368.0,,,,515.0,3953.0,3953.0,,,
2003-03-01,13597.0,166711.0,166711.0,,,,275.0,2200.0,2200.0,,,
2003-04-01,10441.0,147722.0,147722.0,,,,1068.0,9853.0,9853.0,,,
2003-05-01,65151.0,752782.0,752782.0,,,,53.0,403.0,403.0,,,
2003-06-01,61249.0,710880.0,710880.0,,,,263.0,1990.0,1990.0,,,
2003-07-01,66576.0,790459.0,790459.0,,,,100.0,773.0,773.0,,,
2003-08-01,58738.0,691887.0,691887.0,,,,221.0,1703.0,1703.0,,,
2003-09-01,59792.0,693728.0,693728.0,,,,178.0,1343.0,1343.0,,,
2003-10-01,70034.0,800849.0,800849.0,,,,73.0,548.0,548.0,,,
2003-11-01,66618.0,772740.0,772740.0,,,,228.0,1725.0,1725.0,,,
2003-12-01,55762.0,665854.0,665854.0,,,,625.0,4875.0,4875.0,,,
2004-01-01,68243.0,788207.0,788207.0,,,,89.0,673.0,673.0,,,
2004-02-01,63967.0,744570.0,744570.0,,,,70.0,530.0,530.0,,,
2004-03-01,61599.0,731228.0,731228.0,,,,184.0,1453.0,1453.0,,,
2004-04-01,65860.0,772053.0,772053.0,,,,78.0,593.0,593.0,,,
2004-05-01,61697.0,709608.0,709608.0,,,,295.0,2210.0,2210.0,,,
2004-06-01,65119.0,775488.0,775488.0,,,,59.0,463.0,463.0,,,
2004-07-01,68374.0,811745.0,811745.0,,,,65.0,428.0,428.0,,,
2004-08-01,62755.0,753069.0,753069.0,,,,180.0,1660.0,1660.0,,,
2004-09-01,30982.0,432146.0,432146.0,,,,265.0,2408.0,2408.0,,,
2004-10-01,65183.0,754493.0,754493.0,,,,211.0,1590.0,1590.0,,,
2004-11-01,64380.0,794981.0,794981.0,,,,163.0,1243.0,1243.0,,,
2004-12-01,67841.0,781940.0,781940.0,,,,94.0,723.0,723.0,,,
2005-01-01,68374.0,802335.4,802335.4,,,,84.0,642.5,642.5,,,
2005-02-01,61281.0,717902.96,717902.96,,,,146.0,1115.0,1115.0,,,
2005-03-01,53120.0,630455.95,630455.95,,,,570.0,4402.5,4402.5,,,
2005-04-01,66529.0,769133.57,769133.57,,,,82.0,617.5,617.5,,,
2005-05-01,58256.0,694363.78,694363.78,,,,416.0,3227.5,3227.5,,,
2005-06-01,63789.0,750501.88,750501.88,,,,62.0,477.5,477.5,,,
2005-07-01,68887.0,819645.3,819645.3,,,,54.0,420.0,420.0,,,
2005-08-01,66663.0,794625.55,794625.55,,,,248.0,1920.0,1920.0,,,
2005-09-01,34221.0,415568.26,415568.26,,,,137.0,2065.0,2065.0,,,
2005-10-01,64513.0,761435.01,761435.01,,,,272.0,2177.5,2177.5,,,
2005-11-01,58373.0,650328.59,650328.59,,,,276.0,2445.0,2445.0,,,
2005-12-01,70470.0,814973.61,814973.61,,,,83.0,697.5,697.5,,,
2006-01-01,69810.0,810464.0,810464.0,,,,81.0,615.0,615.0,,,
2006-02-01,63020.0,737213.0,737213.0,,,,90.0,685.0,685.0,,,
2006-03-01,68590.0,817193.0,817193.0,,,,148.0,1148.0,1148.0,,,
2006-04-01,65377.0,779575.0,779575.0,,,,50.0,390.0,390.0,,,
2006-05-01,66328.0,802188.0,802188.0,,,,172.0,1355.0,1355.0,,,
2006-06-01,50365.0,615340.0,615340.0,,,,675.0,5365.0,5365.0,,,
2006-07-01,67100.0,796959.0,796959.0,,,,69.0,530.0,530.0,,,
2006-08-01,63701.0,788977.0,788977.0,,,,64.0,515.0,515.0,,,
2006-09-01,29212.0,368000.0,368000.0,,,,362.0,2965.0,2965.0,,,
2006-10-01,65516.0,773517.0,773517.0,,,,303.0,2325.0,2325.0,,,
2006-11-01,66809.0,793173.0,793173.0,,,,69.0,535.0,535.0,,,
2006-12-01,57018.0,685412.0,685412.0,,,,436.0,3410.0,3410.0,,,
2007-01-01,51814.598,624778.0,624778.0,,,,339.40200000000004,4093.0,4093.0,,,
2007-02-01,58991.78,674783.0,674783.0,,,,212.22,2428.0,2428.0,,,
2007-03-01,69455.322,790286.0,790286.0,,,,47.678000000000004,543.0,543.0,,,
2007-04-01,59224.389,692037.0,692037.0,,,,156.61100000000002,1830.0,1830.0,,,
2007-05-01,67823.66,869820.0,869820.0,,,,42.34,543.0,543.0,,,
2007-06-01,59276.933000000005,718711.0,718711.0,,,,182.067,2208.0,2208.0,,,
2007-07-01,48871.606,610134.0,610134.0,,,,316.394,3950.0,3950.0,,,
2007-08-01,66711.50200000001,821502.0,821502.0,,,,33.498000000000005,413.0,413.0,,,
2007-09-01,19341.534,251894.0,251894.0,,,,189.466,2468.0,2468.0,,,
2007-10-01,59838.455,765222.0,765222.0,,,,158.545,2028.0,2028.0,,,
2007-11-01,59793.928,719367.0,719367.0,,,,183.072,2203.0,2203.0,,,
2007-12-01,67488.838,810615.0,810615.0,,,,50.162,603.0,603.0,,,
2008-01-01,57630.755,698170.0,698170.0,,,,,,,363.245,4401.0,4401.0
2008-02-01,65715.13,777621.0,777621.0,,,,,,,86.87,1028.0,1028.0
2008-03-01,62636.798,746166.0,746166.0,,,,,,,142.202,1694.0,1694.0
2008-04-01,52386.518,640276.0,640276.0,,,,,,,375.482,4589.0,4589.0
2008-05-01,56910.565,696204.0,696204.0,,,,,,,319.435,3908.0,3908.0
2008-06-01,56255.423,687470.0,687470.0,,,,,,,156.577,1913.0,1913.0
2008-07-01,67879.092,845530.0,845530.0,,,,,,,30.908,385.0,385.0
2008-08-01,65354.074,813885.0,813885.0,,,,,,,179.92600000000002,2241.0,2241.0
2008-09-01,25634.471,330894.0,330894.0,,,,,,,389.529,5028.0,5028.0
2008-10-01,65820.3,806945.0,806945.0,,,,,,,53.7,658.0,658.0
2008-11-01,61822.026,775799.0,775799.0,,,,,,,61.974000000000004,778.0,778.0
2008-12-01,52218.552,640825.0,640825.0,,,,,,,355.44800000000004,4362.0,4362.0
2009-01-01,52488.562,641195.0,641195.0,,,,,,,547.438,6687.0,6687.0
2009-02-01,58504.765,694989.0,694989.0,,,,,,,50.235,597.0,597.0
2009-03-01,56122.25,669756.0,669756.0,,,,,,,87.75,1047.0,1047.0
2009-04-01,55673.573000000004,667475.0,667475.0,,,,,,,304.427,3650.0,3650.0
2009-05-01,57082.727,694945.0,694945.0,,,,,,,155.273,1890.0,1890.0
2009-06-01,58476.191,712520.0,712520.0,,,,,,,33.809000000000005,412.0,412.0
2009-07-01,57209.748,790930.0,790930.0,,,,,,,122.25200000000001,1690.0,1690.0
2009-08-01,47954.235,599683.0,599683.0,,,,,,,393.765,4924.0,4924.0
2009-09-01,28606.666,357367.0,357367.0,,,,,,,208.334,2603.0,2603.0
2009-10-01,47560.612,582658.0,582658.0,,,,,,,581.388,7123.0,7123.0
2009-11-01,60614.604,730791.0,730791.0,,,,,,,59.396,716.0,716.0
2009-12-01,64547.786,772966.0,772966.0,,,,,,,157.214,1883.0,1883.0
2010-01-01,49400.857,601750.0,601750.0,,,,,,,583.143,7103.0,7103.0
2010-02-01,55875.081,665612.0,665612.0,,,,,,,76.919,916.0,916.0
