measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2002-01-01,6.516,71.0,71.0,,,
2002-02-01,5.925,65.0,65.0,,,
2002-03-01,6.437,70.0,70.0,,,
2002-04-01,5.232,57.0,57.0,,,
2002-05-01,6.075,66.0,66.0,,,
2002-06-01,6.457000000000001,71.0,71.0,,,
2002-07-01,7.306,80.0,80.0,,,
2002-08-01,6.785,74.0,74.0,,,
2002-09-01,6.0520000000000005,66.0,66.0,,,
2002-10-01,6.369000000000001,70.0,70.0,,,
2002-11-01,6.075,66.0,66.0,,,
2002-12-01,6.773000000000001,74.0,74.0,,,
2003-01-01,25.617,199.0,199.0,,,
2003-02-01,21.446,166.0,166.0,,,
2003-03-01,24.026,186.0,186.0,,,
2003-04-01,21.115,164.0,164.0,,,
2003-05-01,20.855,162.0,162.0,,,
2003-06-01,23.467000000000002,182.0,182.0,,,
2003-07-01,25.543000000000003,198.0,198.0,,,
2003-08-01,26.532,206.0,206.0,,,
2003-09-01,23.104000000000003,179.0,179.0,,,
2003-10-01,24.451,190.0,190.0,,,
2003-11-01,20.663,160.0,160.0,,,
2003-12-01,23.181,180.0,180.0,,,
2004-01-01,5.8020000000000005,58.0,58.0,,,
2004-02-01,2.911,29.0,29.0,,,
2004-03-01,32.435,323.0,323.0,,,
2004-04-01,46.049,459.0,459.0,,,
2004-05-01,80.625,803.0,803.0,,,
2004-06-01,25.84,257.0,257.0,,,
2004-07-01,28.137,280.0,280.0,,,
2004-08-01,81.02600000000001,807.0,807.0,,,
2004-09-01,21.169,211.0,211.0,,,
2004-10-01,31.087,310.0,310.0,,,
2004-11-01,5.623,56.0,56.0,,,
2004-12-01,3.2960000000000003,33.0,33.0,,,
2005-01-01,11.027000000000001,113.71,113.71,,,
2005-02-01,3.7880000000000003,39.07,39.07,,,
2005-03-01,4.199,43.3,43.3,,,
2005-04-01,5.086,52.45,52.45,,,
2005-05-01,4.724,48.71,48.71,,,
2005-06-01,6.131,63.23,63.23,,,
2005-07-01,6.2410000000000005,64.36,64.36,,,
2005-08-01,7.331,75.6,75.6,,,
2005-09-01,4.799,49.49,49.49,,,
2005-10-01,5.33,54.96,54.96,,,
2005-11-01,4.284,44.18,44.18,,,
2005-12-01,9.059000000000001,93.42,93.42,,,
2006-01-01,4.583,75.0,75.0,,,
2006-02-01,2.398,39.0,39.0,,,
2006-03-01,2.015,33.0,33.0,,,
2006-04-01,3.859,63.0,63.0,,,
2006-05-01,3.607,59.0,59.0,,,
2006-06-01,3.2790000000000004,54.0,54.0,,,
2006-07-01,4.7490000000000006,78.0,78.0,,,
2006-08-01,4.607,75.0,75.0,,,
2006-09-01,2.117,35.0,35.0,,,
2006-10-01,2.236,37.0,37.0,,,
2006-11-01,2.633,43.0,43.0,,,
2006-12-01,2.9170000000000003,48.0,48.0,,,
2007-01-01,4.067,12.0,12.0,10.186,101.0,101.0
2007-02-01,9.034,31.0,31.0,9.108,90.0,90.0
2007-03-01,2.447,6.0,6.0,8.711,86.0,86.0
