measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Jet Fuel-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Jet Fuel-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Jet Fuel-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,55.0,1583.0,1583.0,108550.0,1229135.0,1229135.0,,,,,,
2003-02-01,5147.0,70655.0,70655.0,20474.0,198536.0,198536.0,,,,,,,1775.0,20333.0,20333.0,88203.0,687217.0,687217.0,,,,,,
2003-03-01,408.0,4799.0,4799.0,13792.0,131657.0,131657.0,,,,,,,33.0,834.0,834.0,99213.0,893913.0,893913.0,,,,,,
2003-04-01,332.0,6665.0,6665.0,4.0,43.0,43.0,,,,,,,708.0,13235.0,13235.0,116097.0,1247835.0,1247835.0,,,,,,
2003-05-01,864.0,10038.0,10038.0,3943.0,49836.0,49836.0,,,,,,,3035.0,30696.0,30696.0,212763.0,2174893.0,2174893.0,,,,,,
2003-06-01,0.0,0.0,0.0,4487.0,49395.0,49395.0,,,,,,,-27.0,0.0,0.0,213834.0,2255706.0,2255706.0,,,,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1444.0,19814.0,19814.0,267173.0,2890500.0,2890500.0,,,,,,
2003-08-01,55.0,384.0,384.0,3.0,37.0,37.0,,,,,,,2709.0,37191.0,37191.0,198247.0,2101311.0,2101311.0,,,,,,
2003-09-01,42.0,789.0,789.0,3.0,31.0,31.0,,,,,,,605.0,8756.0,8756.0,99931.0,1092181.0,1092181.0,,,,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1208.0,17180.0,17180.0,122106.0,1315713.0,1315713.0,,,,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,701.0,9558.0,9558.0,110486.0,1174938.0,1174938.0,,,,,,
2003-12-01,0.0,0.0,0.0,574.0,6925.0,6925.0,,,,,,,-75.0,0.0,0.0,67977.0,740138.0,740138.0,,,,,,
2004-01-01,0.0,0.0,0.0,1236.0,13727.0,13727.0,0.0,0.0,0.0,,,,237.0,4258.0,4258.0,90333.0,930852.0,930852.0,,,,,,
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,770.0,13824.0,13824.0,2964.0,78328.0,78328.0,,,,,,
