measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,-153.0,0.0,0.0
2003-02-01,-134.0,0.0,0.0
2003-03-01,-150.0,0.0,0.0
2003-04-01,-146.0,0.0,0.0
2003-05-01,-155.0,0.0,0.0
2003-06-01,-156.0,0.0,0.0
2003-07-01,-162.0,0.0,0.0
2003-08-01,-163.0,0.0,0.0
2003-09-01,-147.0,0.0,0.0
2003-10-01,-150.0,0.0,0.0
