measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2012-01-01,40.562,461.0,594.0,618.246,7032.0,9071.0,44.326,504.0,4004.0,,,,31.04,353.0,2807.0
2012-02-01,4.317,49.0,66.0,619.139,7042.0,9085.0,44.389,505.0,4010.0,,,,3.303,38.0,296.0
2012-03-01,9.704,110.0,143.0,691.195,7861.0,10142.0,49.555,564.0,4477.0,,,,7.425,84.0,673.0
2012-04-01,8.72,99.0,127.0,633.888,7209.0,9302.0,45.447,517.0,4106.0,,,,6.673,76.0,603.0
2012-05-01,8.089,92.0,121.0,755.923,8597.0,11092.0,54.196,616.0,4896.0,,,,6.19,70.0,557.0
2012-06-01,55.549,632.0,814.0,856.669,9743.0,12571.0,61.419,699.0,5549.0,,,,42.507,483.0,3840.0
2012-07-01,27.803,316.0,407.0,1183.918,13465.0,17373.0,84.881,965.0,7668.0,,,,21.275,242.0,1920.0
2012-08-01,17.5,199.0,259.0,1183.376,13459.0,17365.0,84.842,965.0,7665.0,,,,13.391,152.0,1212.0
2012-09-01,12.36,141.0,182.0,950.058,10805.0,13941.0,68.114,775.0,6154.0,,,,9.458,108.0,853.0
2012-10-01,11.487,131.0,171.0,806.346,9171.0,11832.0,57.811,658.0,5223.0,,,,8.79,100.0,795.0
2012-11-01,15.158,172.0,220.0,615.931,7005.0,9038.0,44.159,502.0,3989.0,,,,11.599,132.0,1050.0
2012-12-01,7.644,87.0,110.0,437.418,4975.0,6419.0,31.361,357.0,2833.0,,,,5.849,67.0,528.0
2013-01-01,29.903,347.0,1243.0,275.314,3195.0,11439.0,58.98,692.0,3456.0,,,,36.797,431.0,2159.0
2013-02-01,16.215,188.0,673.0,174.961,2031.0,7270.0,37.482,439.0,2196.0,,,,19.953,234.0,1168.0
2013-03-01,2.324,27.0,97.0,239.326,2777.0,9944.0,51.271,601.0,3004.0,,,,2.86,34.0,165.0
2013-04-01,1.218,14.0,51.0,374.394,4345.0,15556.0,80.207,940.0,4699.0,,,,1.499,18.0,89.0
2013-05-01,1.95,23.0,80.0,423.448,4914.0,17594.0,90.716,1064.0,5315.0,,,,2.4,28.0,140.0
2013-06-01,3.733,43.0,154.0,370.663,4302.0,15401.0,79.407,931.0,4652.0,,,,4.594,54.0,267.0
2013-07-01,14.653,170.0,610.0,598.255,6943.0,24857.0,128.165,1503.0,7509.0,,,,18.032,211.0,1054.0
2013-08-01,0.773,9.0,34.0,529.856,6149.0,22016.0,113.512,1331.0,6650.0,,,,0.952,11.0,57.0
2013-09-01,5.619,65.0,234.0,387.483,4497.0,16100.0,83.011,973.0,4863.0,,,,6.914,81.0,406.0
2013-10-01,2.437,28.0,103.0,385.563,4475.0,16020.0,82.6,968.0,4839.0,,,,2.999,35.0,178.0
2013-11-01,5.799,67.0,239.0,254.681,2956.0,10582.0,54.561,640.0,3196.0,,,,7.136,84.0,419.0
2013-12-01,40.625,471.0,1687.0,174.767,2028.0,7262.0,37.44,439.0,2193.0,,,,49.992,586.0,2927.0
2014-01-01,275.217,3194.0,3967.0,476.423,5529.0,6881.0,54.832,624.0,7740.0,,,,31.368,357.0,4420.0
2014-02-01,59.071,686.0,855.0,492.657,5717.0,7115.0,56.7,645.0,8004.0,,,,6.732,77.0,953.0
2014-03-01,78.476,911.0,1134.0,370.138,4296.0,5345.0,42.599,484.0,6013.0,,,,8.944,102.0,1264.0
2014-04-01,1.618,19.0,23.0,731.224,8486.0,10560.0,84.157,957.0,11879.0,,,,0.184,2.0,25.0
2014-05-01,2.158,25.0,29.0,800.279,9288.0,11557.0,92.105,1048.0,13001.0,,,,0.246,3.0,32.0
2014-06-01,0.679,8.0,11.0,863.85,10025.0,12475.0,99.421,1131.0,14034.0,,,,0.077,1.0,13.0
2014-07-01,6.994,81.0,103.0,1190.102,13812.0,17187.0,136.97,1558.0,19334.0,,,,0.797,9.0,114.0
2014-08-01,5.272,61.0,74.0,1070.892,12428.0,15465.0,123.25,1402.0,17398.0,,,,0.601,7.0,83.0
2014-09-01,1.403,16.0,23.0,909.252,10552.0,13131.0,104.646,1190.0,14772.0,,,,0.16,2.0,25.0
2014-10-01,1.817,21.0,29.0,889.13,10319.0,12840.0,102.331,1164.0,14445.0,,,,0.207,2.0,32.0
2014-11-01,2.614,30.0,40.0,513.955,5965.0,7422.0,59.151,673.0,8350.0,,,,0.298,3.0,44.0
2014-12-01,6.348,74.0,91.0,430.091,4991.0,6211.0,49.5,563.0,6987.0,,,,0.724,8.0,102.0
2015-01-01,36.233,412.0,644.0,316.606,3601.0,5568.0,34.893,397.0,2318.0,,,,21.002,239.0,1391.0
2015-02-01,232.455,2644.0,4087.0,350.084,3982.0,6159.0,38.585,439.0,2564.0,,,,134.73,1532.0,8954.0
2015-03-01,10.345,118.0,182.0,425.366,4838.0,7483.0,46.882,533.0,3115.0,,,,5.996,68.0,400.0
2015-04-01,1.596,18.0,29.0,601.863,6845.0,10588.0,66.335,754.0,4407.0,,,,0.925,11.0,64.0
2015-05-01,3.674,42.0,63.0,823.521,9366.0,14487.0,90.765,1032.0,6030.0,,,,2.129,24.0,140.0
2015-06-01,2.024,23.0,34.0,807.124,9180.0,14199.0,88.958,1012.0,5910.0,,,,1.173,13.0,76.0
2015-07-01,6.374,72.0,114.0,1266.588,14405.0,22281.0,139.598,1588.0,9275.0,,,,3.694,42.0,248.0
2015-08-01,3.641,41.0,63.0,1273.331,14482.0,22400.0,140.341,1596.0,9324.0,,,,2.11,24.0,140.0
2015-09-01,10.824,123.0,188.0,914.472,10401.0,16087.0,100.789,1146.0,6697.0,,,,6.274,71.0,419.0
2015-10-01,1.643,19.0,29.0,767.004,8723.0,13493.0,84.536,961.0,5617.0,,,,0.952,11.0,64.0
2015-11-01,2.55,29.0,46.0,460.033,5232.0,8093.0,50.703,577.0,3369.0,,,,1.478,17.0,95.0
2015-12-01,3.264,37.0,57.0,501.385,5702.0,8820.0,55.26,628.0,3672.0,,,,1.892,22.0,127.0
2016-01-01,0.0,0.0,0.0,465.291,1890.0,8343.0,43.315,176.0,4100.0,0.0,0.0,0.0,,,
2016-02-01,0.0,0.0,0.0,488.158,1983.0,8751.0,45.443,185.0,4301.0,0.0,0.0,0.0,,,
2016-03-01,0.0,0.0,0.0,529.064,2149.0,9485.0,49.251,200.0,4661.0,0.0,0.0,0.0,,,
2016-04-01,0.0,0.0,0.0,579.486,2354.0,10388.0,53.945,219.0,5106.0,0.0,0.0,0.0,,,
2016-05-01,0.0,0.0,0.0,765.406,3109.0,13721.0,71.253,289.0,6744.0,0.0,0.0,0.0,,,
2016-06-01,0.0,0.0,0.0,873.051,3546.0,15651.0,81.274,330.0,7692.0,0.0,0.0,0.0,,,
2016-07-01,0.0,0.0,0.0,1066.708,4333.0,19123.0,99.301,403.0,9398.0,0.0,0.0,0.0,,,
2016-08-01,0.0,0.0,0.0,1065.07,4326.0,19094.0,99.149,403.0,9384.0,0.0,0.0,0.0,,,
2016-09-01,0.0,0.0,0.0,706.61,2870.0,12667.0,65.779,267.0,6226.0,0.0,0.0,0.0,,,
2016-10-01,0.0,0.0,0.0,456.321,1854.0,8180.0,42.48,173.0,4020.0,0.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,350.017,1422.0,6275.0,32.584,132.0,3084.0,0.0,0.0,0.0,,,
2016-12-01,0.0,0.0,0.0,538.818,2189.0,9659.0,50.159,204.0,4747.0,,,,0.067,0.0,6.0
2017-01-01,0.0,0.0,0.0,577.904,10.0,10.0,64.709,263.0,6714.0,,,,0.466,2.0,50.0
2017-02-01,0.0,0.0,0.0,519.385,9.0,9.0,58.158,236.0,6033.0,,,,0.253,1.0,25.0
2017-03-01,0.0,0.0,0.0,561.099,10.0,10.0,62.829,255.0,6518.0,,,,0.304,1.0,32.0
2017-04-01,0.0,0.0,0.0,664.0,11.0,11.0,74.352,302.0,7713.0,,,,0.21,1.0,19.0
2017-05-01,0.0,0.0,0.0,605.652,10.0,10.0,67.818,275.0,7035.0,,,,0.216,1.0,25.0
2017-06-01,0.0,0.0,0.0,740.073,13.0,13.0,82.87,337.0,8597.0,,,,0.215,1.0,25.0
2017-07-01,0.0,0.0,0.0,878.815,15.0,15.0,98.406,400.0,10209.0,,,,0.147,1.0,13.0
2017-08-01,0.0,0.0,0.0,881.575,15.0,15.0,98.715,401.0,10241.0,,,,0.144,1.0,13.0
2017-09-01,0.0,0.0,0.0,673.834,12.0,12.0,75.453,306.0,7827.0,,,,0.245,1.0,25.0
2017-10-01,0.0,0.0,0.0,626.983,11.0,11.0,70.207,285.0,7283.0,,,,0.238,1.0,25.0
2017-11-01,0.0,0.0,0.0,415.748,7.0,7.0,46.554,189.0,4829.0,,,,0.4,2.0,44.0
2017-12-01,0.0,0.0,0.0,513.932,9.0,9.0,57.548,234.0,5970.0,,,,5.543,23.0,573.0
2018-01-01,0.0,0.0,0.0,678.928,2758.0,12101.0,79.764,324.0,7715.0,,,,14.028,57.0,1361.0
2018-02-01,0.0,0.0,0.0,665.81,2704.0,11866.0,78.223,318.0,7566.0,,,,0.54,2.0,50.0
2018-03-01,0.0,0.0,0.0,728.985,2961.0,12992.0,85.645,348.0,8284.0,,,,0.6,2.0,57.0
2018-04-01,0.0,0.0,0.0,452.629,1839.0,8067.0,53.177,216.0,5143.0,,,,0.46,2.0,44.0
2018-05-01,0.0,0.0,0.0,450.274,1829.0,8025.0,52.901,215.0,5117.0,,,,0.51,2.0,50.0
2018-06-01,0.0,0.0,0.0,566.176,2300.0,10091.0,66.517,270.0,6434.0,,,,0.439,2.0,44.0
2018-07-01,0.0,0.0,0.0,1071.546,4353.0,19098.0,125.891,511.0,12176.0,,,,0.605,2.0,57.0
2018-08-01,0.0,0.0,0.0,1195.734,4857.0,21311.0,140.481,571.0,13588.0,,,,1.089,4.0,107.0
2018-09-01,0.0,0.0,0.0,763.975,3103.0,13616.0,89.756,365.0,8681.0,,,,0.536,2.0,50.0
2018-10-01,0.0,0.0,0.0,605.949,2461.0,10800.0,71.19,289.0,6886.0,,,,0.485,2.0,44.0
2018-11-01,0.0,0.0,0.0,458.042,1861.0,8163.0,53.813,219.0,5205.0,,,,1.043,4.0,101.0
2018-12-01,0.0,0.0,0.0,516.952,2100.0,9213.0,60.734,247.0,5874.0,,,,0.573,2.0,57.0
2019-01-01,0.0,0.0,0.0,674.465,2740.0,9354.0,29.496,120.0,8296.0,,,,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,593.089,2409.0,8226.0,25.937,105.0,7294.0,,,,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,578.858,2351.0,8029.0,25.315,103.0,7119.0,,,,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,415.325,1687.0,5761.0,18.163,74.0,5108.0,,,,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,354.762,1441.0,4921.0,15.515,63.0,4363.0,,,,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,454.96,1848.0,6310.0,19.896,81.0,5595.0,,,,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,915.391,3718.0,12696.0,40.032,163.0,11258.0,,,,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,682.394,2772.0,9465.0,29.843,121.0,8393.0,,,,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,462.85,1880.0,6419.0,20.241,82.0,5692.0,,,,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,479.102,1946.0,6645.0,20.952,85.0,5892.0,,,,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,437.566,1777.0,6069.0,19.136,78.0,5382.0,,,,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,628.238,2552.0,8714.0,27.474,112.0,7727.0,,,,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,876.246,3559.0,15142.0,0.0,0.0,4050.0,,,,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,690.283,2804.0,11927.0,0.0,0.0,3189.0,,,,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,305.758,1242.0,5283.0,0.0,0.0,1413.0,,,,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,353.391,1435.0,6106.0,0.0,0.0,1633.0,,,,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,249.154,1012.0,4305.0,0.0,0.0,1151.0,,,,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,663.649,2696.0,11467.0,0.0,0.0,3066.0,,,,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,1321.28,5367.0,22830.0,0.0,0.0,6105.0,,,,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,1113.812,4524.0,19246.0,0.0,0.0,5146.0,,,,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,648.33,2633.0,11202.0,0.0,0.0,2996.0,,,,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,705.877,2867.0,12197.0,0.0,0.0,3261.0,,,,0.0,0.0,0.0
