measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,160877.0,1695028.0,1695028.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,148412.0,1544516.0,1544516.0,0.0,0.0,0.0,232.0,2414.0,2414.0
2003-03-01,144564.0,1534636.0,1534636.0,0.0,0.0,0.0,396.0,4208.0,4208.0
2003-04-01,127179.0,1301578.0,1301578.0,0.0,0.0,0.0,140.0,1436.0,1436.0
2003-05-01,132536.0,1440185.0,1440185.0,311.0,3379.0,3379.0,70.0,759.0,759.0
2003-06-01,83639.0,946792.0,946792.0,1863.0,21086.0,21086.0,341.0,3861.0,3861.0
2003-07-01,141660.0,1503577.0,1503577.0,1194.0,12670.0,12670.0,91.0,966.0,966.0
2003-08-01,129339.0,1448730.0,1448730.0,14699.0,164644.0,164644.0,154.0,1724.0,1724.0
2003-09-01,54423.0,599007.0,599007.0,0.0,0.0,0.0,395.0,4352.0,4352.0
2003-10-01,119269.0,1318325.0,1318325.0,759.0,8385.0,8385.0,144.0,1593.0,1593.0
2003-11-01,115332.0,1228130.0,1228130.0,0.0,0.0,0.0,447.0,4763.0,4763.0
2003-12-01,161411.0,1724740.0,1724740.0,0.0,0.0,0.0,280.0,2996.0,2996.0
2004-01-01,165155.0,1709872.0,1709872.0,0.0,0.0,0.0,173.0,1793.0,1793.0
2004-02-01,177210.0,1853360.0,1853360.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,160667.0,1653716.0,1653716.0,0.0,0.0,0.0,215.0,2218.0,2218.0
2004-04-01,146111.0,1532768.0,1532768.0,629.0,6595.0,6595.0,197.0,2066.0,2066.0
2004-05-01,130649.0,1395822.0,1395822.0,1008.0,10774.0,10774.0,274.0,2925.0,2925.0
2004-06-01,158104.0,1660988.0,1660988.0,472.0,4955.0,4955.0,20.0,207.0,207.0
2004-07-01,164368.0,1743834.0,1743834.0,1137.0,12065.0,12065.0,42.0,442.0,442.0
