measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2018-11-01,11196.53,149817.0,149817.0
2018-12-01,12114.47,162100.0,162100.0
2019-01-01,5471.633,69480.0,69480.0
2019-02-01,4398.804,55855.0,55855.0
2019-03-01,4726.579,60017.0,60017.0
2019-04-01,4258.871,54078.0,54078.0
2019-05-01,5793.215,73561.0,73561.0
2019-06-01,6683.234,84863.0,84863.0
2019-07-01,7690.315,97650.0,97650.0
2019-08-01,8279.469,105131.0,105131.0
2019-09-01,7155.704,90862.0,90862.0
2019-10-01,5548.581,70454.0,70454.0
2019-11-01,5032.881,63906.0,63906.0
2019-12-01,5595.714,71053.0,71053.0
2020-01-01,1923.688,24591.0,24591.0
2020-02-01,1830.226,23395.0,23395.0
2020-03-01,1783.484,22797.0,22797.0
2020-04-01,1588.019,20299.0,20299.0
2020-05-01,1901.149,24301.0,24301.0
2020-06-01,2248.628,28743.0,28743.0
2020-07-01,2735.808,34970.0,34970.0
2020-08-01,2647.903,33846.0,33846.0
2020-09-01,2184.999,27930.0,27930.0
2020-10-01,1889.512,24153.0,24153.0
2020-11-01,1480.01,18918.0,18918.0
2020-12-01,1626.574,20791.0,20791.0
2021-01-01,215.428,2847.0,2847.0
2021-02-01,12340.11,163069.0,163069.0
2021-03-01,3603.287,47616.0,47616.0
2021-04-01,8018.976,105968.0,105968.0
2021-05-01,2487.552,32872.0,32872.0
2021-06-01,4492.725,59369.0,59369.0
2021-07-01,5020.474,66344.0,66344.0
2021-08-01,2669.224,35273.0,35273.0
2021-09-01,5356.792,70788.0,70788.0
2021-10-01,3879.864,51271.0,51271.0
2021-11-01,3129.394,41354.0,41354.0
2021-12-01,857.175,11327.0,11327.0
2022-01-01,1462.5,18944.0,18944.0
2022-02-01,1972.43,25549.0,25549.0
2022-03-01,3367.443,43619.0,43619.0
2022-04-01,3649.487,47272.0,47272.0
2022-05-01,18352.998,237727.0,237727.0
2022-06-01,7284.292,94353.0,94353.0
2022-07-01,12924.244,167408.0,167408.0
2022-08-01,8389.138,108665.0,108665.0
2022-09-01,1765.08,22863.0,22863.0
2022-10-01,3607.034,46722.0,46722.0
2022-11-01,7519.164,97396.0,97396.0
2022-12-01,2671.191,34600.0,34600.0
2023-01-01,1934.465,25173.0,25173.0
2023-02-01,1453.827,18918.0,18918.0
2023-03-01,2769.233,36034.0,36034.0
2023-04-01,2372.284,30869.0,30869.0
2023-05-01,7492.888,97502.0,97502.0
2023-06-01,15302.027,199118.0,199118.0
2023-07-01,13309.16,173186.0,173186.0
2023-08-01,26226.747,341278.0,341278.0
2023-09-01,11815.027,153744.0,153744.0
2023-10-01,4402.841,57293.0,57293.0
2023-11-01,0.0,0.0,0.0
2023-12-01,1123.501,14619.0,14619.0
2024-01-01,4149.263,56145.0,56145.0
2024-02-01,2680.308,36268.0,36268.0
2024-03-01,6012.173,81352.0,81352.0
2024-04-01,4843.475,65538.0,65538.0
2024-05-01,8473.141,114652.0,114652.0
2024-06-01,9067.196,122690.0,122690.0
2024-07-01,4933.188,66752.0,66752.0
2024-08-01,11256.543,152315.0,152315.0
2024-09-01,4050.934,54814.0,54814.0
2024-10-01,4829.975,65355.0,65355.0
2024-11-01,3866.845,52323.0,52323.0
2024-12-01,1579.96,21379.0,21379.0
