measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed","Other Gases - Internal Combustion Engine (diesel, piston, reciprocating) - Other Gases - Generation","Other Gases - Internal Combustion Engine (diesel, piston, reciprocating) - Other Gases - Quantity Consumed For Electricity","Other Gases - Internal Combustion Engine (diesel, piston, reciprocating) - Other Gases - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2004-02-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2004-03-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2004-04-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2004-05-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2004-06-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2004-07-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2004-08-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2004-09-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2004-10-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2004-11-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2004-12-01,0.0,0.0,0.0,3.9170000000000003,84.0,84.0,,,
2005-01-01,90.515,1225.42,1225.42,9.069,122.83,122.83,,,
2005-02-01,20.835,282.07,282.07,8.09,109.57,109.57,,,
2005-03-01,17.879,242.05,242.05,9.24,125.15,125.15,,,
2005-04-01,17.889,242.19,242.19,9.221,124.89,124.89,,,
2005-05-01,18.036,244.18,244.18,10.137,137.3,137.3,,,
2005-06-01,21.849,295.79,295.79,10.043000000000001,136.02,136.02,,,
2005-07-01,41.379000000000005,560.2,560.2,10.399000000000001,140.84,140.84,,,
2005-08-01,36.649,496.17,496.17,10.352,140.21,140.21,,,
2005-09-01,20.393,276.08,276.08,9.752,132.07,132.07,,,
2005-10-01,28.591,387.07,387.07,9.844000000000001,133.32,133.32,,,
2005-11-01,19.252000000000002,260.64,260.64,9.914,134.27,134.27,,,
2005-12-01,52.735,713.95,713.95,9.936,134.57,134.57,,,
2006-01-01,0.0,0.0,0.0,26.571,494.0,494.0,,,
2006-02-01,0.0,0.0,0.0,24.556,456.0,456.0,,,
2006-03-01,0.0,0.0,0.0,27.087,503.0,503.0,,,
2006-04-01,0.0,0.0,0.0,19.929000000000002,370.0,370.0,,,
2006-05-01,0.0,0.0,0.0,24.365,453.0,453.0,,,
2006-06-01,0.0,0.0,0.0,25.524,474.0,474.0,,,
2006-07-01,0.0,0.0,0.0,26.489,492.0,492.0,,,
2006-08-01,0.0,0.0,0.0,26.33,489.0,489.0,,,
2006-09-01,0.0,0.0,0.0,25.185,468.0,468.0,,,
2006-10-01,0.0,0.0,0.0,26.134,485.0,485.0,,,
2006-11-01,0.0,0.0,0.0,26.395,490.0,490.0,,,
2006-12-01,0.0,0.0,0.0,25.433,472.0,472.0,,,
2007-01-01,0.0,0.0,0.0,,,,-29.384,350.0,350.0
2007-02-01,0.0,0.0,0.0,,,,-22.775,271.0,271.0
2007-03-01,0.0,0.0,0.0,,,,-19.881,237.0,237.0
2007-04-01,0.0,0.0,0.0,,,,-28.932000000000002,344.0,344.0
2007-05-01,0.0,0.0,0.0,,,,-31.064,370.0,370.0
2007-06-01,0.0,0.0,0.0,,,,-33.294000000000004,397.0,397.0
2007-07-01,0.0,0.0,0.0,,,,-33.325,397.0,397.0
2007-08-01,0.0,0.0,0.0,,,,-35.249,419.0,419.0
2007-09-01,0.0,0.0,0.0,,,,-31.486,375.0,375.0
2007-10-01,0.0,0.0,0.0,,,,-30.244,360.0,360.0
2007-11-01,0.0,0.0,0.0,,,,-28.908,344.0,344.0
2007-12-01,0.0,0.0,0.0,,,,-33.458,398.0,398.0
2008-01-01,0.0,0.0,0.0,,,,-30.753,128.0,128.0
2008-02-01,0.0,0.0,0.0,,,,-29.321,122.0,122.0
2008-03-01,0.0,0.0,0.0,,,,-34.114000000000004,142.0,142.0
2008-04-01,0.0,0.0,0.0,,,,-31.080000000000002,129.0,129.0
2008-05-01,0.0,0.0,0.0,,,,-29.999000000000002,125.0,125.0
2008-06-01,0.0,0.0,0.0,,,,-32.091,133.0,133.0
2008-07-01,0.0,0.0,0.0,,,,-33.642,140.0,140.0
2008-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
