measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2019-11-01,0.0,0.0,0.0,56.143,500.0,500.0
2019-12-01,0.0,0.0,0.0,49.857,444.0,444.0
2020-01-01,-0.319,0.0,0.0,102.342,897.0,897.0
2020-02-01,-0.289,0.0,0.0,151.983,1332.0,1332.0
2020-03-01,-0.309,0.0,0.0,223.515,1960.0,1960.0
2020-04-01,-0.317,0.0,0.0,274.339,2405.0,2405.0
2020-05-01,-0.341,0.0,0.0,323.403,2835.0,2835.0
2020-06-01,-0.316,0.0,0.0,397.612,3486.0,3486.0
2020-07-01,-0.34,0.0,0.0,381.992,3349.0,3349.0
2020-08-01,-0.36,0.0,0.0,359.11,3148.0,3148.0
2020-09-01,-0.329,0.0,0.0,281.04,2464.0,2464.0
2020-10-01,-0.349,0.0,0.0,222.021,1946.0,1946.0
2020-11-01,-0.344,0.0,0.0,150.904,1323.0,1323.0
2020-12-01,-0.387,0.0,0.0,109.739,962.0,962.0
2021-01-01,-6.404,0.0,0.0,89.1,788.0,788.0
2021-02-01,-5.341,0.0,0.0,153.053,1354.0,1354.0
2021-03-01,-6.241,0.0,0.0,315.955,2794.0,2794.0
2021-04-01,-5.894,0.0,0.0,289.523,2561.0,2561.0
2021-05-01,-6.654,0.0,0.0,334.171,2955.0,2955.0
2021-06-01,-6.02,0.0,0.0,325.162,2876.0,2876.0
2021-07-01,-5.899,0.0,0.0,285.315,2523.0,2523.0
2021-08-01,-6.219,0.0,0.0,274.178,2425.0,2425.0
2021-09-01,-5.798,0.0,0.0,323.281,2859.0,2859.0
2021-10-01,-5.05,0.0,0.0,182.95,1618.0,1618.0
2021-11-01,-6.17,0.0,0.0,131.471,1163.0,1163.0
2021-12-01,-6.31,0.0,0.0,94.841,839.0,839.0
2022-01-01,-25.64,0.0,0.0,131.117,447.0,447.0
2022-02-01,-24.911,0.0,0.0,178.071,608.0,608.0
2022-03-01,-26.733,0.0,0.0,244.116,833.0,833.0
2022-04-01,-24.803,0.0,0.0,249.331,851.0,851.0
2022-05-01,-26.392,0.0,0.0,334.748,1142.0,1142.0
2022-06-01,-28.091,0.0,0.0,418.121,1427.0,1427.0
2022-07-01,-28.19,0.0,0.0,361.819,1235.0,1235.0
2022-08-01,-29.187,0.0,0.0,339.034,1157.0,1157.0
2022-09-01,-28.672,0.0,0.0,283.646,968.0,968.0
2022-10-01,-25.704,0.0,0.0,256.979,877.0,877.0
2022-11-01,-28.741,0.0,0.0,158.452,541.0,541.0
2022-12-01,-25.936,0.0,0.0,89.566,306.0,306.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,-4.0,0.0,0.0,268.0,914.0,914.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,-9.0,0.0,0.0,250.0,853.0,853.0
2023-12-01,0.0,0.0,0.0,124.0,423.0,423.0
2024-01-01,-16.0,0.0,0.0,104.0,355.0,355.0
2024-02-01,-18.0,0.0,0.0,167.0,570.0,570.0
2024-03-01,-17.0,0.0,0.0,279.0,952.0,952.0
2024-04-01,-19.0,0.0,0.0,278.0,949.0,949.0
2024-05-01,-12.0,0.0,0.0,298.0,1017.0,1017.0
2024-06-01,-13.0,0.0,0.0,427.0,1457.0,1457.0
2024-07-01,-14.0,0.0,0.0,440.0,1501.0,1501.0
2024-08-01,-5.0,0.0,0.0,243.0,829.0,829.0
2024-09-01,-13.0,0.0,0.0,457.0,1559.0,1559.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,-16.0,0.0,0.0,141.0,481.0,481.0
2024-12-01,-17.0,0.0,0.0,130.0,444.0,444.0
